Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
CBF-P-AVG-3/3	CLUSTER(3.4,0.0,null)	2	64	1000000	0	57059578	57	79	724	724	0	0	495	469	2922	3076	0	0	0	0	806	806	0	0	0	0	0	0	0	666666	333333	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1254	414	0	0	0	0	-74	1608	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	1000000	0	65033632	65	104	1036	1036	0	0	594	605	3190	3316	0	0	0	0	1020	1020	0	0	0	0	0	0	0	333333	333333	1000000	1000000	0.0	0.0	0.0	0.0	-144	302	0	0	-294	9	-739	1779	0	0	0	0	-247	93	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.4,0.0,null)	4	64	1000000	0	72545437	72	105	1238	1238	0	0	719	694	3732	3870	0	0	0	0	1237	1237	0	0	0	0	0	0	0	666666	0	1000000	1000000	0.0	0.0	0.0	0.0	-136	298	0	0	-307	10	-1192	2012	0	0	0	0	-264	71	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.4,0.0,null)	5	64	1000000	0	81013984	81	123	1315	1315	0	0	793	783	4107	4381	0	0	0	0	1403	1403	0	0	0	0	0	0	0	333333	0	1000000	1000000	0.0	0.0	0.0	0.0	-130	105	0	0	-306	10	-1606	2196	0	0	0	0	-269	58	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.4,0.0,null)	6	64	1000000	0	88497498	87	150	1516	1516	0	0	918	894	4632	4742	0	0	0	0	1603	1603	0	0	0	0	0	0	0	1000000	666666	1000000	1000000	0.0	0.0	0.0	0.0	-123	106	0	0	-298	10	-1596	2276	0	0	0	0	-242	78	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.4,0.0,null)	8	64	1000000	0	107341424	107	182	1887	1887	0	0	1101	1086	5555	5716	0	0	0	0	2034	2034	0	0	0	0	0	0	0	666666	333333	1000000	1000000	0.0	0.0	0.0	0.0	-112	102	0	0	-310	10	-1768	7051	0	0	0	0	-265	59	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.4,0.0,null)	10	64	1000000	0	123232178	122	231	2235	2235	0	0	1276	1286	6373	6789	0	0	0	0	2464	2464	0	0	0	0	0	0	0	333333	666666	1000000	1000000	0.0	0.0	0.0	0.0	-101	104	0	0	-299	9	-2118	6130	0	0	0	0	-252	72	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.4,0.0,null)	15	64	1000000	0	164316362	164	320	3135	3135	0	0	1785	1764	8556	9122	0	0	0	0	3423	3423	0	0	0	0	0	0	0	666666	666666	1000000	1000000	0.0	0.0	0.0	0.0	73	2104	0	0	-418	11	-2366	6538	0	0	0	0	-355	74	Please provide configuration information for  every test candidate class in the toString() method.
% Measurements
% ============
CBF-P-0	CLUSTER(3.4,0.0,null)	2	64	1000000	0	57059312	57	75	729	729	0	0	481	479	2933	3080	0	0	0	0	807	807	0	0	0	0	0	0	0	1000000	0	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1250	420	0	0	0	0	-77	1602	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-1	CLUSTER(3.4,0.0,null)	2	64	1000000	0	57060920	57	96	724	724	0	0	485	432	2954	3109	0	0	0	0	816	816	0	0	0	0	0	0	0	0	0	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1255	412	0	0	0	0	-73	1636	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-2	CLUSTER(3.4,0.0,null)	2	64	1000000	0	57058504	57	66	720	720	0	0	519	498	2881	3039	0	0	0	0	795	795	0	0	0	0	0	0	0	1000000	1000000	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1255	412	0	0	0	0	-73	1586	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-0	CLUSTER(3.4,0.0,null)	3	64	1000000	0	65034240	65	81	1031	1031	0	0	597	614	3215	3351	0	0	0	0	1025	1025	0	0	0	0	0	0	0	0	1000000	1000000	1000000	0.0	0.0	0.0	0.0	-144	308	0	0	-291	10	-741	1754	0	0	0	0	-239	108	Please provide configuration information for  every test candidate class in the toString() method.
