Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	2	64	1000000	0	84523666	84	71	755	755	893	439	974	942	2922	3228	0	0	0	0	781	781	0	0	0	0	0	99954	99985	499099	499645	1000000	1000000	0.0	0.0	0.0	0.0	-139	197	0	0	0	0	-892	3803	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	1000000	0	86273616	86	115	978	978	929	626	1179	1175	3409	3544	0	0	0	0	1056	1056	0	0	0	0	0	100017	100005	499718	499393	1000000	1000000	0.0	0.0	0.0	0.0	-150	236	0	0	-234	52	-1116	1083	0	0	0	0	-397	1874	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	4	64	1000000	0	94341466	94	121	1129	1129	1096	819	1382	1354	3973	4198	0	0	0	0	1253	1253	0	0	0	0	0	99959	99979	499857	499609	1000000	1000000	0.0	0.0	0.0	0.0	-158	127	0	0	0	0	-1289	10348	0	0	0	0	-239	111	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	5	64	1000000	0	95629936	95	130	1306	1306	1386	1026	1647	1638	4528	4863	0	0	0	0	1546	1546	0	0	0	0	0	99993	100004	499530	500050	1000000	1000000	0.0	0.0	0.0	0.0	-165	78	0	0	-202	58	-1604	4322	0	0	0	0	-349	2018	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	6	64	1000000	0	101474541	100	164	1528	1528	1609	1190	1816	1851	5035	5315	0	0	0	0	1768	1768	0	0	0	0	0	100010	99954	499367	499934	1000000	1000000	0.0	0.0	0.0	0.0	-172	68	0	0	-58	4451	-1897	2644	0	0	0	0	-235	108	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	8	64	1000000	0	109710648	109	196	2088	2088	2039	1719	2454	2480	6093	6460	0	0	0	0	2332	2332	0	0	0	0	0	99994	100005	499679	500204	1000000	1000000	0.0	0.0	0.0	0.0	-363	142	0	0	-353	3314	-1638	1198	0	0	0	0	-841	2170	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	10	64	1000000	0	117434792	117	226	2584	2584	2491	2195	3123	3114	7163	7641	0	0	0	0	2924	2924	0	0	0	0	0	100048	100018	499592	500742	1000000	1000000	0.0	0.0	0.0	0.0	-377	129	0	0	-520	4358	-2888	4544	0	0	0	0	-463	156	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	15	64	1000000	0	141334554	141	311	3601	3601	3500	3049	4063	4024	9400	9805	0	0	0	0	3904	3904	0	0	0	0	0	99970	99992	499933	500519	1000000	1000000	0.0	0.0	0.0	0.0	-598	164	0	0	-302	4684	-3360	4310	0	0	0	0	-571	125	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
% Measurements
% ============
CBZ-P-0	CLUSTER(3.4,0.0,null)	2	64	1000000	0	84878776	84	65	754	754	930	440	977	947	2898	3254	0	0	0	0	784	784	0	0	0	0	0	99973	99979	498602	499311	1000000	1000000	0.0	0.0	0.0	0.0	-139	196	0	0	0	0	-790	4686	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-1	CLUSTER(3.4,0.0,null)	2	64	1000000	0	84347880	84	91	712	712	931	440	987	946	2815	3164	0	0	0	0	752	752	0	0	0	0	0	99881	99884	499115	499909	1000000	1000000	0.0	0.0	0.0	0.0	-139	196	0	0	0	0	-801	4534	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-2	CLUSTER(3.4,0.0,null)	2	64	1000000	0	84344344	84	58	800	800	819	439	960	933	3054	3266	0	0	0	0	808	808	0	0	0	0	0	100008	100094	499581	499717	1000000	1000000	0.0	0.0	0.0	0.0	-139	200	0	0	0	0	-1084	2190	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-0	CLUSTER(3.4,0.0,null)	3	64	1000000	0	86276416	86	97	985	985	919	630	1190	1172	3367	3502	0	0	0	0	1049	1049	0	0	0	0	0	100048	99986	499939	498463	1000000	1000000	0.0	0.0	0.0	0.0	-150	234	0	0	-234	52	-1096	2114	0	0	0	0	-394	1874	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-1	CLUSTER(3.4,0.0,null)	3	64	1000000	0	86272992	86	108	980	980	1040	630	1171	1171	3460	3608	0	0	0	0	1049	1049	0	0	0	0	0	99994	99972	499851	500135	1000000	1000000	0.0	0.0	0.0	0.0	-150	238	0	0	-234	54	-1125	570	0	0	0	0	-400	1860	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-2	CLUSTER(3.4,0.0,null)	3	64	1000000	0	86271440	86	142	971	971	829	619	1176	1183	3402	3524	0	0	0	0	1072	1072	0	0	0	0	0	100010	100059	499364	499583	1000000	1000000	0.0	0.0	0.0	0.0	-150	238	0	0	-234	50	-1126	566	0	0	0	0	-399	1890	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-0	CLUSTER(3.4,0.0,null)	4	64	1000000	0	94342472	94	127	1146	1146	850	799	1389	1352	3939	4168	0	0	0	0	1251	1251	0	0	0	0	0	99959	100017	499776	499530	1000000	1000000	0.0	0.0	0.0	0.0	-158	126	0	0	0	0	-1254	11422	0	0	0	0	-239	116	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
