Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	0	82538336	82	88	1250	1250	619	582	1105	1144	2146	2262	0	0	0	0	1358	1358	0	0	0	0	0	999996	1000452	624460	541112	1000000	1000000	0.0	0.0	0.0	0.0	-141	172	0	0	-170	98	-1219	3498	0	0	0	0	-248	102	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	89575293	89	107	1537	1537	1188	1125	1341	1349	2721	2930	0	0	0	0	1727	1727	0	0	0	0	0	1000546	1001094	583057	541071	1000000	1000000	0.0	0.0	0.0	0.0	-151	152	0	0	0	0	-935	4360	0	0	0	0	-252	88	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	0	97295509	97	130	1795	1795	2457	2388	1618	1670	3404	3424	0	0	0	0	1981	1981	0	0	0	0	0	999759	999830	562362	537040	1000000	1000000	0.0	0.0	0.0	0.0	-158	94	0	0	130	1085	-1397	4590	0	0	0	0	-314	4949	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	0	99453946	99	140	2115	2115	5543	5504	1914	1897	4100	4065	0	0	0	0	2211	2211	0	0	0	0	0	1000111	1000222	549572	533286	1000000	1000000	0.0	0.0	0.0	0.0	-165	80	0	0	-2	2608	-1679	2196	0	0	0	0	-238	104	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	6	64	1000000	0	107568658	107	189	2364	2364	10890	10997	2242	2203	4583	4597	0	0	0	0	2597	2597	0	0	0	0	0	1001031	1000759	541046	529634	1000000	1000000	0.0	0.0	0.0	0.0	-170	82	0	0	-107	1952	-1286	1820	0	0	0	0	-428	1375	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	8	64	1000000	0	125116741	125	192	2997	2997	45195	45246	2826	2901	6137	6146	0	0	0	0	3407	3407	0	0	0	0	0	1001334	1001940	530931	524479	1000000	1000000	0.0	0.0	0.0	0.0	-335	164	-251	2	-277	3064	-2054	631	0	0	0	0	-460	164	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	10	64	1000000	0	142792722	142	236	3765	3765	132391	128253	3486	3494	7428	7488	0	0	0	0	4167	4167	0	0	0	0	0	1001279	1001084	524673	521258	1000000	1000000	0.0	0.0	0.0	0.0	-343	152	-267	0	-220	50	-2929	10004	0	0	0	0	-489	163	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	12	64	1000000	0	152581482	152	262	4348	4348	275386	275738	3935	4044	8268	8426	0	0	0	0	4568	4568	0	0	0	0	0	1002350	1001650	521060	517711	1000000	1000000	0.0	0.0	0.0	0.0	-515	230	-302	1	-298	6062	-2747	3948	0	0	0	0	-526	120	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	16	64	1000000	0	180583341	180	316	5384	5384	729598	713881	4843	4811	10348	10447	0	0	0	0	5618	5618	0	0	0	0	0	1001879	1002611	515289	513537	1000000	1000000	0.0	0.0	0.0	0.0	-285	3029	-382	1	-767	2415	-4154	3467	0	0	0	0	-672	203	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	20	64	1000000	0	204250869	204	406	6776	6776	1191711	1188819	5847	5803	12631	12934	0	0	0	0	6962	6962	0	0	0	0	0	1001533	1002258	512355	511126	1000000	1000000	0.0	0.0	0.0	0.0	-209	6079	-456	2	-885	4638	-4952	4068	0	0	0	0	-808	222	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
