Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_LEVY-P-AVG-3/3	CLUSTER(3.4,0.0,null)	2	64	1000000	0	85477416	85	74	1744	1744	623152	642431	1237	1254	3944	4318	300000	500000	2383333	2433333	1922	1922	0	0	0	0	0	99950	99982	499099	499645	1000000	1000000	0.7807791085909308	0.772254532211194	0.7202703440354817	0.7460260799585191	0	0	0	0	-214	46	-154	5327	0	0	0	0	-62	59	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	1000000	0	93404616	93	106	1657	1657	308549	317606	888	907	3165	3787	316666	350000	1433333	1533333	1907	1907	0	0	0	0	0	100017	100005	499718	499393	1000000	1000000	0.992792981199306	0.9036687217304503	0.9645946403102462	0.9703416069479657	-73	367	0	0	-198	50	-111	5256	0	0	-304	2	145	3578	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-AVG-3/3	CLUSTER(3.4,0.0,null)	4	64	1000000	0	99944632	99	80	1423	1423	314858	322311	821	822	3031	3667	1933333	2066666	3400000	3516666	2057	2057	0	0	0	0	0	99959	99979	499857	499609	1000000	1000000	1.1274124262694587	1.0783797273004914	1.1433029926267835	1.1131181615417207	-83	162	0	0	0	0	-104	4014	-303	2	-290	0	67	3553	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-AVG-3/3	CLUSTER(3.4,0.0,null)	5	64	1000000	0	109239744	109	143	1404	1404	413425	424059	852	851	3123	3821	11966666	12233333	14083333	13900000	2191	2191	0	0	0	0	0	99993	100004	499530	500050	1000000	1000000	1.2378586504804907	1.2393131236917936	1.2775085861650368	1.2377903576889662	-86	155	0	0	0	0	-22	8366	-573	2	-859	4	-128	83	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-AVG-3/3	CLUSTER(3.4,0.0,null)	6	64	1000000	0	117253005	117	157	1423	1423	528281	542835	897	885	3224	3891	31583333	30966666	31933333	32600000	2243	2243	0	0	0	0	0	100010	99954	499367	499934	1000000	1000000	1.3679413487710796	1.3972356878495145	1.3601083447338802	1.3836359753057692	-90	219	0	0	0	0	-158	5994	-1719	8	-2005	8	17	2662	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-AVG-3/3	CLUSTER(3.4,0.0,null)	8	64	1000000	0	133155312	133	188	1372	1372	602383	613998	980	1010	3224	3983	86866666	87516666	87533333	86400000	2357	2357	0	0	0	0	0	99994	100005	499679	500204	1000000	1000000	1.585223155050559	1.6207919176408456	1.5921599465619398	1.5586147071124685	-98	120	0	0	97	1449	-331	5322	-5443	24	-5443	22	122	7344	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-AVG-3/3	CLUSTER(3.4,0.0,null)	10	64	1000000	0	149163877	149	211	1409	1409	696035	707222	1075	1035	3249	4089	175450000	174666666	175016666	175183333	2428	2428	0	0	0	0	0	100048	100018	499592	500742	1000000	1000000	1.7761920046124853	1.797267576440775	1.7463340323103618	1.7878724124681422	-104	108	8	103501	16	1791	-592	5413	-10610	56	-10610	48	221	8568	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-AVG-3/3	CLUSTER(3.4,0.0,null)	15	64	1000000	0	189051704	189	313	1529	1529	540759	547449	1355	1220	3511	4232	176050000	176550000	176333333	175950000	2460	2460	0	0	0	0	0	99970	99992	499933	500519	1000000	1000000	2.208283413291136	2.160057273140657	2.2106357043838165	2.26605062148831	-71	867	5	76294	0	0	-571	6405	-18001	68	-18001	64	-35	4478	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
KD_LEVY-P-0	CLUSTER(3.4,0.0,null)	2	64	1000000	0	85477416	85	62	1737	1737	629028	640572	1217	1225	3876	4306	250000	400000	2400000	2650000	1893	1893	0	0	0	0	0	99978	99970	498602	499311	1000000	1000000	0.7037393860151007	0.7908950593170538	0.6725621824512913	0.7657284653063057	0	0	0	0	-214	48	88	6300	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-1	CLUSTER(3.4,0.0,null)	2	64	1000000	0	85477416	85	69	1754	1754	625335	639977	1265	1294	4010	4368	300000	800000	2350000	2300000	2024	2024	0	0	0	0	0	99868	99880	499115	499909	1000000	1000000	0.8223486386383383	0.815400580022142	0.7581671252735779	0.7561488750775726	0	0	0	0	-214	44	-70	6546	0	0	0	0	-186	178	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-2	CLUSTER(3.4,0.0,null)	2	64	1000000	0	85477416	85	91	1741	1741	615095	646746	1229	1244	3947	4282	350000	300000	2400000	2350000	1850	1850	0	0	0	0	0	100004	100098	499581	499717	1000000	1000000	0.8162493011193537	0.710467957294386	0.7300817243815763	0.7162008994916791	0	0	0	0	-214	46	-481	3136	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-0	CLUSTER(3.4,0.0,null)	3	64	1000000	0	93409272	93	83	1706	1706	308222	311043	873	897	3148	3687	350000	350000	1400000	1450000	1879	1879	0	0	0	0	0	100048	99986	499939	498463	1000000	1000000	0.8987443449334102	0.9140129004326276	0.9509317547360494	1.0075349662555435	-73	368	0	0	-198	50	-102	5164	0	0	-304	2	152	3476	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-1	CLUSTER(3.4,0.0,null)	3	64	1000000	0	93401656	93	109	1628	1628	309658	317658	863	885	3103	3722	300000	300000	1250000	1550000	1903	1903	0	0	0	0	0	99994	99972	499851	500135	1000000	1000000	1.053543552156944	0.9605693696648594	0.9734965441605947	0.8944546379792119	-73	366	0	0	-198	50	51	5156	0	0	-307	0	141	4314	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-2	CLUSTER(3.4,0.0,null)	3	64	1000000	0	93402920	93	127	1637	1637	307769	324118	928	940	3245	3953	300000	400000	1650000	1600000	1941	1941	0	0	0	0	0	100010	100059	499364	499583	1000000	1000000	1.026091046507564	0.8364238950938641	0.9693556220340946	1.0090352166091419	-73	368	0	0	-198	50	-281	5448	0	0	-307	0	142	2944	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-0	CLUSTER(3.4,0.0,null)	4	64	1000000	0	99939616	99	73	1459	1459	316099	320105	853	852	3124	3696	2100000	2400000	3300000	3850000	2202	2202	0	0	0	0	0	99959	100017	499776	499530	1000000	1000000	1.0889010158778556	1.047158454219993	1.1673299065742053	1.174117357357881	-83	166	0	0	0	0	75	4618	-303	2	-290	0	-204	124	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-1	CLUSTER(3.4,0.0,null)	4	64	1000000	0	99939488	99	71	1433	1433	316221	322120	800	802	2982	3640	1900000	1950000	3350000	3200000	1996	1996	0	0	0	0	0	99911	99916	500032	500431	1000000	1000000	1.1892027918608854	1.131356948270064	1.0619844599281416	1.138208938547018	-83	162	0	0	0	0	-49	4910	-296	2	0	0	146	3250	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-2	CLUSTER(3.4,0.0,null)	4	64	1000000	0	99954792	99	98	1378	1378	312255	324710	810	813	2988	3667	1800000	1850000	3550000	3500000	1974	1974	0	0	0	0	0	100008	100006	499763	498866	1000000	1000000	1.1041334710696353	1.0566237794114168	1.2005946113780028	1.0270281887202632	-83	160	0	0	0	0	-339	2514	-292	2	-291	2	259	7286	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_LEVY-P-0	CLUSTER(3.4,0.0,null)	5	64	1000000	0	109237904	109	153	1403	1403	417748	424296	848	851	3106	3779	10950000	11800000	14350000	13100000	2129	2129	0	0	0	0	0	100010	99996	499693	500317	1000000	1000000	1.2048842728228943	1.24565057498597	1.2968321161931278	1.2357514192766763	-86	160	0	0	0	0	-84	6568	-573	2	-859	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
