Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	24	64	1000000	0	261163725	261	468	1565	1565	37460	37461	1884	1846	2933	3572	107158333	108745000	157560000	158685000	2734	2734	0	0	0	0	0	1000072	1000473	510553	510019	1000000	1000000	2.8084731553025732	2.7965234352064527	2.8080443998200106	2.817887705391552	-51	1243	0	0	-370	112	-872	5768	-122132	440	-187473	676	-87	1496	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	28	64	1000000	0	293012197	293	536	1601	1601	51460	52122	2045	1913	3078	3738	190665000	190436666	236021666	236193333	2764	2764	0	0	0	0	0	1000879	1000218	508875	508428	1000000	1000000	3.0328930005005215	3.0222439362833504	3.0427589062617653	3.0354564051668134	-115	1187	0	0	-434	118	-1024	4668	-219278	770	-274272	958	61	3349	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
% Measurements
% ============
KD_LEVY-P-0	CUBE(1.0,0.0,null)	24	64	1000000	0	261163784	261	460	1584	1584	38646	38588	1910	1878	2903	3537	107745000	108240000	159830000	162180000	2792	2792	0	0	0	0	0	998898	999819	510522	509750	1000000	1000000	2.794242469885493	2.8336662374027264	2.800825521188179	2.846561066103739	-58	1246	0	0	-370	114	-509	4796	-122132	440	-187473	676	-506	102	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_LEVY-P-1	CUBE(1.0,0.0,null)	24	64	1000000	0	261163648	261	479	1580	1580	36540	36287	1927	1889	3011	3647	106355000	109140000	156790000	157375000	2698	2698	0	0	0	0	0	1000361	1001046	510963	510515	1000000	1000000	2.8024630928969545	2.7821459145861525	2.8054784417095395	2.818923667655507	-47	1262	0	0	-370	110	-1131	5192	-123354	432	-181977	648	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_LEVY-P-2	CUBE(1.0,0.0,null)	24	64	1000000	0	261163744	261	465	1533	1533	37194	37509	1815	1773	2886	3533	107375000	108855000	156060000	156500000	2712	2712	0	0	0	0	0	1000957	1000555	510176	509793	1000000	1000000	2.8287139031252724	2.773758153630479	2.8178292365623134	2.788178382415409	-47	1222	0	0	-370	112	-977	7318	-125796	450	-185031	662	244	4388	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_LEVY-P-0	CUBE(1.0,0.0,null)	28	64	1000000	0	293012424	293	541	1594	1594	50065	51677	2049	1932	3135	3685	193820000	192310000	238925000	236585000	2841	2841	0	0	0	0	0	1004704	1002557	508555	508033	1000000	1000000	3.0264283230051223	3.049790980116679	3.0366835299775516	3.0557354526933773	-230	694	0	0	-433	122	-1206	2604	-219278	770	-274272	958	647	9874	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_LEVY-P-1	CUBE(1.0,0.0,null)	28	64	1000000	0	293012600	293	542	1636	1636	52505	52328	2112	2001	3081	3742	191645000	192605000	238780000	235795000	2679	2679	0	0	0	0	0	998104	1000178	508841	508806	1000000	1000000	3.019079573143307	3.0220652895205635	3.0455799810809845	3.0222605012125556	-230	702	0	0	-434	116	-983	6084	-221367	760	-276360	970	-461	174	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_LEVY-P-2	CUBE(1.0,0.0,null)	28	64	1000000	0	293011568	293	527	1575	1575	51811	52361	1975	1808	3018	3788	186530000	186395000	230360000	236200000	2773	2773	0	0	0	0	0	999829	997919	509229	508447	1000000	1000000	3.053171105353135	2.994875539212809	3.0460132077267597	3.028373261594506	114	2166	0	0	-434	118	-884	5318	-222063	746	-276360	940	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
