Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	0	85240546	85	91	952	952	203	167	1202	1214	1989	2505	6700	6500	17866	17733	1682	1682	0	0	0	0	0	999996	1000452	624460	541112	1000000	1000000	0.7626899297970118	0.7664455061453777	0.7637572545927273	0.766842344416636	0	0	0	0	0	0	-54	5874	0	0	-291	0	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	93239669	93	108	1208	1208	193	165	1351	1334	2067	2550	10866	10900	29066	29066	1986	1986	0	0	0	0	0	1000546	1001094	583057	541071	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-72	365	0	0	0	0	-174	3315	-307	2	-572	2	86	2158	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	0	100363576	100	103	1175	1175	351	323	1348	1422	2121	2612	21666	23666	62666	77666	2062	2062	0	0	0	0	0	999759	999830	562362	537040	1000000	1000000	1.1178242789437025	1.114010070083993	1.117241084486223	1.1182763519037286	-81	157	0	0	-218	52	-388	3569	0	0	-259	1036	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	0	111118445	111	116	1302	1302	772	735	1484	1538	2285	2870	51666	56000	165000	156000	2180	2180	0	0	0	0	0	1000111	1000222	549572	533286	1000000	1000000	1.2575130229325293	1.252954937010779	1.261810592797996	1.2613330600190753	-86	247	0	0	-202	61	-433	2642	-294	0	-290	2	89	2436	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	6	64	1000000	0	117162157	117	148	1333	1333	1432	1397	1536	1541	2344	2880	131333	112666	325000	324333	2288	2288	0	0	0	0	0	1001031	1000759	541046	529634	1000000	1000000	1.3831551249151914	1.381355318025428	1.3883108585875783	1.3844877521756445	-90	274	0	0	31	1168	-244	5642	-307	2	-573	2	-34	2394	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	8	64	1000000	0	133148872	133	206	1273	1273	3759	3762	1513	1527	2508	3008	383333	382666	1087333	1086333	2299	2299	0	0	0	0	0	1001334	1001940	530931	524479	1000000	1000000	1.603126268291134	1.6066058614314338	1.6089863778343523	1.6122852030131363	-98	122	0	0	0	0	-147	5864	-859	6	-2578	12	18	2230	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	10	64	1000000	0	149160389	149	220	1258	1258	8002	7960	1547	1611	2511	3009	1303333	1277666	3464666	3445000	2320	2320	0	0	0	0	0	1001279	1001084	524673	521258	1000000	1000000	1.7962896135203137	1.8055717824732322	1.8074335198446991	1.8097597546415631	-104	108	63	10382	31	4031	-349	4596	-4056	22	-10298	50	200	6218	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	12	64	1000000	0	165226749	165	257	1357	1357	7920	7850	1679	1737	2774	3314	2765000	2583333	6348333	6175000	2590	2590	0	0	0	0	0	1002350	1001650	521060	517711	1000000	1000000	1.9648689229814582	1.986768661271472	1.9650446221589473	1.9730930122445292	-224	224	63	10423	28	4333	-549	2859	-2128	10	-5674	26	-98	3850	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	16	64	1000000	0	197174797	197	328	1449	1449	21549	21360	1760	1814	2742	3445	14415000	14671666	31305000	31323333	2682	2682	0	0	0	0	0	1001879	1002611	515289	513537	1000000	1000000	2.2794109384555976	2.2865315101155685	2.283210828855377	2.2912923977202406	-80	772	72	31327	-243	85	-603	3438	-11728	10588	-29049	106	-161	2342	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	20	64	1000000	0	229153152	229	394	1466	1466	35122	35194	1833	1789	2811	3490	51128333	51805000	94508333	93363333	2775	2775	0	0	0	0	0	1001533	1002258	512355	511126	1000000	1000000	2.560693626905852	2.5499321530914902	2.560393742078173	2.5606231794667127	24	1080	0	0	-307	103	-519	4049	-48342	180	-86702	318	-37	5532	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
