Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_SAVA-P-AVG-3/3	CLUSTER(3.4,0.0,null)	2	64	1000000	0	93141144	93	74	1633	1633	901557	934346	877	884	4003	4655	233333	250000	1300000	1133333	2325	2325	0	0	0	0	0	99950	99982	499099	499645	1000000	1000000	0.26711057441184477	0.2580854681155641	0.2762603243788441	0.29145177170220554	0	0	-95125	388	19	922	-721	4472	0	0	0	0	-1494	220	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	1000000	0	101135021	101	98	1369	1369	1016600	1054160	842	828	3790	4284	103633333	97916666	99033333	96516666	3633	3633	0	0	0	0	0	100017	100005	499718	499393	1000000	1000000	0.4212681740523802	0.3567623045105249	0.41077959715601803	0.40071339207976714	0	0	-104771	401	75	780	-883	4046	0	0	0	0	-3537	1509	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.4,0.0,null)	4	64	1000000	0	109135808	109	112	1328	1328	1179711	1210770	762	774	3853	4803	113533333	114200000	115600000	114650000	7284	7284	0	0	0	0	0	99959	99979	499857	499609	1000000	1000000	0.4937001248269075	0.5227882625031116	0.5441842139058236	0.5063897881721391	0	0	-111457	438	70	702	-1016	11122	0	0	0	0	-6553	476	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.4,0.0,null)	5	64	1000000	0	117159880	117	130	1311	1311	1228281	1253613	766	761	3931	4837	144383333	145283333	144900000	145416666	12156	12156	0	0	0	0	0	99993	100004	499530	500050	1000000	1000000	0.5748156527689341	0.6001134825836681	0.5754693824079328	0.5916384057234709	0	0	-116423	449	77	683	-1288	5664	235	10596	-127	10658	-9476	1549	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.4,0.0,null)	6	64	1000000	0	125170290	125	153	1345	1345	1127617	1153137	724	738	3966	4946	151300000	151883333	152266666	150800000	16203	16203	0	0	0	0	0	100010	99954	499367	499934	1000000	1000000	0.6688415780857965	0.6927775410384497	0.6547195478287727	0.6552057887898436	0	0	-120244	469	269	2078	-1590	8818	0	0	0	0	-12201	1054	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.4,0.0,null)	8	64	1000000	0	141164461	141	192	1368	1368	1441967	1466096	884	884	4517	5366	167200000	169650000	167450000	166733333	28778	28778	0	0	0	0	0	99994	100005	499679	500204	1000000	1000000	0.798184507142441	0.8201054707672286	0.7828664597785119	0.7482602352051617	0	0	-125974	479	218	1582	-1974	9830	2	10522	0	10666	-20795	2140	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.4,0.0,null)	10	64	1000000	0	157229112	157	236	1479	1479	536963	543568	724	753	4179	5447	67866666	67583333	67450000	66483333	44885	44885	0	0	0	0	0	100048	100018	499592	500742	1000000	1000000	0.9087656360021507	0.9042146604844308	0.8511087796959695	0.8808552224361064	35	196	-129617	489	401	2287	-2184	11276	0	0	0	0	-36846	846	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.4,0.0,null)	15	64	1000000	0	197175197	197	332	1474	1474	953702	959554	877	900	4490	5445	132216666	126133333	121050000	118950000	254818	254818	0	0	0	0	0	99970	99992	499933	500519	1000000	1000000	1.1364033150870345	1.0934928129818462	1.142370475784211	1.147237296022262	27	174	-135359	408	527	2714	-2370	1233	0	0	0	0	-184957	1590	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
