Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	24	64	1000000	0	269136437	269	1369	316	316	26776	26913	1012	1009	4502	5368	119766666	116283333	116666666	115233333	4050	4050	0	0	0	0	0	987460	974420	500185	500451	1000000	1000000	1.2442194313536636	1.2030973131888947	1.2090957200974441	1.2161903213073566	23	138	-113510	325	530	2183	-3619	6370	0	0	0	0	-5141	197	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	28	64	1000000	0	301000917	300	1545	348	348	34627	33954	1035	1011	4507	5278	129400000	128866666	129816666	129250000	4433	4433	0	0	0	0	0	1005192	1015044	499920	500100	1000000	1000000	1.3778720386081031	1.3721635559267569	1.4034960388012963	1.3702379061014298	15	139	-149148	408	604	2388	-3592	5936	0	0	0	0	-5914	761	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	30	64	1000000	0	316814016	316	1638	352	352	34703	33972	1041	1107	4699	5623	143950000	144500000	135916666	134933333	4525	4525	0	0	0	0	0	1018956	1029677	499957	499412	1000000	1000000	1.4507425038531079	1.45241113254196	1.4686307637956932	1.4428359159755095	15	145	-167880	430	967	3774	-3682	4232	0	0	0	0	-5870	252	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	40	64	1000000	0	396313088	396	2239	550	550	61447	61079	1132	1187	5125	5813	173016666	174083333	172433333	172616666	5149	5149	0	0	0	0	0	1026288	1030911	500547	500069	1000000	1000000	1.794873058161401	1.8098605850021006	1.7721018860977271	1.7967419665108595	10	424	-272412	676	1273	4230	-4080	9305	-1048	10878	0	10578	-6064	208	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
% Measurements
% ============
KD_SAVA-P-0	CLUSTER(5.0,0.0,null)	24	64	1000000	0	269134304	269	1366	313	313	27954	26501	1005	1017	4539	5352	119900000	108750000	112750000	108300000	3020	3020	0	0	0	0	0	994436	1054095	500169	500161	1000000	1000000	1.2224085526325186	1.1954234943689162	1.203052531149377	1.2151338783631123	23	138	-119931	364	812	3528	-3936	4120	0	0	0	0	-4346	122	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
KD_SAVA-P-1	CLUSTER(5.0,0.0,null)	24	64	1000000	0	269139968	269	1373	325	325	28699	29555	1033	1053	4509	5421	119050000	119950000	118400000	118200000	5200	5200	0	0	0	0	0	864158	826507	500624	500898	1000000	1000000	1.2701226078689838	1.1906619397182527	1.2357950337362806	1.2288328164340812	23	140	-108124	294	0	0	-2779	10216	-542	10834	0	0	-6118	304	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
KD_SAVA-P-2	CLUSTER(5.0,0.0,null)	24	64	1000000	0	269135040	269	1369	311	311	23675	24683	998	957	4458	5333	120350000	120150000	118850000	119200000	3931	3931	0	0	0	0	0	1103787	1042658	499762	500295	1000000	1000000	1.2401271335594886	1.2232065054795147	1.1884395954066753	1.204604269124876	23	138	-112474	318	780	3022	-4141	4776	0	0	0	0	-4959	166	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
KD_SAVA-P-0	CLUSTER(5.0,0.0,null)	28	64	1000000	0	301009088	301	1550	324	324	34719	36354	1074	1055	4505	5444	132100000	131100000	132700000	132500000	4398	4398	0	0	0	0	0	1048089	1008595	499541	499713	1000000	1000000	1.370420502263558	1.3608878486416554	1.4318484889143814	1.3615051963546572	16	144	-151269	434	922	3902	-4508	10944	0	0	0	0	-4947	146	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
