Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_SAVA-P-AVG-3/3	CUBE(1.0,0.0,null)	24	64	1000000	0	269133706	269	453	1379	1379	83445	82811	1189	1161	3963	4513	175836666	176438333	182650000	184003333	3817	3817	0	0	0	0	0	1000072	1000473	510553	510019	1000000	1000000	0.8432118104615163	0.8429102530762891	0.9288249737068256	0.929747235438442	118	661	-241056	676	799	3752	-2613	5379	26	53332	0	53004	-1395	148	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CUBE(1.0,0.0,null)	28	64	1000000	0	300988016	300	523	1450	1450	105357	105057	1248	1235	4117	4835	192103333	192178333	192141666	193560000	3967	3967	0	0	0	0	0	1000879	1000218	508875	508428	1000000	1000000	0.9966077433183455	0.9957020811681908	1.0890072476987083	1.0881482374150666	176	904	-308844	809	603	2720	-3060	758	0	53010	0	63226	-1407	100	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CUBE(1.0,0.0,null)	30	64	1000000	0	316774186	316	572	1429	1429	112612	111695	1249	1240	4109	4775	200743333	200996666	201991666	202145000	3757	3757	0	0	0	0	0	1001011	1000618	508342	507224	1000000	1000000	1.0697177693627662	1.0704371682002578	1.1630050939725047	1.1627308247872732	196	928	-337950	880	978	4231	-3076	5248	14	63428	0	63406	-1375	180	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CUBE(1.0,0.0,null)	40	64	1000000	0	397408736	397	773	1764	1764	156170	158489	1469	1460	4623	5103	242370000	240270000	239900000	240156666	4171	4171	0	0	0	0	0	998175	998796	506801	505980	1000000	1000000	1.4159159589480421	1.4200095095350278	1.5112864135390485	1.5113977294520193	531	2533	-514023	1280	420	1583	-3915	5560	0	76380	0	76180	-1789	1434	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
% Measurements
% ============
KD_SAVA-P-0	CUBE(1.0,0.0,null)	24	64	1000000	0	269134464	269	474	1405	1405	85356	84132	1178	1119	3876	4267	173925000	173805000	180235000	179740000	3564	3564	0	0	0	0	0	998898	999819	510522	509750	1000000	1000000	0.8430505083105079	0.844754159843103	0.9291630975366179	0.9276759563022831	19	154	-246026	654	785	3508	-2975	4708	26	53332	0	53004	-1233	106	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-1	CUBE(1.0,0.0,null)	24	64	1000000	0	269133368	269	458	1332	1332	79102	78220	1145	1141	3872	4560	172820000	173480000	180530000	184030000	3980	3980	0	0	0	0	0	1000361	1001046	510963	510515	1000000	1000000	0.8443237482547606	0.8381200664354068	0.9285193497612708	0.9306528109431603	162	866	-233600	658	805	3804	-2181	7158	0	53392	0	52616	-1756	202	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-2	CUBE(1.0,0.0,null)	24	64	1000000	0	269133288	269	429	1402	1402	85877	86082	1246	1224	4142	4714	180765000	182030000	187185000	188240000	3909	3909	0	0	0	0	0	1000957	1000555	510176	509793	1000000	1000000	0.8422611748192803	0.8458565329503575	0.9287924738225884	0.9309129390698825	173	964	-243541	716	808	3944	-2682	4272	26	53382	0	53202	-1196	138	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-0	CUBE(1.0,0.0,null)	28	64	1000000	0	300988056	300	496	1487	1487	102253	102164	1235	1209	4168	4930	192425000	192355000	192990000	193610000	3980	3980	0	0	0	0	0	1004704	1002557	508555	508033	1000000	1000000	1.0005318538976353	0.9983985362943133	1.0855547621648245	1.087014175589497	174	946	-304604	810	893	3806	-3383	730	0	53010	0	63226	-1414	90	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-1	CUBE(1.0,0.0,null)	28	64	1000000	0	300988240	300	513	1437	1437	107525	106713	1265	1240	4004	4851	192290000	191465000	191610000	191520000	3881	3881	0	0	0	0	0	998104	1000178	508841	508806	1000000	1000000	0.9929212221705529	0.9942399702958282	1.0897477940772955	1.0881883915260866	186	926	-307431	792	892	4064	-2618	702	0	0	0	0	-1399	116	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-2	CUBE(1.0,0.0,null)	28	64	1000000	0	300987752	300	561	1428	1428	106295	106294	1246	1258	4181	4726	191595000	192715000	191825000	195550000	4040	4040	0	0	0	0	0	999829	997919	509229	508447	1000000	1000000	0.996370153886848	0.9944677369144307	1.0917191868540046	1.0892421451296161	167	842	-314498	826	24	290	-3178	842	0	53030	0	53176	-1408	94	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-0	CUBE(1.0,0.0,null)	30	64	1000000	0	316773080	316	579	1469	1469	112726	112131	1278	1252	4168	4870	202785000	201470000	201510000	201775000	3777	3777	0	0	0	0	0	1001597	1002341	508444	507085	1000000	1000000	1.0707398661707273	1.0756954061987907	1.1625219301383862	1.1599048975325812	192	924	-337201	874	970	4292	-2732	788	14	63428	0	63406	-1418	154	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-1	CUBE(1.0,0.0,null)	30	64	1000000	0	316774840	316	560	1395	1395	111625	110026	1184	1187	4020	4713	196805000	199345000	201320000	201980000	3888	3888	0	0	0	0	0	1002368	1001508	508856	506936	1000000	1000000	1.0726338525968422	1.0634982851545354	1.1635820432083483	1.162713229862297	198	930	-339449	886	985	4086	-2799	718	0	52796	0	63640	-1332	208	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-2	CUBE(1.0,0.0,null)	30	64	1000000	0	316774640	316	577	1425	1425	113487	112930	1287	1283	4140	4744	202640000	202175000	203145000	202680000	3606	3606	0	0	0	0	0	999068	998007	507726	507653	1000000	1000000	1.065779589320729	1.0721178132474471	1.1629113085707794	1.1655743469669417	198	930	-337201	880	979	4316	-3697	14238	0	65052	0	53992	-1376	180	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-0	CUBE(1.0,0.0,null)	40	64	1000000	0	397408736	397	767	1765	1765	151915	152306	1438	1478	4633	5039	243650000	242400000	241720000	242260000	3934	3934	0	0	0	0	0	1000859	1001900	506245	506178	1000000	1000000	1.4214636197157364	1.4210703304408512	1.507374388517538	1.5095464413947761	524	2514	-503434	1216	0	0	-3407	7314	0	76380	0	76180	-861	104	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-1	CUBE(1.0,0.0,null)	40	64	1000000	0	397408736	397	788	1791	1791	158886	161159	1578	1478	4527	5288	238535000	233605000	233865000	233810000	4031	4031	0	0	0	0	0	997274	998129	507084	506544	1000000	1000000	1.4129865016929446	1.4165098845881898	1.5139229856944714	1.509492127608376	532	2554	-515948	1306	1261	4750	-4407	940	0	0	0	0	-883	74	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
KD_SAVA-P-2	CUBE(1.0,0.0,null)	40	64	1000000	0	397408736	397	765	1738	1738	157711	162002	1393	1426	4710	4982	244925000	244805000	244115000	244400000	4548	4548	0	0	0	0	0	996392	996361	507075	505219	1000000	1000000	1.4132977554354462	1.4224483135760428	1.5125618664051363	1.515154619352906	538	2532	-522686	1318	0	0	-3931	8428	0	75550	0	65512	-3623	4126	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
