Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC-P-AVG-3/3	CLUSTER(5.0,0.0,null)	30	64	1000000	247	254064130	253	1671	1507	1507	501	486	1089	1057	2822	2813	7166666	7383333	7683333	7450000	1366	1366	282849	48	0	20	2053	1018956	1029677	499957	499412	1000000	1000000	1.4507425038531079	1.45241113254196	1.4686307637956932	1.4428359159755095	-894	863	0	0	203	1261	-1025	88	0	0	0	0	-689	25	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CLUSTER(5.0,0.0,null)	40	64	1000000	326	346853416	346	2241	1763	1763	788	723	1265	1209	3306	3201	18400000	15300000	15133333	14600000	1589	1589	281452	48	0	28	3401	1026288	1030911	500547	500069	1000000	1000000	1.794873058161401	1.8098605850021006	1.7721018860977271	1.7967419665108595	-1019	1112	0	0	266	1428	-1608	105	0	0	0	0	-302	9	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
% Measurements
% ============
PHC-P-0	CLUSTER(5.0,0.0,null)	30	64	1000000	247	253338256	253	1670	1486	1486	494	481	1082	1050	2819	2786	7050000	6800000	7650000	6800000	1349	1349	281340	48	0	22	2349	965421	998061	500043	499286	1000000	1000000	1.4448754415735223	1.4196054559704527	1.4839785746992464	1.4179085634199542	-911	844	0	0	0	0	-1244	106	0	0	0	0	-674	30	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
PHC-P-1	CLUSTER(5.0,0.0,null)	30	64	1000000	248	254845816	254	1671	1566	1566	507	476	1106	1106	2829	2822	7350000	8600000	8250000	8050000	1351	1351	284615	48	0	20	1912	1055416	1067604	500469	499183	1000000	1000000	1.4852628665458918	1.4694359551259566	1.4650382563819642	1.4602385109156268	-883	884	0	0	610	3784	-597	48	0	0	0	0	-695	24	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
PHC-P-2	CLUSTER(5.0,0.0,null)	30	64	1000000	247	254008320	254	1672	1471	1471	503	501	1081	1017	2818	2831	7100000	6750000	7150000	7500000	1398	1398	282592	48	0	20	1899	1036031	1023368	499360	499769	1000000	1000000	1.4220892034399095	1.4681919865294701	1.4568754603058687	1.450360673590948	-887	862	0	0	0	0	-1233	110	0	0	0	0	-699	22	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
PHC-P-0	CLUSTER(5.0,0.0,null)	40	64	1000000	326	345521904	345	2230	1758	1758	813	729	1229	1186	3305	3166	16400000	14450000	16000000	14300000	1601	1601	278826	48	0	32	3775	981088	996447	500000	500237	1000000	1000000	1.7702295230434835	1.796893216243778	1.7965596083417985	1.828079393402006	-1107	1000	0	0	800	4284	-1603	100	0	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
PHC-P-1	CLUSTER(5.0,0.0,null)	40	64	1000000	326	347803976	347	2268	1751	1751	773	736	1284	1226	3286	3208	19600000	15850000	15700000	14250000	1577	1577	282607	48	0	24	2889	1054733	1011703	500830	500669	1000000	1000000	1.8193403265412447	1.8473810356047273	1.763267509107288	1.7766015292837065	-843	1352	0	0	0	0	-1609	104	0	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
PHC-P-2	CLUSTER(5.0,0.0,null)	40	64	1000000	326	347234368	347	2226	1780	1780	779	706	1282	1217	3327	3230	19200000	15600000	13700000	15250000	1591	1591	282925	48	0	29	3540	1043043	1084583	500812	499302	1000000	1000000	1.795049324899475	1.7853075031577958	1.7564785408440948	1.7855449768468656	-1108	984	0	0	0	0	-1611	112	0	0	0	0	-906	28	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
