Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	30	64	1000000	353	411316986	411	557	2681	2681	41286	42092	1109	1094	1499	1459	224941666	225860000	240786666	237921666	2018	2018	79499	54	0	512	145594	1001011	1000618	508342	507224	1000000	1000000	1.0697177693627662	1.0704371682002578	1.1630050939725047	1.1627308247872732	-865	1696	0	0	536	2472	-1187	50	-7567	32	-8513	36	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	40	64	1000000	545	623002461	622	801	2869	2869	60498	59142	1324	1289	1846	1799	302941666	305278333	306535000	306528333	2458	2458	76178	54	0	83	222409	998175	998796	506801	505980	1000000	1000000	1.4159159589480421	1.4200095095350278	1.5112864135390485	1.5113977294520193	-421	2537	0	0	0	0	-1022	46	-10051	48	-10051	52	-411	7	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
% Measurements
% ============
PHC-P-0	CUBE(1.0,0.0,null)	30	64	1000000	353	412474864	412	560	2715	2715	40504	41069	1079	1062	1515	1472	222300000	225625000	239425000	239470000	1999	1999	79655	54	0	515	145578	1001597	1002341	508444	507085	1000000	1000000	1.0707398661707273	1.0756954061987907	1.1625219301383862	1.1599048975325812	-864	1712	0	0	807	3638	-1783	76	-7567	32	-8513	36	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC-P-1	CUBE(1.0,0.0,null)	30	64	1000000	353	410296016	410	555	2669	2669	41140	41734	1142	1119	1501	1469	228410000	226115000	242045000	241420000	2021	2021	79542	54	0	510	145420	1002368	1001508	508856	506936	1000000	1000000	1.0726338525968422	1.0634982851545354	1.1635820432083483	1.162713229862297	-868	1682	0	0	801	3778	0	0	-7542	36	-8485	34	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC-P-2	CUBE(1.0,0.0,null)	30	64	1000000	353	411180080	411	557	2660	2660	42216	43473	1108	1103	1481	1438	224115000	225840000	240890000	232875000	2035	2035	79301	54	0	511	145784	999068	998007	507726	507653	1000000	1000000	1.065779589320729	1.0721178132474471	1.1629113085707794	1.1655743469669417	-865	1696	0	0	0	0	-1779	74	-7551	34	-8495	32	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC-P-0	CUBE(1.0,0.0,null)	40	64	1000000	545	619121440	619	800	2792	2792	58747	57213	1288	1259	1852	1844	303075000	309580000	313385000	311625000	2496	2496	76358	54	0	83	222530	1000859	1001900	506245	506178	1000000	1000000	1.4214636197157364	1.4210703304408512	1.507374388517538	1.5095464413947761	-415	2472	0	0	0	0	-1113	42	-10051	48	-10051	52	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC-P-1	CUBE(1.0,0.0,null)	40	64	1000000	545	624173824	624	777	2964	2964	62052	60820	1346	1312	1887	1810	307185000	308160000	307465000	307700000	2440	2440	76332	54	0	83	222505	997274	998129	507084	506544	1000000	1000000	1.4129865016929446	1.4165098845881898	1.5139229856944714	1.509492127608376	-432	2626	0	0	0	0	-977	48	-10051	44	-10051	44	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC-P-2	CUBE(1.0,0.0,null)	40	64	1000000	544	625712120	625	826	2853	2853	60696	59393	1339	1297	1799	1743	298565000	298095000	298755000	300260000	2440	2440	75846	54	0	83	222194	996392	996361	507075	505219	1000000	1000000	1.4132977554354462	1.4224483135760428	1.5125618664051363	1.515154619352906	-417	2514	0	0	0	0	-976	50	-10051	44	-10051	42	-1235	22	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
