Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	64	63853816	63	84	749	749	173	166	602	596	942	927	5200	5200	23066	23000	667	667	622567	44	255074	0	0	999996	1000452	624460	541112	1000000	1000000	5.000900856077291E-4	4.996846394740325E-4	0.0012346094866408442	0.0012364810419738719	0	0	0	0	0	0	-1230	106	0	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	65	64672669	64	99	655	655	210	204	454	446	662	667	11133	11433	48366	46766	537	537	449897	47	126552	0	0	1000546	1001094	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	0	0	0	0	-1131	64	0	0	0	0	-99	4	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	64	62912373	62	127	687	687	265	255	402	400	599	604	25333	26333	59666	59666	552	552	348343	49	38897	0	0	999759	999830	562362	537040	1000000	1000000	0.01935176107839474	0.019394396900910233	0.031091077342385132	0.03120137269448726	-150	188	0	0	0	0	-1708	60	0	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	65	63254978	63	156	753	753	447	447	395	389	636	628	52666	55666	138333	136000	612	612	283885	50	13578	0	0	1000111	1000222	549572	533286	1000000	1000000	0.0423091960242166	0.04247474658536765	0.062079606924251664	0.062027953953907526	-159	157	0	0	0	0	-940	30	0	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	6	64	1000000	69	67556794	67	179	881	881	881	818	438	430	691	683	139666	163666	350000	320333	771	771	241124	51	5133	0	0	1001031	1000759	541046	529634	1000000	1000000	0.07295709007237479	0.07205745419518624	0.100402167046217	0.1004078615904375	-164	136	0	0	0	0	-1359	70	0	0	-292	2	-301	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	8	64	1000000	80	91301554	91	198	1248	1248	2484	2448	589	585	850	890	598000	590000	1409666	1384333	1111	1111	199431	51	95	567	2835	1001334	1001940	530931	524479	1000000	1000000	0.14716698432649616	0.14823056236491142	0.1896641876483723	0.19008366722867046	-424	80	0	0	0	0	-899	44	-305	2	-859	6	-90	6	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	10	64	1000000	97	108309112	107	237	1390	1390	5314	5165	640	615	914	894	1888666	1823666	4626000	4515000	1130	1130	199266	52	0	353	5973	1001279	1001084	524673	521258	1000000	1000000	0.23309098042084778	0.23377310561486467	0.2868428828220049	0.28708345807176977	-629	131	0	0	0	0	-1055	39	-868	6	-2316	14	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	12	64	1000000	125	134456565	134	311	1410	1410	12108	12122	617	572	883	884	6828333	6943333	15871666	15801666	1056	1056	211779	52	0	457	24493	1002350	1001650	521060	517711	1000000	1000000	0.32694712130972703	0.32383914525401236	0.3841106881018062	0.38415916560033697	-603	138	0	0	0	0	-1326	56	-1063	6	-1761	10	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	16	64	1000000	196	218835285	218	322	1904	1904	24748	24322	727	716	1076	1104	48188333	48851666	70851666	71091666	1485	1485	103556	53	0	742	121740	1001879	1002611	515289	513537	1000000	1000000	0.5044571953074051	0.5056462627223247	0.5767978973452794	0.5782334679029254	-576	1264	0	0	433	2350	-484	23	-3127	14	-4691	18	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	20	64	1000000	258	326325978	326	377	2443	2443	31327	31681	876	836	1161	1146	98553333	98138333	132205000	132133333	1614	1614	41406	54	0	1284	178690	1001533	1002258	512355	511126	1000000	1000000	0.6783312452771523	0.6723055667481047	0.7599712289098576	0.7599409192161706	-423	2146	0	0	608	3000	-1348	50	-2159	10	-3593	18	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	24	64	1000000	268	327173408	327	461	2537	2537	32262	32692	936	913	1281	1286	148241666	148015000	177618333	181756666	2025	2025	56841	54	0	351	123155	1000072	1000473	510553	510019	1000000	1000000	0.8432118104615163	0.8429102530762891	0.9288249737068256	0.929747235438442	-646	1718	0	0	436	2114	-1435	69	-4577	22	-5339	24	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	28	64	1000000	322	377468314	377	548	2618	2618	38028	37984	1074	1072	1437	1435	201988333	202153333	220598333	220830000	2028	2028	73373	54	0	465	135725	1000879	1000218	508875	508428	1000000	1000000	0.9966077433183455	0.9957020811681908	1.0890072476987083	1.0881482374150666	-829	1574	0	0	249	1191	-1132	44	-6981	30	-6981	36	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	30	64	1000000	353	411316986	411	557	2681	2681	41286	42092	1109	1094	1499	1459	224941666	225860000	240786666	237921666	2018	2018	79499	54	0	512	145594	1001011	1000618	508342	507224	1000000	1000000	1.0697177693627662	1.0704371682002578	1.1630050939725047	1.1627308247872732	-865	1696	0	0	536	2472	-1187	50	-7567	32	-8513	36	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	40	64	1000000	545	623002461	622	801	2869	2869	60498	59142	1324	1289	1846	1799	302941666	305278333	306535000	306528333	2458	2458	76178	54	0	83	222409	998175	998796	506801	505980	1000000	1000000	1.4159159589480421	1.4200095095350278	1.5112864135390485	1.5113977294520193	-421	2537	0	0	0	0	-1022	46	-10051	48	-10051	52	-411	7	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
% Measurements
% ============
PHC-P-0	CUBE(1.0,0.0,null)	2	64	1000000	64	63821248	63	91	751	751	183	167	592	593	954	915	4900	5100	22600	22700	638	638	622223	44	255238	0	0	1000356	999005	623724	540771	1000000	1000000	5.002145896085513E-4	4.997212822514728E-4	0.0012337468206937122	0.0012377087370578385	0	0	0	0	0	0	-1133	110	0	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-1	CUBE(1.0,0.0,null)	2	64	1000000	64	63881896	63	80	772	772	168	164	598	589	918	939	4800	5100	22900	23100	658	658	622758	44	255097	0	0	1001344	1001740	624644	541361	1000000	1000000	5.023826053741539E-4	4.970665531461334E-4	0.001234765041581389	0.0012359511843212593	0	0	0	0	0	0	-1429	116	0	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-2	CUBE(1.0,0.0,null)	2	64	1000000	64	63858304	63	81	724	724	170	167	617	608	955	928	5900	5400	23700	23200	707	707	622720	44	254888	0	0	998289	1000612	625014	541206	1000000	1000000	4.97673061840482E-4	5.022660830244911E-4	0.0012353165976474313	0.001235783204542518	0	0	0	0	0	0	-1128	94	0	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-0	CUBE(1.0,0.0,null)	3	64	1000000	65	64512336	64	103	668	668	205	206	463	444	652	696	11100	11200	46800	48300	537	537	450056	47	126481	0	0	999455	999477	583280	540103	1000000	1000000	0.005540494385698991	0.005522094710687428	0.01032014395051017	0.010320052554053182	0	0	0	0	0	0	-1121	80	0	0	0	0	-297	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-1	CUBE(1.0,0.0,null)	3	64	1000000	65	64981824	64	96	647	647	203	205	451	439	651	639	11300	11700	47800	47800	548	548	449687	47	126486	0	0	1001150	1002958	582935	541949	1000000	1000000	0.005551490700883239	0.00554313718533145	0.010302345415432715	0.010323751122532447	0	0	0	0	0	0	-1135	52	0	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-2	CUBE(1.0,0.0,null)	3	64	1000000	65	64523848	64	98	650	650	224	203	448	456	683	668	11000	11400	50500	44200	527	527	449950	47	126690	0	0	1001034	1000848	582958	541161	1000000	1000000	0.005556666226728621	0.005566927827688519	0.01031092461678528	0.010281202685194179	0	0	0	0	0	0	-1138	60	0	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
