Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	2	64	1000000	59	58586096	58	81	465	465	196	119	463	461	1676	1752	16816666	16833333	24133333	31166666	410	410	690901	16	221089	0	0	99950	99982	499099	499645	1000000	1000000	0.2500941713264792	0.23080393500735483	0.2687422087107168	0.2876459696245886	-210	79	0	0	0	0	-1299	146	-311	2	-292	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	58	56957850	56	108	569	569	142	119	426	428	1668	1659	29533333	25766666	46016666	47116666	425	425	590335	18	105133	0	0	100017	100005	499718	499393	1000000	1000000	0.40318189769471263	0.363708606694283	0.40108976343973396	0.3758159742876579	-448	145	0	0	0	0	-1466	176	-292	0	-287	2	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	4	64	1000000	53	52395410	52	121	536	536	236	142	430	429	1727	1711	36350000	33966666	50983333	55233333	514	514	497323	18	19561	0	0	99959	99979	499857	499609	1000000	1000000	0.4652455951596222	0.5170112288227925	0.5069551871809449	0.49041724207144016	-468	110	0	0	0	0	-1644	190	-294	2	-286	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	5	64	1000000	50	49380434	49	136	605	605	246	192	431	430	1805	1751	43150000	43733333	58766666	60300000	569	569	419804	19	7216	0	0	99993	100004	499530	500050	1000000	1000000	0.5535928143188216	0.5870367667811224	0.5500875604641657	0.5805740540077823	-479	85	0	0	0	0	-1270	164	-291	2	-573	2	-188	17	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	6	64	1000000	48	46803349	46	160	657	657	192	140	439	433	1866	1808	46700000	46433333	51600000	62233333	615	615	358285	19	280	0	0	100010	99954	499367	499934	1000000	1000000	0.6427653500623185	0.6558880765221893	0.6246694405645035	0.6296156933344473	-489	70	0	0	0	0	-1597	200	-288	2	-286	0	-286	31	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	8	64	1000000	49	49399661	49	192	675	675	203	146	480	476	2030	2060	56200000	59150000	66233333	68833333	673	673	295051	20	0	0	0	99994	100005	499679	500204	1000000	1000000	0.7670403734327199	0.7788030451278689	0.7439432283145394	0.7187716616634567	-753	96	0	0	83	520	-1684	174	-592	4	-573	2	-285	17	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	10	64	1000000	53	53689869	53	232	780	780	189	149	495	495	2319	2370	59316666	66033333	80333333	67816666	737	737	255251	21	0	0	0	100048	100018	499592	500742	1000000	1000000	0.8770058693684314	0.8663990727791401	0.8282254874007077	0.8344029702705672	-759	68	0	0	170	1054	-2126	162	-578	2	-286	2	-383	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	12	64	1000000	55	55360392	55	251	881	881	273	169	522	519	2683	2731	69983333	59733333	69116666	81566666	840	840	200352	21	0	0	0	100018	99996	500254	500049	1000000	1000000	0.9712296919719162	0.953264579978736	0.928579565120964	0.9706406943273801	-1024	73	0	0	164	1191	-2647	192	-582	4	-573	4	-482	11	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	15	64	1000000	57	56971074	56	314	1053	1053	466	209	553	551	3217	3201	62150000	73433333	73566666	76466666	934	934	117795	22	0	0	0	99970	99992	499933	500519	1000000	1000000	1.0838145542779778	1.0609657453138688	1.0875360411462698	1.0661812818718954	-1302	70	0	0	244	1882	-2366	153	-289	2	-286	2	-583	9	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	16	64	1000000	57	58183224	57	340	1064	1064	336	202	556	549	3206	3209	67883333	67750000	84216666	81033333	937	937	96182	22	0	0	0	99953	100045	499665	499729	1000000	1000000	1.1315895769638036	1.091772888035484	1.136279339051131	1.107273868718271	-1304	64	0	0	0	0	-1805	136	-292	2	-576	4	-486	11	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
