Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC_IPP-P-AVG-3/3	CUBE(1.0,0.0,null)	30	64	1000000	428	437990202	437	574	1654	1654	85729	85204	651	640	996	961	246011666	245708333	246396666	246095000	1472	1472	17955	36	0	1	244500	1001011	1000618	508342	507224	1000000	1000000	1.069717769362916	1.0704371681997715	1.163005093972646	1.1627308247871522	-232	1126	0	0	794	2857	-305	10	-1927	8	-952	4	-970	20	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC_IPP-P-AVG-3/3	CUBE(1.0,0.0,null)	40	64	1000000	580	609551800	609	782	2051	2051	108002	109807	779	745	1138	1126	275086666	274656666	274263333	274345000	1770	1770	82	36	0	1	263277	998175	998796	506801	505980	1000000	1000000	1.4159159589476633	1.4200095095348628	1.5112864135390909	1.5113977294520773	644	3452	0	0	919	3440	-2216	81	0	0	0	0	-1126	19	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
% Measurements
% ============
PHC_IPP-P-0	CUBE(1.0,0.0,null)	30	64	1000000	428	437835872	437	585	1637	1637	84897	85437	635	622	987	970	245880000	244285000	246355000	245370000	1470	1470	17753	36	0	1	244489	1001597	1002341	508444	507085	1000000	1000000	1.0707398661708927	1.0756954061977901	1.1625219301387317	1.1599048975324904	-237	1134	0	0	788	2812	-915	32	-1927	8	-952	4	-977	26	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC_IPP-P-1	CUBE(1.0,0.0,null)	30	64	1000000	429	437759816	437	574	1622	1622	86411	84570	641	640	1009	961	244315000	244175000	246870000	246125000	1448	1448	17983	36	0	1	244498	1002368	1001508	508856	506936	1000000	1000000	1.0726338525968213	1.0634982851546753	1.1635820432085076	1.1627132298621743	-223	1118	0	0	806	2838	0	0	-1924	10	-1903	8	-974	20	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC_IPP-P-2	CUBE(1.0,0.0,null)	30	64	1000000	429	438374920	438	564	1704	1704	85881	85606	679	660	994	954	247840000	248665000	245965000	246790000	1500	1500	18129	36	0	1	244513	999068	998007	507726	507653	1000000	1000000	1.0657795893210338	1.0721178132468492	1.1629113085706988	1.1655743469667914	-237	1126	0	0	789	2922	0	0	-1925	8	-1905	8	-961	16	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC_IPP-P-0	CUBE(1.0,0.0,null)	40	64	1000000	580	609036088	609	788	2072	2072	108323	108842	794	743	1129	1119	275325000	273865000	272865000	273250000	1785	1785	88	36	0	1	262968	1000859	1001900	506245	506178	1000000	1000000	1.421463619715313	1.4210703304404837	1.5073743885178152	1.5095464413946145	642	3484	0	0	919	3436	-2216	80	0	0	0	0	-1126	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC_IPP-P-1	CUBE(1.0,0.0,null)	40	64	1000000	581	609766128	609	789	2050	2050	107378	110399	776	736	1138	1131	273555000	273685000	275320000	274470000	1761	1761	84	36	0	1	263379	997274	998129	507084	506544	1000000	1000000	1.4129865016929053	1.416509884588316	1.5139229856944885	1.5094921276085747	655	3454	0	0	919	3334	-2216	82	0	0	0	0	-1127	20	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC_IPP-P-2	CUBE(1.0,0.0,null)	40	64	1000000	581	609853184	609	770	2031	2031	108307	110181	769	757	1148	1129	276380000	276420000	274605000	275315000	1765	1765	76	36	0	1	263486	996392	996361	507075	505219	1000000	1000000	1.4132977554347719	1.4224483135757893	1.5125618664049691	1.515154619353043	635	3418	0	0	919	3550	-2216	82	0	0	0	0	-1127	20	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
