Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	2	64	1000000	0	100478794	100	100	530	530	249	123	521	518	1743	1784	16400000	17116666	19883333	22700000	304	304	418297	21	0	0	0	99950	99982	499099	499645	999562	998689	0.26711057441184477	0.2580854681155641	0.2762603243788441	0.29145177170220554	-92	478	0	0	0	0	-385	170	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000000433602516, 0.40000000000571856]/0.9999095695035185 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	1000000	0	129886533	129	90	541	541	349	129	668	664	2375	2501	54633333	47833333	66116666	59416666	441	441	549712	20	0	0	0	100017	100005	499718	499393	999440	998142	0.4212681740523802	0.3567623045105249	0.41077959715601803	0.40071339207976714	-91	440	0	0	0	0	-346	2562	0	0	0	0	-144	115	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000003637270491, 0.4000000000157521, 0.4000000000219295]/0.9999085578364101 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	4	64	1000000	0	149804413	149	105	547	547	383	219	728	728	2957	3175	68350000	82366666	93516666	78616666	400	400	536014	19	0	0	0	99959	99979	499857	499609	999391	998039	0.4937001248269075	0.5227882625031116	0.5441842139058236	0.5063897881721391	-93	393	0	0	0	0	-715	3874	-256	2	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000003353292385, 0.40000000000644464, 0.400000000023435, 0.4000000000051116]/0.9999083103450072 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	5	64	1000000	0	139839392	139	163	543	543	559	396	774	756	3099	3217	69750000	70400000	66766666	72600000	419	419	316212	19	0	0	0	99993	100004	499530	500050	999503	998261	0.5748156527689341	0.6001134825836681	0.5754693824079328	0.5916384057234709	-73	400	0	0	0	0	-721	996	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000000898556027, 0.4000000000523932, 0.4000000000165108, 0.3999999999956033, 0.40000000001278324]/0.9999085758752478 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	6	64	1000000	0	165439493	165	151	491	491	999	800	820	833	3591	3579	90000000	88650000	79466666	83433333	525	525	298446	19	0	0	0	100010	99954	499367	499934	999585	998401	0.6688415780857965	0.6927775410384497	0.6547195478287727	0.6552057887898436	-62	259	0	0	0	0	-804	7852	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999967899318565, 0.4000000000010746, 0.40000000002789593, 0.4000000000356708, 0.3999999999876557, 0.40000000000608926]/0.9999077321106369 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	8	64	1000000	0	293460666	293	175	602	602	5003	4735	950	926	4099	4251	91433333	90283333	86183333	81816666	814	814	288487	14	0	0	0	99994	100005	499679	500204	999725	998818	0.798184507142441	0.8201054707672286	0.7828664597785119	0.7482602352051617	-85	258	0	0	0	0	-444	6866	0	0	0	0	93	2202	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000011869641799, 0.4000000000043624, 0.400000000060477, 0.3999999999599017, 0.40000000003349223, 0.40000000004756564, 0.3999999999926318, 0.3999999999930395]/0.9999068920337115 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	10	64	1000000	0	757124120	756	214	1155	1155	33426	33553	1063	1048	5423	5684	243733333	218683333	218283333	208250000	1619	1619	288090	12	0	0	0	100048	100018	499592	500742	999824	999193	0.9087656360021507	0.9042146604844308	0.8511087796959695	0.8808552224361064	541	1804	0	0	0	0	-2575	3692	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.500000373728568, 0.40000000015331294, 0.40000000004072944, 0.4000000001337474, 0.4000000000328675, 0.40000000012650816, 0.3999999999911694, 0.4000000001473495, 0.4000000000227474, 0.40000000004566105]/0.999909034289735 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	15	64	1000000	0	19117462784	19116	315	10615	10615	6901628	6853133	1197	1199	45069	46108	4262316666	4150216666	4283866666	4630116666	22633	22633	288376	7	0	0	0	99970	99992	499933	500519	999954	999730	1.1364033150870345	1.0934928129818462	1.142370475784211	1.147237296022262	-487	15076	-3351	204	0	0	-53828	90164	0	0	0	0	-8346	10300	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000010513136857, 0.4000000000500028, 0.3999999997902203, 0.399999999878652, 0.4000000001108947, 0.40000000004876, 0.3999999999800292, 0.3999999999544936, 0.40000000001125147, 0.40000000025529026, 0.39999999999832625, 0.4000000000526569, 0.3999999999436542, 0.39999999987956536, 0.40000000008642744]/0.9999052921636701 WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
