Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	2	64	1000000	0	88104072	88	164	218	218	63	50	437	432	1102	1140	12666	12666	36000	32666	238	238	290855	15	0	0	0	1000447	976568	499099	499645	1000000	1000000	0.01282168261402091	0.012605968829314265	0.013473813669923146	0.013330113347938322	0	0	0	0	0	0	-252	36	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4997828466486707, 0.4998777178609076]/1.006065613029761 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107330218	107	210	224	224	78	58	399	397	995	1089	27000	26333	62333	65000	262	262	360784	13	0	0	0	1007584	1003849	499718	499393	1000000	1000000	0.053679741473046515	0.053743099574322516	0.05466713670559208	0.05550500470104767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999305039645927, 0.5000812838111881, 0.49947350916289235]/1.004276997583565 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	4	64	1000000	0	128932253	128	265	417	417	92	79	447	445	1188	1338	56666	66666	116666	133333	319	319	433541	12	0	0	0	1054509	1007909	499857	499609	1000000	1000000	0.11054441567122535	0.1104992503623301	0.11262976773213564	0.11257553416012445	-24	397	0	0	0	0	-4	4010	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49841428546131666, 0.4989873069244043, 0.49964151129250317, 0.5007325350941952]/1.0059020847093152 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	5	64	1000000	0	151678066	151	310	439	439	103	91	471	501	1286	1414	116666	126666	253333	213333	369	369	497075	12	0	0	0	1028606	1020580	499530	500050	1000000	1000000	0.17326853101150433	0.17603668060065028	0.17606126296379107	0.1723878525950028	-15	390	0	0	0	0	46	4428	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4994445392465941, 0.4995629778118894, 0.5003345914330916, 0.49934890817136246, 0.49840922002094507]/1.0045167459694844 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	6	64	1000000	0	180753797	180	370	419	419	126	109	500	529	1463	1490	223333	213333	353333	383333	411	411	570469	11	0	0	0	1038435	1013732	499367	499934	1000000	1000000	0.24069350662311825	0.23762955340143907	0.24446658063566332	0.23961456638522916	-10	375	0	0	0	0	-86	5166	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4994475297839411, 0.4992289250372431, 0.49971716074607986, 0.49988265561716017, 0.499395597669788, 0.4994788660826835]/1.0058197094305077 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	8	64	1000000	0	235677786	235	473	426	426	209	174	563	613	1705	1700	443333	473333	616666	616666	524	524	550467	11	0	0	0	986496	985181	499679	500204	1000000	1000000	0.37463157028187144	0.379871630888539	0.37876282975497116	0.3853521781964089	-7	298	0	0	0	0	-23	5003	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5005389415034642, 0.4988683595622608, 0.49971156608610034, 0.49929725413726456, 0.4996210438391993, 0.49949167021693347, 0.49868347615350267, 0.5005600124252986]/1.0052275724851278 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	10	64	1000000	0	413915242	413	580	599	599	504	497	695	668	1942	2042	1343333	1403333	1633333	1716666	792	792	622938	11	0	0	0	1032374	1022504	499592	500742	1000000	1000000	0.500135667918466	0.5018915325380049	0.5092851416397347	0.5058069446066715	-26	546	0	0	0	0	-929	6283	0	0	0	0	185	2870	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49930082135505405, 0.49909707036001355, 0.5001709154524412, 0.4991446182293284, 0.4994970331238028, 0.4998761518675733, 0.49962586133428216, 0.49959995937486695, 0.49853470748218104, 0.5015737952772148]/1.003872452690259 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	12	64	1000000	0	1030925482	1030	685	770	770	1880	1836	744	769	2740	2526	5633333	5833333	6366666	6150000	1381	1381	647865	10	0	0	0	993179	1006971	500254	500049	1000000	1000000	0.6240280603276817	0.6195190954698504	0.6336479140530418	0.6347992105173016	815	1352	0	0	368	4447	-665	8189	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000771929756166, 0.4999997245264997, 0.4999431542299625, 0.4991542369499558, 0.4973840814692491, 0.5009636234868201, 0.4990280213516616, 0.4999850653639171, 0.4990460478418774, 0.4982211650303763, 0.49995384755705563, 0.5008208800361504]/1.0059162612386232 WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	16	64	1000000	0	12102129893	12101	888	5831	5831	29934	30490	890	869	7630	7933	0	0	0	0	27864	27864	618064	10	0	0	0	1015889	985930	499665	499729	1000000	1000000	0.0	0.0	0.0	0.0	-192	8186	0	0	0	0	-3463	2241	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5007886282402608, 0.49928605673110316, 0.5008657566681256, 0.4994600076923391, 0.49966762529166153, 0.49990413363385133, 0.49949387586295835, 0.5002798843135331, 0.49802333494215567, 0.4995263986822881, 0.4987958624994156, 0.49926257118959333, 0.49948640086965684, 0.5003265542414403, 0.4999402394770153, 0.4983109616413135]/1.004586340350696 WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
QKDZ-P-AVG-1/3	CLUSTER(5.0,0.0,null)	20	64	1000000	0	0	0	1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Java heap space
% Measurements
% ============
