Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	0	91042890	90	77	578	578	144	133	738	735	913	1025	2766	2833	6833	6733	878	878	320481	11	0	0	0	999996	1000452	624460	541112	1000000	1000000	5.000900856077291E-4	4.996846394740325E-4	0.0012346094866408442	0.0012364810419738719	0	0	0	0	0	0	-255	121	0	0	0	0	-254	88	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000010041965113, 0.5000005718553885]/0.9999986063782893 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	99801578	99	86	463	463	224	211	595	598	786	776	5733	5833	15700	15833	735	735	297105	8	0	0	0	1000546	1001094	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	0	0	0	0	-222	118	0	0	-285	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	0	157576573	157	113	773	773	417	400	606	593	785	839	18666	19333	45666	45666	829	829	665521	6	0	0	0	999759	999830	562362	537040	1000000	1000000	0.01935176107839474	0.019394396900910233	0.031091077342385132	0.03120137269448726	-12	615	0	0	0	0	-24	3394	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000026640546769, 0.5000006444666651, 0.5000023434977174, 0.5000005111588123]/0.9999970060302587 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	0	173645754	173	126	648	648	875	853	548	544	741	760	55000	55666	124666	123333	907	907	678479	5	0	0	0	1000111	1000222	549572	533286	1000000	1000000	0.0423091960242166	0.04247474658536765	0.062079606924251664	0.062027953953907526	2	454	-258	1	0	0	215	4787	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000022881447064, 0.5000052393255053, 0.5000016510794673, 0.4999995603287399, 0.5000012783236596]/0.999995910703882 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	6	64	1000000	0	127999160	127	144	596	596	1204	1207	515	509	731	786	85000	83333	198666	196666	836	836	266289	5	0	0	0	1001031	1000759	541046	529634	1000000	1000000	0.07295709007237479	0.07205745419518624	0.100402167046217	0.1004078615904375	-9	541	-259	1	0	0	-229	71	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000014391211781, 0.5000001074582694, 0.5000027895916221, 0.50000356708018, 0.499998765561972, 0.5000006089243346]/0.9999969997747067 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	8	64	1000000	0	316283874	316	186	760	760	6131	6062	528	520	788	823	731666	756666	1437000	1420000	1013	1013	975894	4	0	0	0	1001334	1001940	530931	524479	1000000	1000000	0.14716698432649616	0.14823056236491142	0.1896641876483723	0.19008366722867046	-4	540	-1059	3	0	0	-445	58	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999849721441153, 0.5000004362416173, 0.5000060476987827, 0.4999959901681611, 0.5000033492217779, 0.5000047565591532, 0.4999992631787378, 0.49999930394585973]/0.9999990504073036 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	10	64	1000000	0	239957176	239	223	586	586	23073	22947	452	450	760	761	5576333	5484666	10596666	10324666	1163	1163	646765	3	0	0	0	1001279	1001084	524673	521258	1000000	1000000	0.23309098042084778	0.23377310561486467	0.2868428828220049	0.28708345807176977	16	491	-2454	9	0	0	-434	138	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999054257916714, 0.5000153312935578, 0.5000040729403961, 0.5000133747425637, 0.5000032867459927, 0.5000126508145852, 0.49999911694159577, 0.500014734946246, 0.5000022747329413, 0.5000045661035933]/0.9999907729777621 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	12	64	1000000	0	455409274	455	249	740	740	31461	31759	444	438	898	944	9700000	10100000	19846666	18786666	2821	2821	978949	3	0	0	0	1002350	1001650	521060	517711	1000000	1000000	0.32694712130972703	0.32383914525401236	0.3841106881018062	0.38415916560033697	606	1568	-4201	11	0	0	-404	68	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000014391211781, 0.49999442214573026, 0.4999999183964957, 0.5000031051223965, 0.5000182977139873, 0.5000106454757878, 0.49999919495398315, 0.50000493063293, 0.49999812149057044, 0.499996820463928, 0.49998813589061586, 0.5000205185244295]/0.9999962379826282 WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	20	64	1000000	0	366948336	366	394	481	481	114930	114539	431	431	849	873	0	0	0	0	1090	1090	644734	1	0	0	0	1001533	1002258	512355	511126	1000000	1000000	0.0	0.0	0.0	0.0	13	346	-23402	63	0	0	-528	138	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000062433126441, 0.4999873986647213, 0.500006871092635, 0.5000220382428615, 0.49999610137929984, 0.5000335708799317, 0.4999940031716184, 0.5000181433447993, 0.4999998864084488, 0.5000060398577462, 0.49998678881587516, 0.4999990985389796, 0.5000049930413396, 0.4999934911725649, 0.5000043045187047, 0.5000147439108316, 0.49999996545540476, 0.49998859508967014, 0.4999955200705494, 0.4999903457956385]/0.99999661105844 WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
% Measurements
% ============
