Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	2	64	1000000	0	130133994	130	159	4751	4751	90	71	973	1002	0	0	9466	9700	13366	13833	0	0	216360	0	0	0	0	1000447	976568	499099	499645	0	0	0.012761448269822494	0.012717112364300343	0.013294843786899506	0.013322178244886197	-5743	367	-219	0	-237	45	0	0	-300	2	-303	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=176526;dirNodes=39920 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	148168189	148	207	7258	7258	119	76	1298	1311	0	0	25900	25866	35100	35200	0	0	210432	0	0	0	0	1007584	1003849	499718	499393	0	0	0.05421806114518102	0.05432244055692161	0.054780792327908424	0.05500246729045388	-7139	386	-265	0	-69	1480	0	0	-295	0	-291	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172292;dirNodes=38171 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	4	64	1000000	0	167877485	167	263	9894	9894	128	93	1791	1778	0	0	54666	57333	64000	63333	0	0	206798	0	0	0	0	1054509	1007909	499857	499609	0	0	0.11099466532988216	0.11114382452950704	0.111768886859156	0.11121427918760061	-8291	1584	-266	0	-43	918	0	0	-295	2	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=169855;dirNodes=37082 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	5	64	1000000	0	186741173	186	313	12737	12737	169	133	2328	2353	0	0	116000	119666	129666	158333	0	0	204330	0	0	0	0	1028606	1020580	499530	500050	0	0	0.17472552637964997	0.17347465696022346	0.17478816782743212	0.17494895532209842	-9704	1660	-289	0	-147	39	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=167968;dirNodes=36132 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	6	64	1000000	0	205568184	205	376	16038	16038	183	163	2578	2636	0	0	213333	180000	206666	206666	0	0	202294	0	0	0	0	1038435	1013732	499367	499934	0	0	0.24069350662311825	0.23762955340143907	0.24446658063566332	0.23961456638522916	-10792	1889	-326	2	-235	70	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=166766;dirNodes=35632 WINDOW_RESULTS=1000 KNN_REPEAT=100
RSS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	8	64	1000000	0	243318786	243	478	21478	21478	251	232	2807	2881	0	0	406666	400000	356666	350000	0	0	198870	0	0	0	0	986496	985181	499679	500204	0	0	0.37463157028187144	0.379871630888539	0.37876282975497116	0.3853521781964089	-13735	1048	-401	1	-263	80	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=164398;dirNodes=34436 WINDOW_RESULTS=1000 KNN_REPEAT=100
RSS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	10	64	1000000	0	280900173	280	595	27659	27659	354	318	3172	3247	0	0	646666	673333	586666	583333	0	0	195877	0	0	0	0	1032374	1022504	499592	500742	0	0	0.500135667918466	0.5018915325380049	0.5092851416397347	0.5058069446066715	-16489	2816	-153	0	-221	4004	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=162449;dirNodes=33394 WINDOW_RESULTS=1000 KNN_REPEAT=100
RSS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	12	64	1000000	0	318282709	318	682	33345	33345	447	396	3072	3138	0	0	1100000	1033333	816666	750000	0	0	192989	0	0	0	0	993179	1006971	500254	500049	0	0	0.6240280603276817	0.6195190954698504	0.6336479140530418	0.6347992105173016	-18844	2540	-561	2	-117	3775	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=160433;dirNodes=32496 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	16	64	1000000	0	392679802	392	910	46538	46538	624	559	3189	3209	0	0	1850000	1900000	1583333	1100000	0	0	187516	0	0	0	0	1015889	985930	499665	499729	0	0	0.8606496378108254	0.8191063567216963	0.843245620130029	0.8293616174387607	-23886	2699	-719	2	-544	1288	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=156756;dirNodes=30873 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	20	64	1000000	0	466568109	466	1125	61268	61268	918	818	3408	3443	0	0	3266666	3616666	2316666	2183333	0	0	182608	0	0	0	0	983835	997488	499841	499756	0	0	1.0326066392940454	1.0171875347731096	1.0514543492850346	1.033516848272917	-28276	4945	-861	2	-560	124	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=152892;dirNodes=29583 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	24	64	1000000	0	535335408	535	1767	77064	77064	1118	1070	3501	3500	0	0	4800000	5133333	3200000	2866666	0	0	0	0	0	0	0	996077	996456	500265	500273	0	0	1.2196305710997015	1.2122333329126367	1.1994741039712784	1.2544214328069552	-32476	5060	-1152	2	-907	4093	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=150244;dirNodes=28685 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	28	64	1000000	0	610313426	610	2071	92627	92627	1220	1134	3496	3553	0	0	6583333	6116666	3316666	3266666	0	0	0	0	0	0	0	1020184	1051270	500156	500441	0	0	1.3817211292294642	1.3981413059033863	1.3881009753155433	1.3580751758631002	-36956	6922	-1157	4	-1245	3826	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=147531;dirNodes=27793 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	30	64	1000000	0	650130448	650	1683	102860	102860	1390	1326	3234	3296	0	0	6916666	6916666	4100000	4383333	0	0	173624	0	0	0	0	1018956	1029677	499957	499412	0	0	1.4507425038531079	1.45241113254196	1.4686307637956932	1.4428359159755095	-39544	5952	-2260	7	-892	112	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=146353;dirNodes=27460 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	40	64	1000000	0	833028248	832	2211	153544	153544	2032	1979	3377	3397	0	0	11783333	9950000	8666666	5800000	0	0	168389	0	0	0	0	1026288	1030911	500547	500069	0	0	1.794873058161401	1.8098605850021006	1.7721018860977271	1.7967419665108595	-51056	4470	-2240	7	-808	6113	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=142473;dirNodes=26008 WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
RSS-P-0	CLUSTER(5.0,0.0,null)	2	64	1000000	0	130136152	130	154	4810	4810	102	70	1007	1048	0	0	10600	11300	14100	16100	0	0	216379	0	0	0	0	1020904	999347	498602	499311	0	0	0.012736156380984935	0.012733715688694539	0.01309677440883581	0.0133513722958906	-5744	372	-263	0	-237	46	0	0	-300	2	-303	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=176519;dirNodes=39860 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-1	CLUSTER(5.0,0.0,null)	2	64	1000000	0	130120696	130	161	4692	4692	95	72	955	983	0	0	9000	9100	12800	12500	0	0	216257	0	0	0	0	976580	978349	499115	499909	0	0	0.013014919928143893	0.012894935075374772	0.013467676855195001	0.013542198657485831	-5743	362	-131	0	-237	44	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=176447;dirNodes=39810 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-2	CLUSTER(5.0,0.0,null)	2	64	1000000	0	130145136	130	163	4752	4752	73	71	958	976	0	0	8800	8700	13200	12900	0	0	216446	0	0	0	0	1003857	952008	499581	499717	0	0	0.012533268500338658	0.012522686328831719	0.013320080096667708	0.013072963781282157	-5743	368	-263	0	-237	46	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=176526;dirNodes=39920 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	146234888	146	213	7219	7219	127	79	1392	1402	0	0	31400	31600	41200	41600	0	0	210290	0	0	0	0	1030695	1009386	499939	498463	0	0	0.05470163518834418	0.05457961031823907	0.05512982026722505	0.05508914148757553	-7138	388	-265	0	-65	1568	0	0	-295	0	-291	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172117;dirNodes=38173 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	149140920	149	196	7212	7212	114	74	1201	1204	0	0	21500	21200	31000	30800	0	0	210543	0	0	0	0	1006439	981767	499851	500135	0	0	0.05402587783923543	0.05406805371551966	0.05460974098412291	0.05475177087984605	-7143	388	-265	2	-77	1292	0	0	-295	2	-306	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172318;dirNodes=38225 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	149128760	149	212	7343	7343	116	77	1302	1327	0	0	24800	24800	33100	33200	0	0	210463	0	0	0	0	985620	1020395	499364	499583	0	0	0.05392667040796344	0.054319657637006094	0.05460281573237733	0.05516648950394006	-7137	382	-265	0	-65	1580	0	0	-295	2	-291	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172292;dirNodes=38171 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-0	CLUSTER(5.0,0.0,null)	4	64	1000000	0	167846344	167	252	9716	9716	124	92	1816	1795	0	0	61000	61000	69000	70000	0	0	206611	0	0	0	0	1060860	1048892	499776	499530	0	0	0.11064239757004048	0.11110994189523656	0.11103586103099321	0.11119382842522094	-8281	1552	-266	0	0	0	0	0	-295	2	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=169626;dirNodes=36985 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-1	CLUSTER(5.0,0.0,null)	4	64	1000000	0	167886624	167	277	10021	10021	125	91	1835	1749	0	0	54000	60000	65000	62000	0	0	206848	0	0	0	0	1083948	1031091	500032	500431	0	0	0.11240231044219695	0.11162480493528688	0.11206801842287202	0.11201914886534722	-8294	1606	-266	0	0	0	0	0	-295	2	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=169751;dirNodes=37097 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-2	CLUSTER(5.0,0.0,null)	4	64	1000000	0	167899488	167	261	9946	9946	136	96	1722	1792	0	0	49000	51000	58000	58000	0	0	206937	0	0	0	0	1018720	943745	499763	498866	0	0	0.10993928797740904	0.11069672675799766	0.11220278112360278	0.11042986027223367	-8297	1594	-266	0	-131	2756	0	0	0	0	-305	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=169855;dirNodes=37082 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-0	CLUSTER(5.0,0.0,null)	5	64	1000000	0	186734888	186	308	12785	12785	171	132	2290	2253	0	0	114000	114000	128000	114000	0	0	204295	0	0	0	0	965963	990859	499693	500317	0	0	0.17525371709067206	0.1744046099315237	0.17349848475907317	0.1735701407255465	-9672	1746	-289	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=168027;dirNodes=36268 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-1	CLUSTER(5.0,0.0,null)	5	64	1000000	0	186789752	186	317	12733	12733	172	133	2266	2336	0	0	128000	137000	123000	169000	0	0	204596	0	0	0	0	1057994	1039406	499587	500534	0	0	0.17491969887406048	0.17270993854342148	0.17474642219994807	0.1750662578117685	-9727	1596	-289	0	-221	60	0	0	0	0	-73	1586	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=168285;dirNodes=36311 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-2	CLUSTER(5.0,0.0,null)	5	64	1000000	0	186698880	186	314	12695	12695	165	134	2430	2472	0	0	106000	108000	138000	192000	0	0	204100	0	0	0	0	1061862	1031477	499310	499299	0	0	0.17400316317421743	0.17330942240572525	0.17611959652327508	0.17621046742898022	-9714	1638	-289	0	-220	58	0	0	0	0	-77	1566	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=167968;dirNodes=36132 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-0	CLUSTER(5.0,0.0,null)	6	64	1000000	0	205582992	205	372	16084	16084	191	165	2580	2646	0	0	210000	210000	190000	200000	0	0	202372	0	0	0	0	973191	969573	499015	499629	0	0	0.23193062835808942	0.24092830030897122	0.24185101976580708	0.22642868421710208	-10780	1942	-327	2	-255	64	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=166763;dirNodes=35609 WINDOW_RESULTS=1000 KNN_REPEAT=100
RSS-P-1	CLUSTER(5.0,0.0,null)	6	64	1000000	0	205531848	205	375	15992	15992	178	167	2703	2758	0	0	190000	160000	230000	220000	0	0	202114	0	0	0	0	1142699	1072971	499253	500338	0	0	0.2449725031355232	0.2461837956267551	0.24982957186354157	0.2410732794590921	-10799	1856	-325	4	-208	86	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=166576;dirNodes=35538 WINDOW_RESULTS=1000 KNN_REPEAT=100
RSS-P-2	CLUSTER(5.0,0.0,null)	6	64	1000000	0	205589712	205	382	16039	16039	182	157	2451	2505	0	0	240000	170000	200000	200000	0	0	202398	0	0	0	0	999417	998652	499833	499837	0	0	0.24517738837574204	0.22577656426859086	0.2417191502776413	0.2513417354794933	-10797	1870	-325	2	-244	62	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=166766;dirNodes=35632 WINDOW_RESULTS=1000 KNN_REPEAT=100
RSS-P-0	CLUSTER(5.0,0.0,null)	8	64	1000000	0	243354896	243	495	21468	21468	269	237	2903	2967	0	0	430000	400000	370000	350000	0	0	199054	0	0	0	0	944575	926831	499427	499737	0	0	0.3675775783013699	0.3766905588744329	0.3791550559817204	0.3848321994288847	-13831	498	-398	2	-290	70	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=164576;dirNodes=34478 WINDOW_RESULTS=1000 KNN_REPEAT=100
RSS-P-1	CLUSTER(5.0,0.0,null)	8	64	1000000	0	243276664	243	470	21460	21460	260	225	2666	2748	0	0	360000	370000	340000	330000	0	0	198722	0	0	0	0	1065579	1067503	500009	500955	0	0	0.37742322875029644	0.38168797590597586	0.3767922288694505	0.3844622579244964	-13833	506	-398	0	-248	86	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=164425;dirNodes=34297 WINDOW_RESULTS=1000 KNN_REPEAT=100
RSS-P-2	CLUSTER(5.0,0.0,null)	8	64	1000000	0	243324800	243	469	21506	21506	225	236	2854	2930	0	0	430000	430000	360000	370000	0	0	198834	0	0	0	0	949336	961210	499603	499920	0	0	0.37889390379394816	0.38123635788520815	0.38034120441374253	0.3867620772358455	-13541	2142	-409	2	-253	84	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=164398;dirNodes=34436 WINDOW_RESULTS=1000 KNN_REPEAT=100
RSS-P-0	CLUSTER(5.0,0.0,null)	10	64	1000000	0	280902376	280	607	27699	27699	354	305	3000	3062	0	0	600000	590000	550000	550000	0	0	195883	0	0	0	0	1014165	1057509	499772	501500	0	0	0.4930997032287065	0.4899218081907689	0.518769857687605	0.49924828900748286	-16303	3424	-461	2	-224	3694	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=162582;dirNodes=33301 WINDOW_RESULTS=1000 KNN_REPEAT=100
RSS-P-1	CLUSTER(5.0,0.0,null)	10	64	1000000	0	280908376	280	590	27598	27598	349	328	3266	3313	0	0	650000	710000	590000	640000	0	0	195907	0	0	0	0	1043057	996949	499552	500279	0	0	0.5065549606439925	0.5130474224601705	0.5098599211798935	0.5090921222153142	-16580	2510	0	0	-224	4020	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=162435;dirNodes=33472 WINDOW_RESULTS=1000 KNN_REPEAT=100
RSS-P-2	CLUSTER(5.0,0.0,null)	10	64	1000000	0	280889768	280	589	27682	27682	359	322	3251	3368	0	0	690000	720000	620000	560000	0	0	195843	0	0	0	0	1039900	1013055	499453	500448	0	0	0.5007523398826987	0.5027053669630752	0.4992256460517056	0.5090804225972174	-16585	2514	0	0	-215	4300	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=162449;dirNodes=33394 WINDOW_RESULTS=1000 KNN_REPEAT=100
RSS-P-0	CLUSTER(5.0,0.0,null)	12	64	1000000	0	318293976	318	689	33474	33474	456	397	3078	3159	0	0	1100000	1100000	800000	850000	0	0	193025	0	0	0	0	964314	966927	499655	499801	0	0	0.6135362502622377	0.6113115985832895	0.6334492943256577	0.644886916689406	-18852	2490	-575	2	-257	3710	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=160553;dirNodes=32472 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-1	CLUSTER(5.0,0.0,null)	12	64	1000000	0	318289856	318	685	33331	33331	450	406	3134	3234	0	0	1000000	950000	800000	650000	0	0	193013	0	0	0	0	938604	941730	500671	500083	0	0	0.6328871152373838	0.625290931941105	0.633668980771446	0.6292723229869728	-18845	2566	-533	2	-246	3994	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=160483;dirNodes=32530 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-2	CLUSTER(5.0,0.0,null)	12	64	1000000	0	318264296	318	672	33232	33232	437	385	3005	3023	0	0	1200000	1050000	850000	750000	0	0	192929	0	0	0	0	1076621	1112258	500437	500263	0	0	0.6256608154834234	0.6219547558851566	0.6338254670620216	0.630238391875526	-18834	2564	-575	2	150	3622	0	0	0	0	-570	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=160433;dirNodes=32496 WINDOW_RESULTS=1000 KNN_REPEAT=20
