Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSS-P-AVG-3/3	CUBE(1.0,0.0,null)	30	64	1000000	0	653679765	653	554	114186	114186	339074	344025	750296	767802	0	0	472886666	470923333	419078333	418721666	0	0	179669	0	0	0	0	1001011	1000618	508342	507224	0	0	1.0697177693627662	1.0704371682002578	1.1630050939725047	1.1627308247872732	-41727	10362	-821266	2020	-1235	11158	0	0	-3350	10	-3350	10	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=147948;dirNodes=32182 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSS-P-AVG-3/3	CUBE(1.0,0.0,null)	40	64	1000000	0	836676434	836	798	172434	172434	435636	435068	801370	771382	0	0	560563333	568410000	508713333	512095000	0	0	173252	0	0	0	0	998175	998796	506801	505980	0	0	1.4159159589480421	1.4200095095350278	1.5112864135390485	1.5113977294520193	-54389	5658	-1210307	3854	-1748	11146	0	0	-3350	12	-3350	12	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=143302;dirNodes=29873 WINDOW_RESULTS=1000 KNN_REPEAT=200
% Measurements
% ============
RSS-P-0	CUBE(1.0,0.0,null)	30	64	1000000	0	653293008	653	554	114376	114376	335905	338721	796103	834551	0	0	477070000	474955000	421135000	424220000	0	0	179004	0	0	0	0	1001597	1002341	508444	507085	0	0	1.0707398661707273	1.0756954061987907	1.1625219301383862	1.1599048975325812	-41588	10598	-814193	2018	-1119	11306	0	0	-3350	10	-3350	10	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=147258;dirNodes=31746 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSS-P-1	CUBE(1.0,0.0,null)	30	64	1000000	0	653799064	653	558	113982	113982	341784	345078	694720	698929	0	0	470850000	470395000	421905000	418975000	0	0	179875	0	0	0	0	1002368	1001508	508856	506936	0	0	1.0726338525968422	1.0634982851545354	1.1635820432083483	1.162713229862297	-41974	10178	-827595	2040	-1489	10990	0	0	-3357	42	-3350	12	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=147703;dirNodes=32172 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSS-P-2	CUBE(1.0,0.0,null)	30	64	1000000	0	653947224	653	552	114201	114201	339535	348276	760066	769928	0	0	470740000	467420000	414195000	412970000	0	0	180130	0	0	0	0	999068	998007	507726	507653	0	0	1.065779589320729	1.0721178132474471	1.1629113085707794	1.1655743469669417	-41618	10310	-822011	2004	-1097	11180	0	0	-3350	8	-3350	12	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=147948;dirNodes=32182 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSS-P-0	CUBE(1.0,0.0,null)	40	64	1000000	0	836588096	836	851	169786	169786	422876	426679	825571	812373	0	0	560405000	569825000	518065000	518490000	0	0	173101	0	0	0	0	1000859	1001900	506245	506178	0	0	1.4214636197157364	1.4210703304408512	1.507374388517538	1.5095464413947761	-54510	7266	-1209562	3766	-2355	11328	0	0	-3350	12	-3350	12	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=143237;dirNodes=29864 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSS-P-1	CUBE(1.0,0.0,null)	40	64	1000000	0	836818008	836	762	174095	174095	437488	431512	774383	741262	0	0	563650000	575970000	509035000	511100000	0	0	173480	0	0	0	0	997274	998129	507084	506544	0	0	1.4129865016929446	1.4165098845881898	1.5139229856944714	1.509492127608376	-54115	4844	-1211796	3922	-1219	11204	0	0	-3350	14	-3350	12	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=143416;dirNodes=30064 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSS-P-2	CUBE(1.0,0.0,null)	40	64	1000000	0	836623200	836	783	173423	173423	446544	447014	804158	760512	0	0	557635000	559435000	499040000	506695000	0	0	173175	0	0	0	0	996392	996361	507075	505219	0	0	1.4132977554354462	1.4224483135760428	1.5125618664051363	1.515154619352906	-54541	4864	-1209562	3876	-1671	10908	0	0	-3326	66	-3350	12	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=143302;dirNodes=29873 WINDOW_RESULTS=1000 KNN_REPEAT=200
