Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSS-P-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	0	129209746	129	71	6381	6381	255	220	1745	1809	0	0	8166	8333	11166	10800	0	0	216580	0	0	0	0	999996	1000452	624460	541112	0	0	4.966896535052022E-4	4.980640123819192E-4	0.0012346094866408442	0.0012364810419738719	-5448	548	-260	1	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=177483;dirNodes=38990 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	149340728	149	99	9638	9638	455	423	3628	3759	0	0	26900	26533	38166	35800	0	0	211713	0	0	0	0	1000546	1001094	583057	541071	0	0	0.00555104901012899	0.005545386162155848	0.010311137994242721	0.010308335453926603	-7121	630	-276	1	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=173152;dirNodes=38413 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	0	168157034	168	108	12954	12954	1102	1063	8986	9122	0	0	91666	92000	127333	127666	0	0	208499	0	0	0	0	999759	999830	562362	537040	0	0	0.01935176107839474	0.019394400224783004	0.031091077342385132	0.03120137269448726	-8361	2104	-578	1	-218	52	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=170678;dirNodes=38047 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	0	187047517	186	134	15738	15738	2835	2783	19695	20199	0	0	336666	344666	397000	393666	0	0	205878	0	0	0	0	1000111	1000222	549572	533286	0	0	0.0423091960242166	0.04247474658536765	0.062079606924251664	0.062027953953907526	-9756	2132	-1649	4	-160	7118	0	0	-319	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=168421;dirNodes=37627 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-AVG-3/3	CUBE(1.0,0.0,null)	6	64	1000000	0	205978608	205	150	19058	19058	5666	5728	22471	22992	0	0	576333	597333	801333	796000	0	0	204225	0	0	0	0	1001031	1000759	541046	529634	0	0	0.07295709007237479	0.07205745419518624	0.100402167046217	0.1004078615904375	-11144	2264	-3681	10	-177	3586	0	0	-352	2	-372	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=167306;dirNodes=37367 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-AVG-3/3	CUBE(1.0,0.0,null)	8	64	1000000	0	243857181	243	174	25085	25085	20164	20123	62074	62558	0	0	3269000	3324666	4442000	4418000	0	0	201301	0	0	0	0	1001334	1001940	530931	524479	0	0	0.14716698432649616	0.14823056236491142	0.1896641876483723	0.19008366722867046	-13924	2396	-16541	54	-374	10688	0	0	-869	4	-1252	4	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=164040;dirNodes=36609 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-AVG-3/3	CUBE(1.0,0.0,null)	10	64	1000000	0	281796280	281	222	31558	31558	44313	44619	126601	125235	0	0	11932666	11906333	15409666	15160333	0	0	199351	0	0	0	0	1001279	1001084	524673	521258	0	0	0.23309098042084778	0.23377310561486467	0.2868428828220049	0.28708345807176977	-16726	2623	-46920	135	-471	10717	0	0	-2931	10	-3908	16	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=162920;dirNodes=36665 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-P-AVG-3/3	CUBE(1.0,0.0,null)	12	64	1000000	0	319614685	319	250	38099	38099	67918	68324	110158	108222	0	0	22108333	22260000	30146666	29730000	0	0	197471	0	0	0	0	1002350	1001650	521060	517711	0	0	0.32694712130972703	0.32383914525401236	0.3841106881018062	0.38415916560033697	-19408	2739	-87652	251	-532	10822	0	0	-562	0	-1120	4	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=161105;dirNodes=36331 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSS-P-AVG-3/3	CUBE(1.0,0.0,null)	16	64	1000000	0	394726906	394	331	51996	51996	132665	132387	259342	253697	0	0	98816666	101653333	118440000	119241666	0	0	193195	0	0	0	0	1001879	1002611	515289	513537	0	0	0.5044571953074051	0.5056462627223247	0.5767978973452794	0.5782334679029254	-24645	5034	-222085	586	-717	10972	0	0	-2115	6	-2814	8	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=157386;dirNodes=35430 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSS-P-AVG-3/3	CUBE(1.0,0.0,null)	20	64	1000000	0	469359109	469	386	69175	69175	211550	213177	573293	579508	0	0	257605000	270151666	279508333	280165000	0	0	189129	0	0	0	0	1001533	1002258	512355	511126	0	0	0.6783312452771523	0.6723055667481047	0.7599712289098576	0.7599409192161706	-29746	6378	-395473	992	-882	11028	0	0	-3384	8	-3383	8	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=154147;dirNodes=34705 WINDOW_RESULTS=1000 KNN_REPEAT=200
