Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	2	64	1000000	0	80649178	80	37	4311	4311	173	83	585	602	6195	6093	4550000	6833333	33333	0	880	880	160090	8	0	0	0	99950	99982	499099	499645	1000000	1000000	0.26711057441184477	0.2580854681155641	0.2762603243788441	0.29145177170220554	-1271	202	0	0	-214	46	-1804	1624	0	0	0	0	-286	28	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160015;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	1000000	0	91413624	91	103	5635	5635	346	136	684	708	9741	10520	1166666	2183333	33333	66666	1293	1293	160684	8	0	0	0	100017	100005	499718	499393	1000000	1000000	0.4212681740523802	0.3567623045105249	0.41077959715601803	0.40071339207976714	-1258	176	0	0	-198	50	-2276	2685	0	0	0	0	-276	37	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160634;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	4	64	1000000	0	101727666	101	116	7312	7312	493	152	750	755	20728	25937	1400000	1433333	66666	66666	2167	2167	159735	8	0	0	0	99959	99979	499857	499609	1000000	1000000	0.4937001248269075	0.5227882625031116	0.5441842139058236	0.5063897881721391	-1503	212	0	0	0	0	-2691	3709	0	0	0	0	-277	28	RTreeZ;RStarTreeLogic;size=1000000;nNodes=159696;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	5	64	1000000	0	112122645	112	128	8811	8811	382	136	708	721	51585	69500	50000	50000	100000	83333	3284	3284	158592	8	0	0	0	99993	100004	499530	500050	1000000	1000000	0.5748156527689341	0.6001134825836681	0.5754693824079328	0.5916384057234709	-1492	206	0	0	0	0	-2750	18384	0	0	0	0	-268	52	RTreeZ;RStarTreeLogic;size=1000000;nNodes=158577;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	6	64	1000000	0	122747858	122	146	10305	10305	356	140	840	842	144222	159474	116666	1083333	166666	133333	4281	4281	157370	8	0	0	0	100010	99954	499367	499934	1000000	1000000	0.6688415780857965	0.6927775410384497	0.6547195478287727	0.6552057887898436	-1484	209	0	0	0	0	-3330	20693	0	0	0	0	-264	41	RTreeZ;RStarTreeLogic;size=1000000;nNodes=157609;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	8	64	1000000	0	143300221	143	181	13659	13659	343	146	883	890	860088	683710	150000	1400000	283333	233333	6779	6779	154738	8	0	0	0	99994	100005	499679	500204	1000000	1000000	0.798184507142441	0.8201054707672286	0.7828664597785119	0.7482602352051617	-1715	230	0	0	0	0	-3602	11141	0	0	0	0	-269	28	RTreeZ;RStarTreeLogic;size=1000000;nNodes=154791;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	10	64	1000000	0	163566834	163	222	17428	17428	382	162	935	931	998699	949795	1333333	1350000	250000	233333	8501	8501	152409	8	0	0	0	100048	100018	499592	500742	1000000	1000000	0.9087656360021507	0.9042146604844308	0.8511087796959695	0.8808552224361064	-1533	2910	0	0	0	0	-3972	11358	0	0	0	0	-322	18	RTreeZ;RStarTreeLogic;size=1000000;nNodes=152268;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	15	64	1000000	0	213936618	213	322	27317	27317	419	186	1060	1042	2048208	2085155	1833333	383333	450000	483333	12557	12557	147295	8	0	0	0	99970	99992	499933	500519	1000000	1000000	1.1364033150870345	1.0934928129818462	1.142370475784211	1.147237296022262	-1989	3724	0	0	0	0	-4703	11275	0	0	0	0	-281	22	RTreeZ;RStarTreeLogic;size=1000000;nNodes=147101;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
RSZ-P-0	CLUSTER(3.4,0.0,null)	2	64	1000000	0	80651072	80	37	4258	4258	110	80	582	610	6194	6024	2650000	7350000	50000	0	869	869	160101	8	0	0	0	99978	99970	498602	499311	1000000	1000000	0.25892222591869346	0.26933621776331773	0.2876460395864847	0.28970886566563825	-1272	204	0	0	-214	48	-1781	2268	0	0	0	0	-287	26	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160101;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-1	CLUSTER(3.4,0.0,null)	2	64	1000000	0	80660544	80	38	4319	4319	140	80	578	603	6226	6180	4350000	7700000	50000	0	883	883	160155	8	0	0	0	99868	99880	499115	499909	1000000	1000000	0.30216172369038397	0.251513630115748	0.30119069659673936	0.2793788731065757	-1272	202	0	0	-214	46	-1793	2206	0	0	0	0	-285	32	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160155;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-2	CLUSTER(3.4,0.0,null)	2	64	1000000	0	80635920	80	38	4357	4357	269	89	597	593	6165	6076	6650000	5450000	0	0	889	889	160015	8	0	0	0	100004	100098	499581	499717	1000000	1000000	0.24024777362645686	0.25340655646762655	0.23994423695330824	0.3052675763344026	-1271	200	0	0	-214	46	-1838	400	0	0	0	0	-286	28	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160015;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-0	CLUSTER(3.4,0.0,null)	3	64	1000000	0	91410200	91	106	5680	5680	389	150	700	720	10150	11047	1800000	2500000	0	100000	1354	1354	160667	8	0	0	0	100048	99986	499939	498463	1000000	1000000	0.38769724751597345	0.3360197046032855	0.41102540979241287	0.3813397132342674	-1257	176	0	0	-198	52	-2298	2658	0	0	0	0	-272	46	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160667;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-1	CLUSTER(3.4,0.0,null)	3	64	1000000	0	91426664	91	111	5587	5587	360	150	679	701	9521	10378	0	1850000	50000	50000	1268	1268	160752	8	0	0	0	99994	99972	499851	500135	1000000	1000000	0.45013249734086347	0.38673667824275465	0.418541395060092	0.4150577014004805	-1261	174	0	0	-198	48	-2267	2672	0	0	0	0	-278	30	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160752;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-2	CLUSTER(3.4,0.0,null)	3	64	1000000	0	91404008	91	92	5639	5639	289	109	674	705	9552	10135	1700000	2200000	50000	50000	1257	1257	160634	8	0	0	0	100010	100059	499364	499583	1000000	1000000	0.4259747773003036	0.34753053068553463	0.40277198661554936	0.4057427616045535	-1256	178	0	0	-198	52	-2263	2726	0	0	0	0	-278	36	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160634;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-0	CLUSTER(3.4,0.0,null)	4	64	1000000	0	101762072	101	116	7343	7343	520	169	748	750	18270	24205	50000	50000	50000	50000	2235	2235	159920	8	0	0	0	99959	100017	499776	499530	1000000	1000000	0.4793021642219868	0.5179905918228586	0.5465763914874295	0.5082289979565727	-1502	212	0	0	0	0	-2262	3292	0	0	0	0	-278	26	RTreeZ;RStarTreeLogic;size=1000000;nNodes=159920;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
