Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	24	64	1000000	0	299481258	299	472	56162	56162	92361	90925	0	0	0	0	184608333	183275000	190146666	189388333	0	0	132423	8	0	0	0	1000072	1000473	0	0	0	0	0.8432118104615163	0.8429102530762891	0.9288249737068256	0.929747235438442	-2282	10463	0	0	0	0	0	0	0	0	-1986	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=132489;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	28	64	1000000	0	337689840	337	562	67847	67847	104310	105265	0	0	0	0	213371666	214020000	216916666	216845000	0	0	131495	8	0	0	0	1000879	1000218	0	0	0	0	0.9966077433183455	0.9957020811681908	1.0890072476987083	1.0881482374150666	-2240	17251	0	0	0	0	0	0	0	0	-2280	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=131283;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
% Measurements
% ============
RSZ-P-0	CUBE(1.0,0.0,null)	24	64	1000000	0	299493376	299	453	58197	58197	93104	90539	0	0	0	0	186645000	186080000	191690000	190645000	0	0	132445	8	0	0	0	998898	999819	0	0	0	0	0.8430505083105079	0.844754159843103	0.9291630975366179	0.9276759563022831	-2283	11068	0	0	0	0	0	0	0	0	-1986	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=132445;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSZ-P-1	CUBE(1.0,0.0,null)	24	64	1000000	0	299433784	299	493	55205	55205	91676	90330	0	0	0	0	183540000	184905000	188495000	188315000	0	0	132335	8	0	0	0	1000361	1001046	0	0	0	0	0.8443237482547606	0.8381200664354068	0.9285193497612708	0.9306528109431603	-2281	10164	0	0	0	0	0	0	0	0	-1985	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=132335;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSZ-P-2	CUBE(1.0,0.0,null)	24	64	1000000	0	299516616	299	472	55085	55085	92304	91906	0	0	0	0	183640000	178840000	190255000	189205000	0	0	132489	8	0	0	0	1000957	1000555	0	0	0	0	0.8422611748192803	0.8458565329503575	0.9287924738225884	0.9309129390698825	-2284	10158	0	0	0	0	0	0	0	0	-1986	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=132489;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSZ-P-0	CUBE(1.0,0.0,null)	28	64	1000000	0	337757064	337	568	67264	67264	107158	109687	0	0	0	0	220055000	221565000	226790000	226640000	0	0	131608	8	0	0	0	1004704	1002557	0	0	0	0	1.0005318538976353	0.9983985362943133	1.0855547621648245	1.087014175589497	-2240	17094	0	0	0	0	0	0	0	0	-2280	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=131608;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSZ-P-1	CUBE(1.0,0.0,null)	28	64	1000000	0	337748784	337	563	67098	67098	103914	103089	0	0	0	0	209070000	209545000	206145000	206390000	0	0	131594	8	0	0	0	998104	1000178	0	0	0	0	0.9929212221705529	0.9942399702958282	1.0897477940772955	1.0881883915260866	-2235	17036	0	0	0	0	0	0	0	0	-2280	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=131594;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSZ-P-2	CUBE(1.0,0.0,null)	28	64	1000000	0	337563672	337	557	69179	69179	101859	103021	0	0	0	0	210990000	210950000	217815000	217505000	0	0	131283	8	0	0	0	999829	997919	0	0	0	0	0.996370153886848	0.9944677369144307	1.0917191868540046	1.0892421451296161	-2243	17624	0	0	0	0	0	0	0	0	-2280	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=131283;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
