Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	0	78919717	78	81	5905	5905	137	95	2890	3040	7586	7477	8533	8700	15566	15300	3212	3212	149879	7	0	0	0	999996	1000452	624460	541112	1000000	1000000	5.000900856077291E-4	4.996846394740325E-4	0.0012346094866408442	0.0012364810419738719	-1266	248	0	0	-214	44	-2072	2526	0	0	0	0	-283	32	RTreeZ;RStarTreeLogic;size=1000000;nNodes=149943;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	89126344	89	108	7165	7165	273	229	7821	8091	14236	14312	27000	26900	58733	58433	6482	6482	148636	7	0	0	0	1000546	1001094	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	-1256	214	0	0	-198	48	-2173	5388	0	0	-308	2	-274	35	RTreeZ;RStarTreeLogic;size=1000000;nNodes=148675;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	0	99212605	99	110	8714	8714	560	510	9901	10116	18066	18258	53333	54333	130666	128000	8120	8120	147299	7	0	0	0	999759	999830	562362	537040	1000000	1000000	0.01935176107839474	0.019394396900910233	0.031091077342385132	0.03120137269448726	-1248	206	0	0	0	0	-1978	4102	0	0	0	0	-272	35	RTreeZ;RStarTreeLogic;size=1000000;nNodes=146927;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	0	109175429	109	143	10379	10379	1176	1132	14273	14427	22413	22538	113666	118000	297000	290333	10551	10551	145626	7	0	0	0	1000111	1000222	549572	533286	1000000	1000000	0.0423091960242166	0.04247474658536765	0.062079606924251664	0.062027953953907526	-1322	228	0	0	0	0	-2552	4790	0	0	-296	2	-332	3622	RTreeZ;RStarTreeLogic;size=1000000;nNodes=145305;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	6	64	1000000	0	119470912	119	130	11721	11721	4218	4230	84915	85932	81028	99171	681666	698666	1507333	1535000	49372	49372	142724	7	0	0	0	1001031	1000759	541046	529634	1000000	1000000	0.07295709007237479	0.07205745419518624	0.100402167046217	0.1004078615904375	-1480	240	0	0	87	10388	-2971	10847	0	0	-1146	8	-181	19	RTreeZ;RStarTreeLogic;size=1000000;nNodes=143000;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	8	64	1000000	0	139301829	139	184	15245	15245	11328	11251	77635	78273	82907	83365	1822333	1830666	4033666	4021333	42003	42003	140183	7	0	0	0	1001334	1001940	530931	524479	1000000	1000000	0.14716698432649616	0.14823056236491142	0.1896641876483723	0.19008366722867046	-1463	225	0	0	0	0	-2574	11012	0	0	-1146	2	-274	22	RTreeZ;RStarTreeLogic;size=1000000;nNodes=139758;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	10	64	1000000	0	159334602	159	216	19127	19127	24468	24641	203607	203176	194115	262621	9077666	9150000	16444333	16128333	131119	131119	138629	7	0	0	0	1001279	1001084	524673	521258	1000000	1000000	0.23309098042084778	0.23377310561486467	0.2868428828220049	0.28708345807176977	-1549	3234	0	0	0	0	-3292	11190	0	0	-4885	22	-304	30	RTreeZ;RStarTreeLogic;size=1000000;nNodes=138624;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	12	64	1000000	0	179305544	179	249	22981	22981	33695	34122	230414	224493	224851	243097	18618333	18295000	31960000	31645000	138569	138569	137266	7	0	0	0	1002350	1001650	521060	517711	1000000	1000000	0.32694712130972703	0.32383914525401236	0.3841106881018062	0.38415916560033697	-1679	248	0	0	0	0	-3349	11136	0	0	-1121	4	-212	3591	RTreeZ;RStarTreeLogic;size=1000000;nNodes=137240;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	16	64	1000000	0	219220536	218	317	31393	31393	50908	50210	356539	366990	319118	375169	63621666	65451666	88153333	88543333	214296	214296	134818	7	0	0	0	1001879	1002611	515289	513537	1000000	1000000	0.5044571953074051	0.5056462627223247	0.5767978973452794	0.5782334679029254	-1990	4122	0	0	0	0	-3930	11215	0	0	-2347	2	-153	6	RTreeZ;RStarTreeLogic;size=1000000;nNodes=134487;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	20	64	1000000	0	259178000	258	376	41848	41848	71357	71856	921744	925638	0	0	134208333	135926666	149708333	151158333	286387	286387	133671	7	0	0	0	1001533	1002258	512355	511126	666666	666666	0.6783312452771523	0.6723055667481047	0.7599712289098576	0.7599409192161706	-2119	11785	0	0	0	0	-2914	4371	0	0	-2826	8	-183	7	RTreeZ;RStarTreeLogic;size=1000000;nNodes=133801;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
