Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	2	64	1000000	0	104531672	103	165	673	673	102	56	1175	1205	8804	9413	9666	9800	29100	27900	1472	1472	111111	6	0	0	0	1000447	976568	499099	499645	1000000	1000000	0.012766143393021059	0.012731108374913272	0.013294843786899506	0.013322178244886197	0	0	0	0	-214	47	-2887	2670	0	0	0	0	-291	20	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	122560885	122	217	948	948	99	54	1890	1923	13488	16590	21566	21500	58700	57966	2803	2803	111111	6	0	0	0	1007584	1003849	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	-11	204	0	0	-198	48	-2877	2676	0	0	-291	2	-281	32	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	4	64	1000000	0	139303890	138	267	1057	1057	117	85	2270	2253	16328	21428	42666	40000	99000	111333	3763	3763	111111	6	0	0	0	1054509	1007909	499857	499609	1000000	1000000	0.11099466532988216	0.11114382452950704	0.111768886859156	0.11121427918760061	-23	173	0	0	0	0	-3347	7639	0	0	0	0	-285	18	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	5	64	1000000	0	157073384	156	317	1418	1418	137	136	2608	2574	18736	23441	84000	83666	187000	191666	3961	3961	111111	6	0	0	0	1028606	1020580	499530	500050	1000000	1000000	0.17472552637964997	0.17347465696022346	0.17478816782743212	0.17494895532209842	19	177	0	0	0	0	-2908	12007	0	0	-299	2	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	6	64	1000000	0	174796861	174	381	1633	1633	204	155	2990	3015	22884	30600	176666	136666	343333	263333	5790	5790	111111	6	0	0	0	1038435	1013732	499367	499934	1000000	1000000	0.24069350662311825	0.23762955340143907	0.24446658063566332	0.23961456638522916	10	166	0	0	0	0	-3246	15448	0	0	0	0	-292	32	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	8	64	1000000	0	211447674	211	476	2120	2120	218	180	3076	3083	26761	32826	276666	243333	493333	420000	5938	5938	111111	6	0	0	0	986496	985181	499679	500204	1000000	1000000	0.37463157028187144	0.379871630888539	0.37876282975497116	0.3853521781964089	-93	1516	0	0	0	0	-3254	12610	0	0	0	0	-343	46	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	10	64	1000000	0	247011586	247	599	2505	2505	293	252	3553	3552	31753	37599	410000	403333	750000	683333	6795	6795	111111	6	0	0	0	1032374	1022504	499592	500742	1000000	1000000	0.500135667918466	0.5018915325380049	0.5092851416397347	0.5058069446066715	-95	242	0	0	12	8844	-4179	8434	0	0	0	0	-411	44	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	12	64	1000000	0	282595072	282	685	2951	2951	530	484	4645	4626	38183	44076	1250000	1166666	1933333	1700000	7821	7821	111111	6	0	0	0	993179	1006971	500254	500049	1000000	1000000	0.6240280603276817	0.6195190954698504	0.6336479140530418	0.6347992105173016	84	2749	0	0	-38	5125	-4388	10270	0	0	0	0	-313	38	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	16	64	1000000	0	353687144	353	909	4105	4105	386	358	3819	3840	44656	49849	1250000	1033333	1600000	1650000	8358	8358	111111	6	0	0	0	1015889	985930	499665	499729	1000000	1000000	0.8606496378108254	0.8191063567216963	0.843245620130029	0.8293616174387607	-220	318	0	0	-12	6444	-4662	11268	0	0	0	0	-615	44	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	20	64	1000000	0	424786056	424	1196	4955	4955	490	460	0	0	0	0	1750000	1650000	2416666	2183333	0	0	111111	6	0	0	0	983835	997488	0	0	0	0	1.0326066392940454	1.0171875347731096	1.0514543492850346	1.033516848272917	356	8788	0	0	0	0	0	0	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	24	64	1000000	0	494592506	494	1425	5499	5499	582	547	0	0	0	0	2400000	2066666	3133333	2816666	0	0	111111	6	0	0	0	987460	974420	0	0	0	0	1.2442194313536636	1.2030973131888947	1.2090957200974441	1.2161903213073566	605	1616	0	0	0	0	0	0	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	28	64	1000000	0	565523776	565	1606	6219	6219	668	629	0	0	0	0	2933333	2666666	4083333	3866666	0	0	111111	6	0	0	0	1005192	1015044	0	0	0	0	1.3778720386081031	1.3721635559267569	1.4034960388012963	1.3702379061014298	812	11908	0	0	0	0	0	0	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	30	64	1000000	0	600759928	600	1688	6590	6590	781	728	0	0	0	0	3266666	3316666	4483333	4333333	0	0	111111	6	0	0	0	1018956	1029677	0	0	0	0	1.4507425038531079	1.45241113254196	1.4686307637956932	1.4428359159755095	780	11869	0	0	0	0	0	0	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
STRZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	40	64	1000000	0	779273805	779	2236	7521	7521	1096	1076	0	0	0	0	6800000	5433333	7333333	6200000	0	0	111111	6	0	0	0	1026288	1030911	0	0	0	0	1.794873058161401	1.8098605850021006	1.7721018860977271	1.7967419665108595	818	11678	0	0	0	0	0	0	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
STRZ-P-0	CLUSTER(5.0,0.0,null)	2	64	1000000	0	105827016	105	160	696	696	101	58	1174	1199	8792	9473	10500	10400	29200	32000	1523	1523	111111	6	0	0	0	1020904	999347	498602	499311	1000000	1000000	0.012724220820940206	0.012691452497892676	0.01309677440883581	0.0133513722958906	0	0	0	0	-214	46	-2887	2632	0	0	0	0	-291	22	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
