Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	24	64	1000000	0	496004936	496	480	11417	11417	106319	110297	0	0	0	0	148606666	149936666	227783333	232543333	0	0	111111	6	0	0	0	1000072	1000473	0	0	0	0	0.8432118104615163	0.8429102530762891	0.9288249737068256	0.929747235438442	396	11430	0	0	0	0	0	0	0	0	-1878	4	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	28	64	1000000	0	566996146	566	555	12902	12902	132854	130029	0	0	0	0	250031666	249681666	312191666	320481666	0	0	111111	6	0	0	0	1000879	1000218	0	0	0	0	0.9966077433183455	0.9957020811681908	1.0890072476987083	1.0881482374150666	658	20640	0	0	0	0	0	0	0	0	-2157	8	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
% Measurements
% ============
STRZ-P-0	CUBE(1.0,0.0,null)	24	64	1000000	0	496005328	496	489	10899	10899	104449	106502	0	0	0	0	137475000	134225000	215205000	213585000	0	0	111111	6	0	0	0	998898	999819	0	0	0	0	0.8430505083105079	0.844754159843103	0.9291630975366179	0.9276759563022831	399	11406	0	0	0	0	0	0	0	0	-1878	4	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
STRZ-P-1	CUBE(1.0,0.0,null)	24	64	1000000	0	496005328	496	492	10957	10957	100534	114570	0	0	0	0	156035000	152530000	230220000	243140000	0	0	111111	6	0	0	0	1000361	1001046	0	0	0	0	0.8443237482547606	0.8381200664354068	0.9285193497612708	0.9306528109431603	399	11394	0	0	0	0	0	0	0	0	-1878	4	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
STRZ-P-2	CUBE(1.0,0.0,null)	24	64	1000000	0	496004152	496	459	12395	12395	113974	109819	0	0	0	0	152310000	163055000	237925000	240905000	0	0	111111	6	0	0	0	1000957	1000555	0	0	0	0	0.8422611748192803	0.8458565329503575	0.9287924738225884	0.9309129390698825	390	11490	0	0	0	0	0	0	0	0	-1877	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
STRZ-P-0	CUBE(1.0,0.0,null)	28	64	1000000	0	566995664	566	535	14164	14164	140551	140968	0	0	0	0	269920000	268230000	333055000	331855000	0	0	111111	6	0	0	0	1004704	1002557	0	0	0	0	1.0005318538976353	0.9983985362943133	1.0855547621648245	1.087014175589497	587	22254	0	0	0	0	0	0	0	0	-2157	8	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
STRZ-P-1	CUBE(1.0,0.0,null)	28	64	1000000	0	566996504	566	521	12581	12581	131036	125201	0	0	0	0	239495000	244305000	308795000	311455000	0	0	111111	6	0	0	0	998104	1000178	0	0	0	0	0.9929212221705529	0.9942399702958282	1.0897477940772955	1.0881883915260866	695	20494	0	0	0	0	0	0	0	0	-2157	4	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
STRZ-P-2	CUBE(1.0,0.0,null)	28	64	1000000	0	566996272	566	610	11962	11962	126976	123918	0	0	0	0	240680000	236510000	294725000	318135000	0	0	111111	6	0	0	0	999829	997919	0	0	0	0	0.996370153886848	0.9944677369144307	1.0917191868540046	1.0892421451296161	692	19174	0	0	0	0	0	0	0	0	-2157	4	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
