Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	0	103883480	103	84	1110	1110	156	114	1215	1269	7053	6643	5533	5500	12100	12000	2886	2886	111111	6	0	0	0	999996	1000452	624460	541112	1000000	1000000	5.000900856077291E-4	4.996846394740325E-4	0.0012346094866408442	0.0012364810419738719	0	0	0	0	-214	45	-2092	2296	0	0	-300	2	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	122556848	122	106	1613	1613	159	120	2755	2843	14274	17716	16233	16033	36433	37466	8783	8783	111111	6	0	0	0	1000546	1001094	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	-12	349	0	0	-198	48	-2579	2835	0	0	-598	4	-270	42	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	0	139440325	139	125	1770	1770	462	428	10183	10631	29296	40740	82333	81000	202333	201333	21346	21346	111111	6	0	0	0	999759	999830	562362	537040	1000000	1000000	0.01935176107839474	0.019394396900910233	0.031091077342385132	0.03120137269448726	-23	189	0	0	40	10592	-2909	14944	0	0	-298	0	-282	24	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	0	158135816	158	136	1983	1983	1582	1572	24057	24514	46280	62389	260333	259333	612000	643000	32722	32722	111111	6	0	0	0	1000111	1000222	549572	533286	1000000	1000000	0.0423091960242166	0.04247474658536765	0.062079606924251664	0.062027953953907526	19	202	0	0	84	31546	-3559	10833	0	0	-169	8246	-280	39	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	6	64	1000000	0	175909274	175	160	3018	3018	3359	3342	38488	38901	68624	88588	548666	531333	1379666	1353000	48024	48024	111111	6	0	0	0	1001031	1000759	541046	529634	1000000	1000000	0.07295709007237479	0.07205745419518624	0.100402167046217	0.1004078615904375	13	156	0	0	83	52971	-3302	11074	0	0	-922	2	-286	35	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	8	64	1000000	0	211431640	211	193	3990	3990	6208	6335	30095	29657	81172	158749	922000	931000	2532333	2543000	92338	92338	111111	6	0	0	0	1001334	1001940	530931	524479	1000000	1000000	0.14716698432649616	0.14823056236491142	0.1896641876483723	0.19008366722867046	-149	238	0	10574	-31	9597	-3638	11068	0	0	-1123	6	-341	51	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	10	64	1000000	0	246968128	246	226	4865	4865	12669	12695	55129	53775	111863	195122	3183666	3176000	8013666	8100000	114274	114274	111111	6	0	0	0	1001279	1001084	524673	521258	1000000	1000000	0.23309098042084778	0.23377310561486467	0.2868428828220049	0.28708345807176977	21	6087	0	17572	2	10700	-4060	11176	0	0	-3097	12	-412	42	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	12	64	1000000	0	282543200	282	224	4808	4808	31011	31811	132848	132900	186023	255357	15563333	15071666	31608333	31321666	144256	144256	111111	6	0	0	0	1002350	1001650	521060	517711	1000000	1000000	0.32694712130972703	0.32383914525401236	0.3841106881018062	0.38415916560033697	206	6866	0	45846	0	10734	-4432	11184	0	0	-1545	2	-462	62	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	16	64	1000000	0	353620192	353	324	8129	8129	47901	47333	43714	43439	192163	409154	15860000	16890000	38496666	38853333	259819	259819	111111	6	0	0	0	1001879	1002611	515289	513537	1000000	1000000	0.5044571953074051	0.5056462627223247	0.5767978973452794	0.5782334679029254	225	10829	0	0	25	10772	-4878	11344	0	0	-1310	4	-410	27	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	20	64	1000000	0	424946602	424	403	9155	9155	76423	77345	0	0	0	0	53835000	55736666	109560000	109548333	0	0	111111	6	0	0	0	1001533	1002258	0	0	0	0	0.6783312452771523	0.6723055667481047	0.7599712289098576	0.7599409192161706	421	15107	0	0	0	0	0	0	0	0	-1580	4	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
STRZ-R-AVG-3/3	CUBE(1.0,0.0,null)	24	64	1000000	0	492021576	492	956	10098	10098	88625	88769	0	0	0	0	115816666	117530000	186008333	182900000	0	0	111111	6	0	0	0	1000871	1001230	0	0	0	0	0.8350647708538972	0.8464943798465742	0.9287674270345195	0.932229298650148	42	13362	0	128308	0	0	0	0	0	32110	-2297	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
STRZ-R-AVG-3/3	CUBE(1.0,0.0,null)	28	64	1000000	0	562399544	562	1113	11043	11043	119377	117129	0	0	0	0	213713333	218293333	281045000	272798333	0	0	111111	6	0	0	0	1001087	1000305	0	0	0	0	0.9971175734682173	0.9969182483888445	1.0898575404672828	1.090424500661017	119	12572	28	171660	0	0	0	0	0	53914	-2302	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	30	64	1000000	0	602340445	602	596	12765	12765	141310	138990	0	0	0	0	289893333	290703333	336388333	332705000	0	0	111111	6	0	0	0	1001011	1000618	0	0	0	0	1.0697177693627662	1.0704371682002578	1.1630050939725047	1.1627308247872732	702	20712	0	0	0	0	0	0	0	0	-2266	4	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
STRZ-P-AVG-3/3	CUBE(1.0,0.0,null)	40	64	1000000	0	779275021	779	764	14877	14877	190478	188874	0	0	0	0	417481666	415390000	412990000	413873333	0	0	111111	6	0	0	0	998175	998796	0	0	0	0	1.4159159589480421	1.4200095095350278	1.5112864135390485	1.5113977294520193	945	22596	0	0	0	0	0	0	0	0	-2283	4	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
% Measurements
% ============
