Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
XTS-P-AVG-3/3	CLUSTER(3.5,0.0,null)	2	64	1000000	0	80399416	80	87	8791	8791	78057	79568	789	799	0	0	116666	133333	216666	133333	0	0	96391	6	0	0	0	99950	99982	499099	499645	0	0	0.2500941868481489	0.2308039350059937	0.2687422087107225	0.2876459696245351	-5836	360	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=96347;nNodesData=87582;nNodesDir=8765;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=20
XTS-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	0	90070168	89	103	13100	13100	38954	40083	1327	1321	0	0	133333	66666	183333	200000	0	0	96350	6	0	0	0	100017	100005	499718	499393	0	0	0.40318189769530804	0.3637086066959983	0.40108976344013253	0.375815974287314	-7161	356	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=96259;nNodesData=86755;nNodesDir=9504;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=20
XTS-P-AVG-3/3	CLUSTER(3.5,0.0,null)	4	64	1000000	0	99365069	99	117	15037	15037	102391	102894	979	1033	0	0	1650000	1950000	4383333	4350000	0	0	95297	6	0	0	0	99959	99979	499857	499609	0	0	0.4652455951597439	0.5170112288238341	0.5069551871799796	0.4904172420718195	-8572	418	0	0	0	0	0	0	0	0	-270	0	0	0	XTreeS;size=1000000;depth=6;nNodes=95463;nNodesData=86754;nNodesDir=8709;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=20
XTS-P-AVG-3/3	CLUSTER(3.5,0.0,null)	5	64	1000000	0	108274538	108	133	20464	20464	38235	38987	1462	1459	0	0	716666	683333	1366666	1166666	0	0	95269	6	0	0	0	99993	100004	499530	500050	0	0	0.5535928143194769	0.5870367667820043	0.5500875604641383	0.5805740540086272	-9890	416	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=95131;nNodesData=85795;nNodesDir=9336;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=20
XTS-P-AVG-3/3	CLUSTER(3.5,0.0,null)	6	64	1000000	0	117492581	117	157	22997	22997	100280	102642	1169	1166	0	0	5100000	4383333	8600000	10650000	0	0	94406	6	0	0	0	100010	99954	499367	499934	0	0	0.6427653500628138	0.6558880765217935	0.6246694405645762	0.6296156933349629	-10922	474	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=94493;nNodesData=85973;nNodesDir=8520;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=20
XTS-P-AVG-3/3	CLUSTER(3.5,0.0,null)	8	64	1000000	0	136961805	136	201	31742	31742	68360	68940	1149	1151	0	0	9000000	9000000	9800000	9333333	0	0	93580	6	0	0	0	99994	100005	499679	500204	0	0	0.7670403734328977	0.7788030451275115	0.7439432283145891	0.7187716616641523	-13198	2125	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=93447;nNodesData=85114;nNodesDir=8333;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=20
XTS-P-AVG-3/3	CLUSTER(3.5,0.0,null)	10	64	1000000	0	155646696	155	217	41861	41861	205444	209485	1283	1295	0	0	30750000	30233333	33500000	32000000	0	0	92602	6	0	0	0	100048	100018	499592	500742	0	0	0.8770058693693961	0.8663990727792014	0.8282254874018511	0.8344029702704782	-18057	2223	0	0	0	0	0	0	0	0	-346	0	0	0	XTreeS;size=1000000;depth=6;nNodes=92588;nNodesData=84411;nNodesDir=8177;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=20
XTS-P-AVG-3/3	CLUSTER(3.5,0.0,null)	15	64	1000000	0	203083882	203	315	67584	67584	86060	87918	2154	2157	0	0	16666666	18650000	16533333	17516666	0	0	92748	6	0	0	0	99970	99992	499933	500519	0	0	1.0838145542780828	1.06096574531554	1.0875360411464268	1.0661812818707717	-25391	1684	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=92940;nNodesData=83760;nNodesDir=9180;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
