Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	24	64	1000000	0	283676202	283	473	129276	129276	98142	98046	84964	84757	0	0	157131666	158916666	164988333	165025000	0	0	84184	6	0	0	0	1000072	1000473	510553	510019	0	0	0.8432118104615163	0.8429102530762891	0.9288249737068256	0.929747235438442	-19006	7027	0	0	0	0	0	0	-1293	4	-1279	4	0	0	XTreeS;size=1000000;depth=6;nNodes=84685;nNodesData=77984;nNodesDir=6701;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=200
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	28	64	1000000	0	320064405	319	535	157247	157247	115021	113613	110701	115100	0	0	200220000	200881666	191756666	191788333	0	0	82845	6	0	0	0	1000879	1000218	508875	508428	0	0	0.9966077433183455	0.9957020811681908	1.0890072476987083	1.0881482374150666	-22253	11832	0	0	0	0	0	0	-1478	4	-1464	4	0	0	XTreeS;size=1000000;depth=6;nNodes=81825;nNodesData=75351;nNodesDir=6474;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=200
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	30	64	1000000	0	339179341	338	583	174598	174598	120549	119463	60236	57704	0	0	207785000	208961666	196028333	196241666	0	0	83944	6	0	0	0	1001011	1000618	508342	507224	0	0	1.0697177693627662	1.0704371682002578	1.1630050939725047	1.1627308247872732	-24200	12383	0	0	0	0	0	0	-1575	6	-1560	4	0	0	XTreeS;size=1000000;depth=6;nNodes=82118;nNodesData=75637;nNodesDir=6481;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=200
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	40	64	1000000	0	426335368	426	787	257847	257847	156489	156843	178382	180252	0	0	243763333	246303333	215620000	217513333	0	0	77459	6	0	0	0	998175	998796	506801	505980	0	0	1.4159159589480421	1.4200095095350278	1.5112864135390485	1.5113977294520193	-32540	4565	0	0	0	0	0	0	-2087	4	-2010	4	0	0	XTreeS;size=1000000;depth=6;nNodes=77497;nNodesData=71369;nNodesDir=6128;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=200
% Measurements
% ============
XTS-P-0	CUBE(1.0,0.0,null)	24	64	1000000	0	282844968	282	438	130959	130959	102277	102802	108972	110183	0	0	164370000	162320000	170055000	169915000	0	0	82703	6	0	0	0	998898	999819	510522	509750	0	0	0.8430505083105079	0.844754159843103	0.9291630975366179	0.9276759563022831	-18715	7426	0	0	0	0	0	0	-1293	4	-1279	4	0	0	XTreeS;size=1000000;depth=6;nNodes=82703;nNodesData=76196;nNodesDir=6507;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=200
XTS-P-1	CUBE(1.0,0.0,null)	24	64	1000000	0	284220536	284	498	129320	129320	94080	94524	85291	83761	0	0	154740000	152825000	161075000	160570000	0	0	85164	6	0	0	0	1000361	1001046	510963	510515	0	0	0.8443237482547606	0.8381200664354068	0.9285193497612708	0.9306528109431603	-19297	6734	0	0	0	0	0	0	-1927	6	-1282	2	0	0	XTreeS;size=1000000;depth=6;nNodes=85164;nNodesData=78437;nNodesDir=6727;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=200
XTS-P-2	CUBE(1.0,0.0,null)	24	64	1000000	0	283963104	283	483	127550	127550	98070	96813	60630	60328	0	0	152285000	161605000	163835000	164590000	0	0	84685	6	0	0	0	1000957	1000555	510176	509793	0	0	0.8422611748192803	0.8458565329503575	0.9287924738225884	0.9309129390698825	-19008	6922	0	0	0	0	0	0	-1294	4	-1282	4	0	0	XTreeS;size=1000000;depth=6;nNodes=84685;nNodesData=77984;nNodesDir=6701;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=200
XTS-P-0	CUBE(1.0,0.0,null)	28	64	1000000	0	319865432	319	522	157028	157028	113189	113223	125821	127504	0	0	202190000	201910000	192220000	192355000	0	0	82517	6	0	0	0	1004704	1002557	508555	508033	0	0	1.0005318538976353	0.9983985362943133	1.0855547621648245	1.087014175589497	-22457	10474	0	0	0	0	0	0	-1478	4	-1464	4	0	0	XTreeS;size=1000000;depth=6;nNodes=82517;nNodesData=76016;nNodesDir=6501;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=200
