Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	2	64	1000000	81	82945530	82	105	688	688	189	142	614	635	1486	1558	27416666	20600000	47850000	45050000	524	524	710986	34	0	0	0	99963	99985	499857	499609	1000000	1000000	0.2712332411626211	0.23481536764295466	0.2753785866162512	0.26303803089165134	-436	126	0	0	0	0	-1373	176	-573	4	-2578	10	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	89	90773837	90	148	775	775	266	220	673	688	1553	1566	24300000	22283333	30816666	30883333	584	584	626293	35	0	0	0	100015	99959	499367	499934	1000000	1000000	0.412297990895033	0.3877990190544281	0.38526057366051475	0.4218576193071164	-683	183	0	0	0	0	-1259	134	-1146	8	-2578	8	-203	10	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	4	64	1000000	106	108644632	108	176	825	825	389	389	764	766	1711	1755	15550000	17250000	19300000	20950000	670	670	647370	36	0	0	0	100001	100012	499679	500204	1000000	1000000	0.4679899594315573	0.503410650140191	0.5031372153499513	0.4786762063653323	-681	177	0	0	0	0	-1157	134	-860	2	-1146	2	-192	14	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	5	64	1000000	134	138003914	137	209	926	926	595	589	836	837	1884	1910	14233333	15600000	19066666	18166666	729	729	741941	36	0	0	0	100052	100023	499592	500742	1000000	1000000	0.559036748117766	0.5730883261144116	0.5602161245631877	0.5544367242563694	-896	234	0	0	0	0	-1275	129	-950	0	-946	2	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	6	64	1000000	166	172194952	171	264	1017	1017	1236	1212	871	878	2047	2046	19283333	20400000	21200000	20750000	832	832	855556	37	0	2	120	100024	100003	500254	500049	1000000	1000000	0.6363742446777102	0.6772135437237452	0.6230164798135644	0.6348095603132902	-926	1064	0	0	0	0	-1405	148	-1528	4	-1527	4	-135	6	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	8	64	1000000	226	233992858	233	328	1220	1220	4011	3944	997	996	2202	2201	46800000	47616666	43083333	43216666	1041	1041	976150	39	0	4	501	99961	100050	499665	499729	1000000	1000000	0.753180640373242	0.7833923422012324	0.7463554759981633	0.7272850234303192	-1131	860	0	0	0	0	-919	82	-3566	12	-3056	10	-348	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	10	64	1000000	282	291657232	291	395	1493	1493	13353	13493	1048	1068	2364	2432	108750000	104933333	108950000	106483333	1195	1195	991515	42	0	4	2074	99991	99973	499841	499756	1000000	1000000	0.8661151867673466	0.8441859687561256	0.8875429614291864	0.8665571063272234	-1107	1694	0	0	0	0	-1529	116	-7565	18	-7565	22	-209	9	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	15	64	1000000	418	431905312	431	574	1988	1988	194050	197729	1038	1021	2368	2442	437800000	435683333	471366666	483816666	1682	1682	924841	47	0	4	15936	100063	99989	499957	499412	1000000	1000000	1.0846451750792934	1.0980461907281747	1.0820005142250968	1.0224119581016404	-695	2586	0	0	0	0	-1073	96	-34481	80	-37276	88	-914	33	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
