Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC_IPP-R-AVG-3/3	CLUSTER(5.0,0.0,null)	2	64	1000000	57	57841848	57	190	539	539	107	93	548	536	1548	1559	50866	46766	126233	126466	521	521	581432	17	86	0	0	965131	1000682	499857	499609	1000000	1000000	0.012895891272514608	0.012789343039463443	0.013304106308395533	0.013376108574946423	-211	88	0	0	0	0	-1408	187	-1146	8	-3436	24	-289	28	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	55	55568218	54	230	545	545	104	101	594	634	1569	1586	90166	89200	223600	228266	579	579	450221	18	0	0	0	1009653	993981	499367	499934	1000000	1000000	0.05337535610584707	0.05362022661041424	0.05408504141088313	0.05391759599108257	-460	110	0	0	86	967	-1538	182	-2863	16	-6874	34	-290	19	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CLUSTER(5.0,0.0,null)	4	64	1000000	55	54548666	54	289	569	569	115	113	642	556	1601	1643	173333	168000	383666	366333	636	636	370201	19	0	0	0	1051223	1008784	499679	500204	1000000	1000000	0.1098277220629993	0.11212486952292065	0.1118011631039334	0.1125786037878781	-480	70	0	0	179	1192	-1995	194	-575	2	-1146	8	-193	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CLUSTER(5.0,0.0,null)	5	64	1000000	60	58780114	58	366	612	612	132	131	700	628	1752	1796	420000	402333	729000	719000	701	701	332730	20	0	0	0	975847	966719	499592	500742	1000000	1000000	0.17624396391195182	0.1748427559915612	0.17491127608077303	0.1755880392280258	-652	88	0	0	-186	71	-1949	5198	-1432	8	-2291	8	-335	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CLUSTER(5.0,0.0,null)	6	64	1000000	63	62037322	61	449	697	697	147	141	770	710	1843	1864	720000	673333	986666	1053333	737	737	297253	20	0	0	0	990369	1023446	500254	500049	1000000	1000000	0.24190448217798943	0.24241176884870685	0.2454615261506489	0.2395238922483174	-743	95	0	0	-101	848	-2387	1880	-310	2	-288	2	-292	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CLUSTER(5.0,0.0,null)	8	64	1000000	74	72607333	72	628	905	905	185	181	793	794	2111	2131	1130000	1106666	1470000	1390000	873	873	264657	21	0	6	160	982732	989083	499665	499729	1000000	1000000	0.37629589050190776	0.3669531442634415	0.37604669898699344	0.371876157442199	-1102	104	0	0	-223	52	-2877	1486	-306	2	-592	4	-501	26	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CLUSTER(5.0,0.0,null)	10	64	1000000	90	89040013	88	744	1048	1048	242	227	844	833	2297	2367	2236666	1983333	2460000	2380000	972	972	258800	21	0	53	3160	948004	918764	499841	499756	1000000	1000000	0.5137186665533598	0.5148359239348503	0.5092903280101716	0.49611373477611065	-1268	118	0	0	-298	49	-3049	240	-734	4	-726	6	-369	15	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CLUSTER(5.0,0.0,null)	12	64	1000000	100	99630757	99	909	1174	1174	273	253	882	860	2445	2462	2966666	3316666	3100000	2833333	1025	1025	233553	22	0	55	1870	1039183	1008150	500185	500451	1000000	1000000	0.6332245205532278	0.6182268630692986	0.6241149987120029	0.6223204127919478	-1186	582	0	0	-338	57	-3162	1137	-396	26	-439	2	-571	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CLUSTER(5.0,0.0,null)	16	64	1000000	130	128966181	128	1196	1300	1300	352	345	1011	965	2747	2792	4416666	4383333	4116666	4533333	1189	1189	230397	22	0	59	4263	1034910	1032268	499903	500295	1000000	1000000	0.8597892851577424	0.8577091504006078	0.8209196333526266	0.8099130090013918	-1779	398	0	0	-466	63	-3687	253	-539	32	-556	4	-552	16	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CLUSTER(5.0,0.0,null)	20	64	1000000	168	165724794	165	1478	1555	1555	450	445	1163	1145	3189	3250	5216666	5750000	5150000	6233333	1408	1408	238206	22	0	100	7888	970487	953957	500547	500069	1000000	1000000	1.025617443615789	1.0321404155052218	1.0291759760837864	1.0379663184830683	-2196	469	0	0	-631	56	-4442	314	-675	28	-676	3072	-1164	27	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
