Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	62	62436181	62	117	994	994	146	143	650	650	1117	1139	6166	5233	42600	43300	895	895	616298	20	0	0	0	1000435	1000149	499857	499609	1000000	1000000	4.948923228939033E-4	4.954407390388495E-4	0.0012324075374086719	0.0012288271592204518	-188	187	0	0	0	0	-1851	198	0	0	-859	6	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	59	59303416	59	142	801	801	206	204	698	734	972	994	8766	9033	54133	52233	869	869	444622	23	0	0	0	1000073	999788	499367	499934	1000000	1000000	0.0055231188684213665	0.0055477434978470535	0.010279976642439554	0.010294584177505249	-206	98	0	0	84	1012	-1469	98	-301	2	-1431	6	-283	16	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	62	62601181	62	170	869	869	331	333	694	607	955	971	22000	22000	171000	181666	920	920	363516	25	0	0	0	1000716	1001558	499679	500204	1000000	1000000	0.01947855896458052	0.01929069374808676	0.031108384441177483	0.031188939881604854	-218	60	0	0	181	1254	-1566	88	0	0	-290	2	-282	17	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	70	70530501	70	210	947	947	563	559	737	689	996	996	67333	80000	229666	258666	995	995	336000	26	0	0	0	1000080	1000328	499592	500742	1000000	1000000	0.04257312793991181	0.04225259799125367	0.06222102109161868	0.06230519535135214	-435	100	0	0	-182	76	-2205	90	-274	24	-886	956	-271	16	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	6	64	1000000	69	75300712	74	246	1069	1069	910	906	819	768	1050	1050	149000	125333	284333	262666	1060	1060	246712	26	0	0	0	1000238	999814	500254	500049	1000000	1000000	0.0726455411203501	0.07223185608011096	0.10054276578791721	0.10057451980726832	-438	93	0	0	-107	1267	-1841	68	-295	2	-573	2	-277	15	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	8	64	1000000	76	77531050	77	327	1385	1385	2422	2461	844	834	1120	1119	772666	712000	1416666	1403000	1162	1162	103383	27	0	257	4452	1001547	1001337	499665	499729	1000000	1000000	0.14729266937426674	0.14897046331075225	0.18996455772354207	0.19021384036162947	-985	99	0	0	-272	37	-2383	87	-1870	10	-3428	20	-391	14	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	10	64	1000000	273	299376077	299	394	1749	1749	14022	14025	1001	987	1233	1227	10805333	10408000	17442666	17977666	1291	1291	261195	28	0	1025	207890	1001115	1001369	499841	499756	1000000	1000000	0.2339750882977635	0.23339007408358478	0.28620683701895333	0.287330835762321	-643	1448	0	0	192	1549	-2072	127	-22625	76	-38595	124	-449	15	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	12	64	1000000	324	402976442	402	458	2733	2733	17916	17898	883	837	1051	1034	17530000	17100000	31430000	31145000	1334	1334	38050	28	0	3869	213839	999322	998916	500185	500451	1000000	1000000	0.32224511594320365	0.32043995978924406	0.38688573592977	0.3869969596647232	-701	2515	0	0	166	1523	-2055	128	-8308	22	-12462	34	-286	7	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	16	64	1000000	148	151625093	151	601	1783	1783	26390	25839	1048	1182	1430	1410	55101666	54523333	87286666	86095000	1516	1516	65679	28	0	1	16710	999767	1001225	499903	500295	1000000	1000000	0.5041687369242602	0.4984087842984816	0.5772734364327129	0.5765045578892868	-1135	808	0	0	-141	1942	-3160	134	-40792	170	-58274	222	-532	20	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	20	64	1000000	368	375795885	375	804	1906	1906	95057	96689	1261	968	1581	1544	277173333	279790000	364095000	351785000	1623	1623	259239	29	0	1	66612	999836	1000486	500547	500069	1000000	1000000	0.6794276956096258	0.6770382920902319	0.7626351880800083	0.7608824436558459	-552	1585	0	0	0	0	-3599	220	-190289	614	-237114	742	-1348	30	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	24	64	1000000	644	678890138	678	961	2158	2158	129160	128287	1118	970	1420	1384	426325000	428345000	473716666	473991666	1681	1681	32335	29	0	1	226933	1000871	1001230	500265	500273	1000000	1000000	0.8350647708474715	0.8464943798616068	0.9287674270324159	0.9322292986550661	-368	2636	0	0	-773	170	-3733	238	-291501	1104	-336176	1312	-1138	26	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	28	64	1000000	849	897656704	897	1075	2862	2862	151357	154225	1324	1165	1570	1534	536946666	537281666	546556666	546001666	2367	2367	2084	29	0	1	279279	1001087	1000305	500156	500441	1000000	1000000	0.9971175734933797	0.9969182484050676	1.0898575404585638	1.0904245006645417	-322	3308	0	0	250	2769	-5141	306	-373032	1814	-385318	1850	-1277	92	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
% Measurements
% ============
PHC_IPP-R-0	CUBE(1.0,0.0,null)	2	64	1000000	62	62458544	62	121	1027	1027	149	147	649	644	1113	1147	5900	5200	42700	42600	894	894	616552	20	1	0	0	999812	1000329	499776	499530	1000000	1000000	4.938919205983755E-4	4.947591573800234E-4	0.0012298644054952496	0.001231190801189742	-188	188	0	0	0	0	-1935	216	0	0	-859	6	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
