Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	2	64	1000000	0	143632216	143	132	897	897	456	109	0	0	2103	2130	24766666	17250000	22300000	22266666	401	401	356073	21	0	0	0	99963	99985	0	0	999793	999421	0.3868325129606016	0.39901763556110453	0.4274219050629005	0.42256453890178897	-1	718	0	0	0	0	-311	2249	0	0	-254	2	-77	40	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[4.5161262071106464E-5, 0.49999500001268665]/[1.999684205345165, 1.9997342830610707] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	0	161423306	160	141	831	831	392	130	0	0	2378	2622	13966666	10800000	16800000	25550000	505	505	321722	20	0	0	0	100015	99959	0	0	999610	998788	0.5226837577245032	0.5109875136926975	0.5176009622028221	0.5644148194167251	3	640	0	0	0	0	-91	10947	0	0	-253	2	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.49986435159439324, 0.4999950000388341, 0.49999500006807973]/[1.499774119183125, 1.999733861875844, 1.9997338628274288] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	4	64	1000000	0	211584744	211	144	814	814	316	142	0	0	2708	2938	21716666	17900000	15083333	17683333	644	644	451039	19	0	0	0	100001	100012	0	0	999379	998179	0.5931750777867124	0.6373269541807008	0.6017709246556433	0.6100719543067763	5	602	0	0	0	0	-328	8454	0	0	0	0	30	2668	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.4998636425321852, 0.4999950000214145, 0.4999950000547315, 0.49999500002501424]/[1.4997735792195965, 1.999732916305311, 1.9997329163059747, 1.9997329162990454] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	5	64	1000000	0	257294072	257	203	874	874	332	159	0	0	2858	3234	8550000	9150000	23316666	21183333	725	725	529972	19	0	0	0	100052	100023	0	0	999154	997638	0.6006592961835201	0.6051842220733761	0.6642820329805005	0.6318422823628701	7	546	0	0	0	0	-431	9282	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.4998645280901927, 0.49999500012514236, 0.4999950001263394, 0.49999500019889276, 0.49999500007900255]/[1.499774300554491, 1.9997341301864124, 1.9997341290049144, 1.9997341303922935, 1.9997341299792621] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	6	64	1000000	0	299990437	299	260	895	895	372	149	0	0	2946	3416	23433333	14700000	23183333	32433333	819	819	570543	19	0	0	0	100024	100003	0	0	998971	997066	0.692117826201573	0.7017279642934091	0.7061881797985355	0.7406580788536153	0	489	0	0	0	0	-266	9224	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.499863105352096, 0.4999950000160757, 0.49999500005895087, 0.4999950000973009, 0.4999950000318375, 0.4999950000249505]/[1.499771967679329, 1.9997313047596421, 1.9997313047704095, 1.9997313047476095, 1.9997313047170424, 1.9997313047607967] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-AVG-1/3	CLUSTER(3.5,0.0,null)	8	64	1000000	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		null
QKDZ-R-AVG-1/3	CLUSTER(3.5,0.0,null)	10	64	1000000	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		null
QKDZ-R-AVG-1/3	CLUSTER(3.5,0.0,null)	15	64	1000000	0	0	0	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		null
% Measurements
% ============
QKDZ-R-0	CLUSTER(3.5,0.0,null)	2	64	1000000	0	142355784	142	124	892	892	400	109	0	0	2137	2068	29650000	7200000	27200000	16400000	390	390	356066	21	0	0	0	99962	100020	0	0	999799	999442	0.3454442154470222	0.37412194516393166	0.37543174168930615	0.4239482025066087	-1	714	0	0	0	0	-467	220	0	0	-254	2	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[4.501434241998355E-5, 0.49999500001549996]/[1.9996847840619885, 1.9997348272667823] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-1	CLUSTER(3.5,0.0,null)	2	64	1000000	0	144273448	144	133	902	902	370	100	0	0	2093	2177	24600000	21700000	24600000	25850000	429	429	356122	21	0	0	0	99915	99922	0	0	999763	999395	0.3474936176611425	0.4252087599973349	0.41588461825904677	0.438489369308804	-1	720	0	0	0	0	-257	6430	0	0	-262	0	-233	120	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[4.508760417318732E-5, 0.4999950000272913]/[1.9996847343239157, 1.9997347350390662] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-2	CLUSTER(3.5,0.0,null)	2	64	1000000	0	144267416	144	140	897	897	599	119	0	0	2080	2145	20050000	22850000	15100000	24550000	384	384	356031	21	0	0	0	100014	100014	0	0	999818	999426	0.4675597057736402	0.39772220152204707	0.4909493552403486	0.4052560448899543	-1	720	0	0	0	0	-210	98	0	0	-270	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[4.5161262071106464E-5, 0.49999500001268665]/[1.999684205345165, 1.9997342830610707] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-0	CLUSTER(3.5,0.0,null)	3	64	1000000	0	162691496	162	145	831	831	359	130	0	0	2332	2488	17500000	25700000	13450000	47800000	467	467	321724	20	0	0	0	100016	99935	0	0	999625	998842	0.5582506219026186	0.5144048718750868	0.5490224500542082	0.5617664455103965	3	644	0	0	0	0	23	9796	0	0	-253	2	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.49986454469666847, 0.49999500003484443, 0.49999500002692715]/[1.4997742985535365, 1.999734141943661, 1.9997341412393386] WINDOW_RESULTS=1000 KNN_REPEAT=20
