Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	0	128017026	127	105	700	700	164	151	699	733	1163	1214	3333	3333	7300	7433	1036	1036	319739	11	0	0	0	1000435	1000149	499857	499609	1000000	1000000	4.94892318913369E-4	4.954407377314921E-4	0.0012324075374053574	0.0012288271608431175	0	0	0	0	0	0	-52	3452	0	0	0	0	-229	116	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999546564045194, 0.49999637460309876]/0.9999876027488501 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	145493048	145	125	901	901	217	188	734	729	1051	1148	5366	5233	12833	12933	1019	1019	297140	8	0	0	0	1000073	999788	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	13	670	0	0	0	0	-334	3030	0	0	0	0	92	2397	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	0	223903480	223	170	811	811	505	475	700	720	1048	1092	17666	17666	43666	43666	1154	1154	665712	6	0	0	0	1000715	1001558	499679	500204	1000000	1000000	0.019478558970249294	0.019290693761570856	0.03110838444096227	0.03118893988217669	12	372	0	0	235	2198	-356	74	0	0	0	0	-293	147	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999949150172353, 0.49999461496196457, 0.49999589728078514, 0.499994263186106]/0.9999891977805616 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	0	248801442	248	213	774	774	1056	1075	627	675	1041	1123	47666	45666	104000	103666	1129	1129	678466	5	0	0	0	1000080	1000328	499592	500742	1000000	1000000	0.04257312792881887	0.04225259800006063	0.06222102109910444	0.062305195349655236	11	323	0	0	166	3108	-588	333	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999742412146897, 0.5000028316074122, 0.4999977615141813, 0.5000000000274947, 0.5000038182066538]/0.99999418280698 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	6	64	1000000	0	196304757	196	280	813	813	1702	1744	702	651	1130	1140	88333	88666	206000	210333	1062	1062	266052	5	0	0	0	1000238	999814	500254	500049	1000000	1000000	0.07264554112393223	0.07223185607752756	0.10054276579208177	0.10057451980664374	13	539	0	0	0	0	-93	7202	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999422081883604, 0.49999651368652714, 0.49999558742081807, 0.49999537889369017, 0.49999445242989404, 0.49999537388986426]/0.9999888998613253 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	8	64	1000000	0	425254770	425	317	1196	1196	6879	6866	681	681	1268	1349	652000	636000	1350666	1310000	1397	1397	975435	4	0	0	0	1001547	1001337	499665	499729	1000000	1000000	0.14729266936199978	0.1489704633073027	0.1899645577197104	0.19021384036254077	528	1813	-837	10754	0	0	13	2324	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999935175946963, 0.4999970192188002, 0.49999558327071686, 0.49999520175660295, 0.4999941336234261, 0.4999923161540968, 0.4999946315693864, 0.49999843211911044]/0.9999884661048322 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	10	64	1000000	0	356575264	355	387	913	913	22346	22169	638	655	1187	1290	4949000	4691333	9782666	9779000	1412	1412	646940	3	0	0	0	1001115	1001369	499841	499756	1000000	1000000	0.23397508830478228	0.2333900740839677	0.2862068370116524	0.2873308357579245	14	474	-2085	6	0	0	-838	1265	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999946902805959, 0.49999206920402306, 0.49999737286320545, 0.49999249930737694, 0.4999948864095847, 0.4999946090812801, 0.49999392311838364, 0.4999988812128659, 0.5000002824398467, 0.49999443773962515]/0.9999881794640388 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	12	64	1000000	0	598028432	597	472	1188	1188	40530	40989	675	664	1451	1441	11366666	11515000	23378333	22865000	3367	3367	978753	3	0	0	0	999322	998916	500185	500451	1000000	1000000	0.3222451159755723	0.32043995979606915	0.38688573592991077	0.3869969596686686	474	1548	-4241	10	0	0	-876	149	0	0	0	0	-269	72	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999964391067869, 0.49999491839731175, 0.5000076782435563, 0.4999941949620336, 0.4999945068621843, 0.49998498352380283, 0.5000018721459994, 0.4999916082092462, 0.49999822897315394, 0.5000083674803847, 0.4999951126871699, 0.49998892661662836]/0.9999890087259058 WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
QKDZ-R-AVG-1/3	CUBE(1.0,0.0,null)	16	64	1000000	0	0	0	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		Java heap space
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	20	64	1000000	0	561515896	561	749	887	887	138141	138095	578	573	1265	1470	0	0	0	0	1328	1328	644552	1	0	0	0	999836	1000486	500547	500069	1000000	1000000	0.0	0.0	0.0	0.0	14	588	-23453	62	0	0	-897	5114	0	0	0	0	-44	1420	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999875275347855, 0.4999999242708401, 0.49999071589854055, 0.49998900323158674, 0.4999948864095847, 0.4999887474673999, 0.49999420786084686, 0.49999930447565955, 0.49999207701347065, 0.49999199152238444, 0.5000005745123082, 0.49999710492439986, 0.4999944575361514, 0.4999916624937343, 0.5000038056538978, 0.49999744281040154, 0.4999918623383831, 0.4999906906840587, 0.49999628232020293, 0.49998023947642084]/0.99998891007384 WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
