Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	0	130191248	130	86	6833	6833	257	235	2039	2096	0	0	7266	7233	10033	10733	0	0	0	0	0	0	0	1000435	1000149	499857	499609	0	0	4.94892318913369E-4	4.954407377314921E-4	0.0012324075374053574	0.0012288271608431175	-5448	558	-261	1	26	1989	0	0	0	0	-303	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=177402;dirNodes=38998 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	149358792	149	157	9839	9839	459	436	3835	4020	0	0	19666	19466	24433	23933	0	0	0	0	0	0	0	1000073	999788	499367	499934	0	0	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	-7118	640	-262	1	138	9967	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=173593;dirNodes=38366 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	0	168176973	168	186	13435	13435	1016	993	6040	6244	0	0	57000	51666	62333	60333	0	0	0	0	0	0	0	1000715	1001558	499679	500204	0	0	0.019478558970249294	0.019290693761570856	0.03110838444096227	0.03118893988217669	-8515	696	-653	2	106	11138	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=170528;dirNodes=37928 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	0	187055090	187	224	16533	16533	2759	2750	18134	18101	0	0	237000	228333	284666	291666	0	0	0	0	0	0	0	1000080	1000328	499592	500742	0	0	0.04257312792881887	0.04225259800006063	0.06222102109910444	0.062305195349655236	-9911	698	-1571	5	-268	13141	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=168336;dirNodes=37602 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	6	64	1000000	0	205982938	205	247	20147	20147	6116	6136	27924	28525	0	0	546666	564333	682000	684666	0	0	0	0	0	0	0	1000238	999814	500254	500049	0	0	0.07264554112393223	0.07223185607752756	0.10054276579208177	0.10057451980664374	-11300	753	-3818	14	-280	14614	0	0	-397	32	-409	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=167195;dirNodes=37354 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	8	64	1000000	0	243948749	243	320	26472	26472	20550	20555	60577	59710	0	0	2836000	2686333	4072666	3932333	0	0	0	0	0	0	0	1001547	1001337	499665	499729	0	0	0.14729266936199978	0.1489704633073027	0.1899645577197104	0.19021384036254077	-13931	2557	-16243	54	-241	69114	0	0	-511	2	-1004	4	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=165096;dirNodes=37075 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	10	64	1000000	0	281841290	281	410	32898	32898	42755	43030	107912	104829	0	0	9618000	9565333	13610666	13637666	0	0	0	0	0	0	0	1001115	1001369	499841	499756	0	0	0.23397508830478228	0.2333900740839677	0.2862068370116524	0.2873308357579245	-16485	3596	-44278	120	-713	10934	0	0	-1791	6	-2978	10	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=162776;dirNodes=36535 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	12	64	1000000	0	319647213	319	470	40528	40528	74760	75041	166978	169781	0	0	29265000	29551666	37053333	37508333	0	0	0	0	0	0	0	999322	998916	500185	500451	0	0	0.3222451159755723	0.32043995979606915	0.38688573592991077	0.3869969596686686	-19059	4729	-93208	254	-478	151563	0	0	-703	2	-1377	4	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=161012;dirNodes=36459 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	16	64	1000000	0	394031882	393	609	54305	54305	142949	141924	385423	383365	0	0	117336666	116835000	137148333	138200000	0	0	0	0	0	0	0	999767	1001225	499903	500295	0	0	0.5041687369431621	0.4984087842882017	0.5772734364198193	0.5765045578847485	-24139	6498	-230439	579	-962	11235	0	0	-2627	6	-2622	6	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=157114;dirNodes=35638 WINDOW_RESULTS=1000 KNN_REPEAT=200
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	20	64	1000000	0	467786344	467	757	69774	69774	202193	202248	383109	381850	0	0	226830000	229476666	241258333	243015000	0	0	0	0	0	0	0	999836	1000486	500547	500069	0	0	0.6794276956293012	0.6770382921325587	0.7626351880724375	0.760882443663146	-28953	8029	-383991	913	-730	172512	0	0	-3182	10	-3175	10	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=154354;dirNodes=34860 WINDOW_RESULTS=1000 KNN_REPEAT=200
