Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	2	64	1000000	0	112713210	112	87	4547	4547	186	96	666	660	5176	5156	1333333	6816666	33333	0	852	852	159986	8	0	0	0	99963	99985	499857	499609	1000000	1000000	0.2712332411626211	0.23481536764295466	0.2753785866162512	0.26303803089165134	-1226	231	0	0	0	0	-1606	2198	0	0	0	0	-175	36	RTreeZ;RStarTreeLogic;size=1000000;nNodes=159894;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	0	131366418	131	152	5800	5800	336	126	849	853	6713	6797	50000	2333333	50000	16666	1081	1081	160646	8	0	0	0	100015	99959	499367	499934	1000000	1000000	0.412297990895033	0.3877990190544281	0.38526057366051475	0.4218576193071164	-1450	272	0	0	0	0	-1734	3734	0	0	0	0	-267	44	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160645;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	4	64	1000000	0	150360325	150	170	7505	7505	166	129	1004	1014	8056	8237	2683333	50000	50000	50000	1260	1260	159848	8	0	0	0	100001	100012	499679	500204	1000000	1000000	0.4679899594315573	0.503410650140191	0.5031372153499513	0.4786762063653323	-1430	253	0	0	116	1124	-1975	5830	0	0	0	0	-95	6	RTreeZ;RStarTreeLogic;size=1000000;nNodes=159827;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	5	64	1000000	0	168718765	168	203	9157	9157	206	122	834	851	9419	9408	116666	100000	83333	183333	1482	1482	158554	8	0	0	0	100052	100023	499592	500742	1000000	1000000	0.559036748117766	0.5730883261144116	0.5602161245631877	0.5544367242563694	-1411	258	0	0	0	0	-2168	4806	0	0	-345	0	-329	39	RTreeZ;RStarTreeLogic;size=1000000;nNodes=158649;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	6	64	1000000	0	186923320	186	243	10529	10529	292	149	1000	1013	10850	10696	1350000	83333	133333	133333	1648	1648	157311	8	0	0	0	100024	100003	500254	500049	1000000	1000000	0.6363742446777102	0.6772135437237452	0.6230164798135644	0.6348095603132902	-1628	290	0	0	0	0	-1997	7322	0	0	0	0	-334	81	RTreeZ;RStarTreeLogic;size=1000000;nNodes=157323;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	8	64	1000000	0	223332608	223	320	15066	15066	296	152	1065	1038	13582	13252	250000	166666	250000	200000	2081	2081	154785	8	0	0	0	99961	100050	499665	499729	1000000	1000000	0.753180640373242	0.7833923422012324	0.7463554759981633	0.7272850234303192	-1419	2707	0	0	0	0	-2129	8114	0	0	0	0	-404	102	RTreeZ;RStarTreeLogic;size=1000000;nNodes=154910;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	10	64	1000000	0	259578488	259	374	17883	17883	232	149	1116	1092	15720	15298	183333	1566666	283333	216666	2244	2244	152641	8	0	0	0	99991	99973	499841	499756	1000000	1000000	0.8661151867673466	0.8441859687561256	0.8875429614291864	0.8665571063272234	-1144	10060	0	0	0	0	-3176	8573	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=152489;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	15	64	1000000	0	349376658	349	569	28254	28254	285	189	1250	1214	22202	21090	366666	383333	550000	450000	3147	3147	147376	8	0	0	0	100063	99989	499957	499412	1000000	1000000	1.0846451750792934	1.0980461907281747	1.0820005142250968	1.0224119581016404	-1500	14170	0	0	0	0	-3663	15537	0	0	0	0	57	10082	RTreeZ;RStarTreeLogic;size=1000000;nNodes=147190;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
RSZ-R-0	CLUSTER(3.5,0.0,null)	2	64	1000000	0	112734312	112	78	4440	4440	260	109	653	656	5158	5133	1950000	4250000	50000	0	864	864	160108	8	0	0	0	99962	100020	499776	499530	1000000	1000000	0.2887175973625068	0.15270937550900268	0.24672814253150815	0.25662026269686744	-1227	222	0	0	0	0	-1456	2130	0	0	0	0	-262	56	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160108;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-1	CLUSTER(3.5,0.0,null)	2	64	1000000	0	112708504	112	76	4467	4467	150	90	683	666	5171	5201	2050000	12200000	0	0	833	833	159957	8	0	0	0	99915	99922	500032	500431	1000000	1000000	0.23187694068016823	0.2741690057490674	0.27430071357352276	0.29437365562648476	-1224	228	0	0	0	0	-1655	2230	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=159957;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-2	CLUSTER(3.5,0.0,null)	2	64	1000000	0	112696816	112	107	4734	4734	149	89	664	659	5200	5134	0	4000000	50000	0	860	860	159894	8	0	0	0	100014	100014	499763	498866	1000000	1000000	0.2931051854451882	0.27756772167079385	0.3051069037437226	0.23812017435160177	-1226	244	0	0	0	0	-1708	2234	0	0	0	0	-264	52	RTreeZ;RStarTreeLogic;size=1000000;nNodes=159894;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-0	CLUSTER(3.5,0.0,null)	3	64	1000000	0	131378648	131	155	5837	5837	369	150	833	820	6641	7012	50000	2300000	50000	50000	1083	1083	160710	8	0	0	0	100016	99935	499015	499629	1000000	1000000	0.4348668627995697	0.4133134573408275	0.41931961946695306	0.40979433791859476	-1449	268	0	0	0	0	-1934	6258	0	0	0	0	-266	42	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160710;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-1	CLUSTER(3.5,0.0,null)	3	64	1000000	0	131354568	131	174	5702	5702	339	110	818	814	6555	6658	50000	0	50000	0	1097	1097	160585	8	0	0	0	100044	99980	499253	500338	1000000	1000000	0.4409100609261136	0.39618617049837884	0.4163932041628341	0.3919642885149184	-1449	274	0	0	0	0	-1545	2496	0	0	0	0	-268	40	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160585;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-2	CLUSTER(3.5,0.0,null)	3	64	1000000	0	131366040	131	128	5861	5861	300	120	897	927	6944	6723	50000	4700000	50000	0	1064	1064	160645	8	0	0	0	99987	99964	499833	499837	1000000	1000000	0.3611170489594155	0.3538974293240779	0.32006889735175703	0.4638142314878362	-1452	276	0	0	0	0	-1725	2448	-296	2	0	0	-265	50	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160645;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-0	CLUSTER(3.5,0.0,null)	4	64	1000000	0	150361792	150	207	7478	7478	180	140	1032	1033	8107	8179	50000	50000	50000	50000	1262	1262	159860	8	0	0	0	99958	99969	499427	499737	1000000	1000000	0.44020095115772345	0.48441117121917765	0.4955201637655506	0.46383962098088816	-1430	246	0	0	116	1126	-2243	4514	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=159860;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
