Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	0	110924560	110	84	6200	6200	143	106	2845	2837	7774	7298	6433	6733	11933	11866	3268	3268	150100	7	0	0	0	1000435	1000149	499857	499609	1000000	1000000	4.94892318913369E-4	4.954407377314921E-4	0.0012324075374053574	0.0012288271608431175	-1220	261	0	0	0	0	-2124	1833	-298	2	0	0	-180	24	RTreeZ;RStarTreeLogic;size=1000000;nNodes=150369;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	129031037	128	136	7602	7602	261	244	6397	6328	12786	12393	16900	16466	37766	37700	5604	5604	148480	7	0	0	0	1000073	999788	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	-1197	248	0	0	0	0	-2040	3440	0	0	0	0	-288	1276	RTreeZ;RStarTreeLogic;size=1000000;nNodes=147933;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	0	147802066	147	171	8951	8951	592	550	10693	10996	18502	18717	43333	44333	97333	96333	8400	8400	147048	7	0	0	0	1000715	1001558	499679	500204	1000000	1000000	0.019478558970249294	0.019290693761570856	0.03110838444096227	0.03118893988217669	-1416	280	0	0	112	4666	-2768	11582	0	0	0	0	-179	26	RTreeZ;RStarTreeLogic;size=1000000;nNodes=147251;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	0	165708000	165	241	10649	10649	1684	1646	38551	38605	40192	37955	183666	181333	464333	410333	17973	17973	145137	7	0	0	0	1000080	1000328	499592	500742	1000000	1000000	0.04257312792881887	0.04225259800006063	0.06222102109910444	0.062305195349655236	-1398	292	0	0	47	6975	-2941	11525	0	0	-350	2	-207	38	RTreeZ;RStarTreeLogic;size=1000000;nNodes=145667;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	6	64	1000000	0	183525949	183	256	12001	12001	4057	4042	53644	54041	58884	59477	408000	412000	975000	983000	26357	26357	143025	7	0	0	0	1000238	999814	500254	500049	1000000	1000000	0.07264554112393223	0.07223185607752756	0.10054276579208177	0.10057451980664374	-1331	958	0	0	0	0	-2677	24656	-383	0	-380	0	-122	8	RTreeZ;RStarTreeLogic;size=1000000;nNodes=143554;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	8	64	1000000	0	219316272	219	317	16692	16692	14091	14069	157917	151941	132836	167967	3105666	3177666	6652666	6578000	91277	91277	140295	7	0	0	0	1001547	1001337	499665	499729	1000000	1000000	0.14729266936199978	0.1489704633073027	0.1899645577197104	0.19021384036254077	-1337	4480	0	0	0	0	-3317	21938	0	0	-939	2	-298	34	RTreeZ;RStarTreeLogic;size=1000000;nNodes=140657;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	10	64	1000000	0	255374602	255	389	19834	19834	29095	29548	289757	296519	300676	315466	12445666	12519000	21884000	21933333	158509	158509	138826	7	0	0	0	1001115	1001369	499841	499756	1000000	1000000	0.23397508830478228	0.2333900740839677	0.2862068370116524	0.2873308357579245	-1052	10554	0	0	0	0	-4073	22138	0	0	-3361	12	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=138787;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	12	64	1000000	0	291413741	291	462	24141	24141	45990	46287	518009	522014	500456	627486	34251666	34391666	53921666	55158333	336379	336379	137637	8	0	0	0	999322	998916	500185	500451	1000000	1000000	0.3222451159755723	0.32043995979606915	0.38688573592991077	0.3869969596686686	-1177	11749	0	0	0	0	-4690	22240	0	0	-1303	4	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=137771;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	16	64	1000000	0	362675450	362	610	33006	33006	60851	60320	412994	414885	396365	462307	75320000	74165000	103501666	106151666	236769	236769	135169	7	0	0	0	999767	1001225	499903	500295	1000000	1000000	0.5041687369431621	0.4984087842882017	0.5772734364198193	0.5765045578847485	-1363	16680	0	0	0	0	-4622	22274	0	0	-1682	4	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=135052;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200 UPD_DIST=1.0E-4
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	20	64	1000000	0	432257693	432	773	43756	43756	85079	84614	0	0	0	0	148288333	156180000	176928333	169438333	0	0	133685	8	0	0	0	999836	1000486	0	0	0	0	0.6794276956293012	0.6770382921325587	0.7626351880724375	0.760882443663146	-1819	19540	0	0	0	0	0	0	0	0	-2038	4	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=133851;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=200
