Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
STRZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	2	64	1000000	0	104504477	103	194	674	674	84	59	1278	1313	9802	10797	9166	8800	22166	21033	1612	1612	111111	6	0	0	0	965131	1000681	499857	499609	1000000	1000000	0.012895891275235471	0.01278934303910144	0.013304106309192583	0.013376108578173297	0	0	0	0	0	0	-2271	3436	0	0	-301	0	-325	986	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	122539936	122	250	996	996	99	57	2018	2017	13844	17083	17900	18600	46933	47166	2667	2667	111111	6	0	0	0	1009653	993981	499367	499934	1000000	1000000	0.05337535610472905	0.05362022660831863	0.05408504141037566	0.05391759599053997	-11	210	0	0	0	0	-2633	5898	-311	2	-574	4	-262	40	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	4	64	1000000	0	140350320	140	332	1093	1093	97	73	2541	2524	17538	22367	35000	35333	89333	90333	3610	3610	111111	6	0	0	0	1051223	1008784	499679	500204	1000000	1000000	0.10982772206917611	0.1121248695266945	0.11180116309886357	0.11257860379797624	-23	173	0	0	-178	978	-3302	5236	0	0	0	0	-262	38	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	5	64	1000000	0	158141405	158	378	1416	1416	176	143	2685	2669	20415	25371	69333	66666	153333	153000	4074	4074	111111	6	0	0	0	975847	966719	499592	500742	1000000	1000000	0.17624396390370178	0.1748427560000828	0.1749112760814215	0.17558803922871502	19	186	0	0	-27	3246	-3082	11281	0	0	0	0	-347	2060	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	6	64	1000000	0	175946949	175	489	1685	1685	199	162	3218	3241	24552	32445	166666	156666	270000	263333	5702	5702	111111	6	0	0	0	990369	1023446	500254	500049	1000000	1000000	0.2419044821590862	0.2424117689051859	0.2454615261358327	0.2395238922368245	70	1226	0	0	-15	4457	-2962	15902	0	0	-373	2	-444	7864	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	8	64	1000000	0	211487717	211	642	2131	2131	217	189	3260	3260	29077	36589	220000	193333	383333	336666	6465	6465	111111	6	0	0	0	982732	989083	499665	499729	1000000	1000000	0.3762958905060943	0.36695314422585373	0.37604669898719356	0.3718761574465872	-47	2813	0	0	-36	3758	-2634	12660	0	0	0	0	-414	63	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	10	64	1000000	0	247062576	247	759	2598	2598	316	290	3875	3823	33729	39932	420000	386666	686666	596666	7106	7106	111111	6	0	0	0	948004	918764	499841	499756	1000000	1000000	0.5137186665326378	0.5148359239349557	0.5092903279574227	0.4961137347912928	-28	1799	0	0	-11	4329	-3343	18740	0	0	0	0	-291	7153	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	12	64	1000000	0	282559997	282	923	2875	2875	510	499	4876	4855	39698	44901	1233333	1016666	1666666	1666666	7671	7671	111111	6	0	0	0	1039183	1008150	500185	500451	1000000	1000000	0.633224520491693	0.6182268630673688	0.6241149986526104	0.6223204128366192	84	2556	0	0	-13	5349	-4053	21901	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	16	64	1000000	0	353074053	353	1223	4263	4263	420	382	4190	4111	48913	56494	1200000	950000	1583333	1500000	9258	9258	111111	6	0	0	0	1034910	1032268	499903	500295	1000000	1000000	0.8597892850878344	0.8577091503236209	0.820919633454385	0.8099130090254062	304	4818	0	0	-9	5769	-4875	22270	0	0	0	0	-183	7176	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	20	64	1000000	0	423914088	423	1573	5131	5131	532	499	0	0	0	0	1783333	1650000	2850000	2283333	0	0	111111	6	0	0	0	970487	953957	0	0	0	0	1.0256174436094696	1.0321404154338516	1.0291759760618053	1.0379663184853583	614	2702	0	0	0	0	0	0	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
STRZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	24	64	1000000	0	491496328	491	1870	5892	5892	578	562	0	0	0	0	2400000	2433333	3383333	3066666	0	0	111111	6	0	0	0	996077	996456	0	0	0	0	1.2196305710997015	1.2122333329126367	1.1994741039712784	1.2544214328069552	121	10960	0	0	0	0	0	0	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
STRZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	28	64	1000000	0	561751584	561	2158	6549	6549	727	702	0	0	0	0	3050000	3250000	4283333	3816666	0	0	111111	6	0	0	0	1020184	1051270	0	0	0	0	1.3817211292294642	1.3981413059033863	1.3881009753155433	1.3580751758631002	258	11256	0	0	0	0	0	0	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
STRZ-R-0	CLUSTER(5.0,0.0,null)	2	64	1000000	0	103878944	103	180	659	659	87	58	1319	1360	9855	11339	9300	8100	20400	19600	1640	1640	111111	6	0	0	0	1007033	1002757	499776	499530	1000000	1000000	0.012745446172513452	0.01262930921479017	0.013280160144128264	0.013040684341730327	0	0	0	0	0	0	-1999	5266	0	0	-301	0	-273	40	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-1	CLUSTER(5.0,0.0,null)	2	64	1000000	0	105789040	105	212	659	659	86	61	1259	1299	9717	10191	9600	9300	24500	23600	1563	1563	111111	6	0	0	0	966073	968179	500032	500431	1000000	1000000	0.013124941938961417	0.013080796707356814	0.013289098495125311	0.013537800439811487	0	0	0	0	0	0	-2408	2542	0	0	-301	2	-278	28	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-2	CLUSTER(5.0,0.0,null)	2	64	1000000	0	103845448	103	192	704	704	80	59	1258	1282	9835	10863	8600	9000	21600	19900	1634	1634	111111	6	0	0	0	922289	1031109	499763	498866	1000000	1000000	0.012817285714231541	0.01265792319515734	0.013343060288324169	0.013549840952978074	0	0	0	0	0	0	-2408	2502	0	0	-301	0	-423	2892	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	122538912	122	249	985	985	111	57	1938	1972	14094	17516	17300	17800	43000	45600	2672	2672	111111	6	0	0	0	1029164	948635	499015	499629	1000000	1000000	0.05311717503455992	0.05355022923039864	0.053819911463584016	0.05356265021296612	-11	214	0	0	0	0	-2641	5894	-311	2	-574	4	-262	38	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	122539008	122	239	1029	1029	88	55	2032	1975	13435	15994	17900	18300	43600	42900	2449	2449	111111	6	0	0	0	1014087	1040978	499253	500338	1000000	1000000	0.053264731533879714	0.05330971936414893	0.05399948876231335	0.053586276604326646	-11	208	0	0	0	0	-2875	5812	-311	2	-574	2	-266	36	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	122541888	122	262	976	976	98	59	2085	2106	14003	17740	18500	19700	54200	53000	2881	2881	111111	6	0	0	0	985709	992331	499833	499837	1000000	1000000	0.05374416174574753	0.05400073123040833	0.05443572400522961	0.05460386115432715	-11	208	0	0	0	0	-2384	5990	-311	2	-573	4	-259	48	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-0	CLUSTER(5.0,0.0,null)	4	64	1000000	0	140348392	140	329	1078	1078	92	78	2593	2592	17825	20954	35000	34000	86000	83000	3102	3102	111111	6	0	0	0	1084022	991559	499427	499737	1000000	1000000	0.11167527710439203	0.11101538583571456	0.11155385313349128	0.11255833297723375	-23	170	0	0	-208	1498	-3413	4510	0	0	0	0	-263	36	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-R-1	CLUSTER(5.0,0.0,null)	4	64	1000000	0	140348496	140	323	1095	1095	109	70	2495	2489	17163	22489	36000	39000	104000	96000	3607	3607	111111	6	0	0	0	1047076	984908	500009	500955	1000000	1000000	0.10858527288669077	0.11424696096335439	0.11239394326473999	0.11386204465813705	-23	168	0	0	-114	134	-3075	6778	0	0	0	0	-263	36	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-R-2	CLUSTER(5.0,0.0,null)	4	64	1000000	0	140354072	140	346	1108	1108	90	71	2536	2492	17628	23658	34000	33000	78000	92000	4122	4122	111111	6	0	0	0	1022573	1049887	499603	499920	1000000	1000000	0.10922261621644554	0.11111226178101453	0.11145569289835947	0.11131543375855787	-23	182	0	0	-214	1304	-3419	4420	0	0	0	0	-259	44	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-R-0	CLUSTER(5.0,0.0,null)	5	64	1000000	0	158141864	158	370	1479	1479	173	142	2738	2745	20437	25651	67000	66000	156000	150000	4082	4082	111111	6	0	0	0	1014548	946621	499772	501500	1000000	1000000	0.17463554663418132	0.1725852419496437	0.17538036204112703	0.17746185798347439	19	190	0	0	-26	3352	-3026	11520	0	0	0	0	-485	6034	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-R-1	CLUSTER(5.0,0.0,null)	5	64	1000000	0	158141864	158	396	1408	1408	175	145	2720	2640	20233	25463	66000	64000	146000	146000	4173	4173	111111	6	0	0	0	999081	993673	499552	500279	1000000	1000000	0.17794881796856343	0.17392499120219043	0.17422331752258227	0.17304181253139228	19	188	0	0	-23	3338	-3106	11046	0	0	0	0	-278	74	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-R-2	CLUSTER(5.0,0.0,null)	5	64	1000000	0	158140488	158	370	1361	1361	180	142	2599	2623	20577	24999	75000	70000	158000	163000	3967	3967	111111	6	0	0	0	913913	959864	499453	500448	1000000	1000000	0.17614752710836057	0.17801803484841427	0.1751301486805552	0.17626044717127845	19	182	0	0	-32	3050	-3115	11278	0	0	0	0	-279	74	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
STRZ-R-0	CLUSTER(5.0,0.0,null)	6	64	1000000	0	175947472	175	474	1781	1781	198	161	3022	3070	23603	30983	160000	130000	240000	250000	5060	5060	111111	6	0	0	0	1019716	966753	499655	499801	1000000	1000000	0.23513951542179726	0.24873886860109273	0.2417838123903456	0.22933245827885324	185	3382	0	0	-16	4050	-3179	15410	0	0	-373	2	-450	7238	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-R-1	CLUSTER(5.0,0.0,null)	6	64	1000000	0	175944112	175	485	1645	1645	197	171	3397	3407	24799	32058	160000	180000	310000	270000	5573	5573	111111	6	0	0	0	906554	997005	500671	500083	1000000	1000000	0.2331127984661549	0.23605122635212658	0.25186756338498884	0.23861900123429464	13	148	0	0	-13	4790	-3142	16524	0	0	-376	2	-450	8664	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-R-2	CLUSTER(5.0,0.0,null)	6	64	1000000	0	175949264	175	509	1629	1629	203	156	3235	3246	25255	34296	180000	160000	260000	270000	6475	6475	111111	6	0	0	0	1044839	1106582	500437	500263	1000000	1000000	0.2574611325893063	0.24244521176233838	0.24273320263216364	0.2506202171973256	13	148	0	0	-16	4532	-2566	15774	0	0	-374	2	-431	7692	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-R-0	CLUSTER(5.0,0.0,null)	8	64	1000000	0	211485832	211	648	2185	2185	195	181	3194	3158	28969	35215	240000	180000	370000	300000	6189	6189	111111	6	0	0	0	997103	989099	499639	500213	1000000	1000000	0.36913039712862905	0.3600231661754224	0.3790772804669984	0.3712435043313464	0	4102	0	0	-45	2970	-3075	15278	0	0	0	0	-422	54	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-R-1	CLUSTER(5.0,0.0,null)	8	64	1000000	0	211487680	211	648	2011	2011	241	178	3280	3374	30062	38419	200000	200000	410000	390000	6914	6914	111111	6	0	0	0	1029628	1072769	499690	499521	1000000	1000000	0.38245823738400736	0.3760116065150737	0.3753185727831897	0.3872239837837089	-140	226	0	0	-18	5066	-2613	15704	0	0	0	0	-402	76	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-R-2	CLUSTER(5.0,0.0,null)	8	64	1000000	0	211489640	211	631	2198	2198	215	209	3306	3250	28202	36135	220000	200000	370000	320000	6294	6294	111111	6	0	0	0	921465	905382	499666	499454	1000000	1000000	0.3772990370056465	0.3648246599870649	0.37374424371139264	0.35716098422470643	0	4112	0	0	-45	3238	-2215	6998	0	0	0	0	-419	60	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-R-0	CLUSTER(5.0,0.0,null)	10	64	1000000	0	247062544	247	749	2622	2622	333	288	3727	3694	34207	43552	420000	350000	550000	540000	8363	8363	111111	6	0	0	0	891659	888336	500075	499248	1000000	1000000	0.5114790469353437	0.5180073620687738	0.5054325589730955	0.48830560389176225	-94	242	0	0	-17	6222	-3060	19214	0	0	0	0	-222	10662	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
STRZ-R-1	CLUSTER(5.0,0.0,null)	10	64	1000000	0	247062536	247	776	2643	2643	292	303	3917	3829	33712	37468	420000	430000	750000	610000	5909	5909	111111	6	0	0	0	1006832	901554	499927	499664	1000000	1000000	0.49709246733450774	0.5064401389756682	0.5007440096163852	0.4917943754693502	104	4912	0	0	0	0	-3028	18340	0	0	0	0	-470	74	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=100 UPD_DIST=1.0E-4
