Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	81	81971789	81	72	1059	1059	149	146	718	743	1710	1695	12200	10566	37100	35500	798	798	613912	44	1	0	0	1000435	1000149	499857	499609	1000000	1000000	4.94892318913369E-4	4.954407377314921E-4	0.0012324075374053574	0.0012288271608431175	-146	159	0	0	0	0	-1350	197	-249	2028	-859	6	-180	24	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	84	84846482	84	111	1013	1013	225	218	707	718	1991	2105	17433	18866	65500	65900	1079	1079	449116	47	0	0	0	1000073	999788	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	-155	187	0	0	0	0	-1758	266	-287	2134	-1432	10	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	91	90831072	90	153	1037	1037	352	341	690	692	1935	1955	41666	44000	98333	114333	1117	1117	348137	49	0	0	0	1000715	1001558	499679	500204	1000000	1000000	0.019478558970249294	0.019290693761570856	0.03110838444096227	0.03118893988217669	-162	152	0	0	0	0	-1762	227	-299	0	-293	2110	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	100	99288642	99	218	1128	1128	606	603	699	698	2064	2139	101333	95000	227666	231333	1350	1350	283582	50	0	0	0	1000080	1000328	499592	500742	1000000	1000000	0.04257312792881887	0.04225259800006063	0.06222102109910444	0.062305195349655236	-167	120	0	0	0	0	-1477	192	-304	2	-574	2	-190	15	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	6	64	1000000	111	115516376	115	254	1359	1359	967	969	721	721	2289	2346	220000	222000	491000	502000	1542	1542	241249	51	0	0	0	1000238	999814	500254	500049	1000000	1000000	0.07264554112393223	0.07223185607752756	0.10054276579208177	0.10057451980664374	-333	198	0	0	0	0	-1377	151	-334	2	-1315	0	-325	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	8	64	1000000	143	172114322	171	322	1900	1900	3038	3059	843	865	2469	2553	912000	908000	2350666	2354333	1732	1732	199294	51	0	560	9620	1001547	1001337	499665	499729	1000000	1000000	0.14729266936199978	0.1489704633073027	0.1899645577197104	0.19021384036254077	-532	1088	0	0	0	0	-1638	160	-1825	4	-5474	14	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	10	64	1000000	194	220113714	219	386	2076	2076	7360	7174	942	945	2733	2752	3825666	3625000	9221333	9143333	1858	1858	199107	52	0	353	40932	1001115	1001369	499841	499756	1000000	1000000	0.23397508830478228	0.2333900740839677	0.2862068370116524	0.2873308357579245	-551	1394	0	0	0	0	-1461	162	-7372	22	-19849	58	-184	10	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	15	64	1000000	380	415435141	415	573	2598	2598	33399	33540	985	988	2636	2810	63250000	64223333	102711666	100936666	1907	1907	138135	53	0	721	156468	1000384	1000464	499957	499412	1000000	1000000	0.4614184076159991	0.45884163878807654	0.5322479842168656	0.528741151427698	-1013	1644	0	0	0	0	-2012	168	-29176	68	-47655	114	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=200
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	2	64	1000000	62	62420538	62	129	961	961	141	137	613	618	1512	1448	7366	6166	43133	41500	682	682	616298	20	0	0	0	1000435	1000149	499857	499609	1000000	1000000	4.948923228939033E-4	4.954407390388495E-4	0.0012324075374086719	0.0012288271592204518	-188	189	0	0	0	0	-1445	208	0	0	-859	6	-291	28	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	59	65010152	64	149	799	799	200	192	677	721	1635	1637	8100	8666	50966	50166	897	897	444622	23	0	0	0	1000073	999788	499367	499934	1000000	1000000	0.0055231188684213665	0.0055477434978470535	0.010279976642439554	0.010294584177505249	-206	88	0	0	85	1017	-1788	240	-301	2	-1431	10	-293	28	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	4	64	1000000	62	62480730	62	190	864	864	311	303	649	576	1556	1585	22333	21000	165000	172333	947	947	363516	25	0	0	0	1000716	1001558	499679	500204	1000000	1000000	0.01947855896458052	0.01929069374808676	0.031108384441177483	0.031188939881604854	-218	55	0	0	179	1244	-2258	250	0	0	-290	0	-95	10	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	5	64	1000000	70	70423498	70	229	909	909	515	509	719	668	1635	1692	61666	80000	218000	236333	1079	1079	336000	26	0	0	0	1000080	1000328	499592	500742	1000000	1000000	0.04257312793991181	0.04225259799125367	0.06222102109161868	0.06230519535135214	-435	94	0	0	-175	84	-2538	816	-270	28	-574	4	-281	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000
