Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
CBF-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	500000	0	30026544	60	70	468	936	0	0	577	572	3216	3170	0	0	0	0	498	996	0	0	0	0	0	0	0	666666	666666	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	-294	10	-743	228	0	0	0	0	-270	52	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	0	64617256	64	115	1060	1060	0	0	582	591	3251	3375	0	0	0	0	1029	1029	0	0	0	0	0	0	0	333333	333333	1000000	1000000	0.0	0.0	0.0	0.0	-142	294	0	0	-294	11	-748	1789	0	0	0	0	-252	91	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	2500000	0	167742813	66	187	2526	1010	0	0	620	588	3600	4188	0	0	0	0	2597	1038	0	0	0	0	0	0	0	666666	666666	1000000	1000000	0.0	0.0	0.0	0.0	-291	444	0	0	0	0	-936	10955	0	0	0	0	-286	106	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	5000000	0	342192986	68	322	5168	1033	0	0	609	598	3549	3801	0	0	0	0	5238	1047	0	0	0	0	0	0	0	333333	333333	1000000	1000000	0.0	0.0	0.0	0.0	-324	4786	0	0	0	0	-1060	268	0	0	0	0	-1172	6323	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	10000000	0	699385605	69	617	10389	1038	0	0	609	633	3871	4163	0	0	0	0	10254	1025	0	0	0	0	0	0	0	0	333333	1000000	1000000	0.0	0.0	0.0	0.0	-481	11180	0	0	0	0	-1843	572	0	0	0	0	-1029	286	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	25000000	0	1720460032	68	1492	26982	1079	0	0	641	648	4156	4341	0	0	0	0	26868	1074	0	0	0	0	0	0	0	666666	333333	1000000	1000000	0.0	0.0	0.0	0.0	-1368	27936	0	0	0	0	-1239	389	0	0	0	0	-4524	1738	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	50000000	0	3451227272	69	2954	54613	1092	0	0	650	658	4268	4531	0	0	0	0	55014	1100	0	0	0	0	0	0	0	333333	666666	1000000	1000000	0.0	0.0	0.0	0.0	-4020	43292	0	0	0	0	-1250	446	0	0	0	0	-9278	3386	Please provide configuration information for  every test candidate class in the toString() method.
% Measurements
% ============
CBF-P-0	CLUSTER(3.5,0.0,null)	3	64	500000	0	29071616	58	67	471	942	0	0	618	571	3232	3193	0	0	0	0	498	996	0	0	0	0	0	0	0	1000000	0	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	-295	10	-736	232	0	0	0	0	-272	52	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-1	CLUSTER(3.5,0.0,null)	3	64	500000	0	30505008	61	72	464	928	0	0	547	555	3183	3150	0	0	0	0	497	994	0	0	0	0	0	0	0	1000000	1000000	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	-293	10	-747	226	0	0	0	0	-272	50	Please provide configuration information for  every test candidate class in the toString() method.
