Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
CBF-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	500000	0	26504477	52	51	458	916	0	0	513	459	2750	2834	0	0	0	0	484	968	0	0	0	0	0	0	0	666666	666666	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1064	213	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	57095560	57	76	881	881	0	0	476	468	2856	2991	0	0	0	0	996	996	0	0	0	0	0	0	0	666666	333333	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1010	313	0	0	0	0	-75	1700	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	2500000	0	149228496	59	121	2491	996	0	0	537	506	2836	3150	0	0	0	0	2631	1052	0	0	0	0	0	0	0	666666	333333	1000000	1000000	0.0	0.0	0.0	0.0	-296	473	0	0	85	879	-1045	2801	0	0	0	0	-245	5490	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	5000000	0	302978149	60	214	4992	998	0	0	488	510	2960	3070	0	0	0	0	5274	1054	0	0	0	0	0	0	0	666666	0	1000000	1000000	0.0	0.0	0.0	0.0	-123	5407	0	0	0	0	-808	423	0	0	0	0	-894	9994	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	10000000	0	608777832	60	369	10311	1031	0	0	531	469	3114	3052	0	0	0	0	10151	1015	0	0	0	0	0	0	0	666666	0	1000000	1000000	0.0	0.0	0.0	0.0	-434	10904	0	0	0	0	-891	190	0	0	0	0	-1745	818	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	25000000	0	1521409250	60	906	25974	1038	0	0	434	486	3475	3319	0	0	0	0	25286	1011	0	0	0	0	0	0	0	333333	0	1000000	1000000	0.0	0.0	0.0	0.0	-317	36162	0	0	0	0	-942	294	0	0	0	0	-3842	2063	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	50000000	0	3047504458	60	1747	53753	1075	0	0	606	468	3768	3611	0	0	0	0	54139	1082	0	0	0	0	0	0	0	666666	333333	1000000	1000000	0.0	0.0	0.0	0.0	-3499	52760	0	0	0	0	-943	346	0	0	0	0	-8660	4918	Please provide configuration information for  every test candidate class in the toString() method.
% Measurements
% ============
CBF-P-0	OSM(1.0,0.0,null)	2	64	500000	0	26509632	53	75	451	902	0	0	582	414	2733	2811	0	0	0	0	480	960	0	0	0	0	0	0	0	1000000	0	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1064	212	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-1	OSM(1.0,0.0,null)	2	64	500000	0	26494168	52	50	471	942	0	0	510	525	2755	2818	0	0	0	0	475	950	0	0	0	0	0	0	0	1000000	1000000	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1064	216	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-2	OSM(1.0,0.0,null)	2	64	500000	0	26509632	53	29	452	904	0	0	449	440	2763	2875	0	0	0	0	499	998	0	0	0	0	0	0	0	0	1000000	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1064	212	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	57095576	57	92	880	880	0	0	512	471	2856	3000	0	0	0	0	999	999	0	0	0	0	0	0	0	1000000	0	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1014	312	0	0	0	0	-73	1702	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	57095528	57	82	883	883	0	0	435	415	2847	2987	0	0	0	0	1009	1009	0	0	0	0	0	0	0	0	0	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1014	310	0	0	0	0	-74	1694	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-2	OSM(1.0,0.0,null)	2	64	1000000	0	57095576	57	55	882	882	0	0	482	519	2866	2988	0	0	0	0	982	982	0	0	0	0	0	0	0	1000000	1000000	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1003	318	0	0	0	0	-78	1704	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-0	OSM(1.0,0.0,null)	2	64	2500000	0	149228752	59	165	2452	980	0	0	569	519	2835	3162	0	0	0	0	2653	1061	0	0	0	0	0	0	0	1000000	1000000	1000000	1000000	0.0	0.0	0.0	0.0	-296	472	0	0	0	0	-1190	580	0	0	0	0	-240	5588	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-1	OSM(1.0,0.0,null)	2	64	2500000	0	149228760	59	97	2476	990	0	0	529	551	2853	3130	0	0	0	0	2616	1046	0	0	0	0	0	0	0	0	0	1000000	1000000	0.0	0.0	0.0	0.0	-297	476	0	0	257	2638	-1194	584	0	0	0	0	-253	5340	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-2	OSM(1.0,0.0,null)	2	64	2500000	0	149227976	59	103	2546	1018	0	0	515	448	2821	3160	0	0	0	0	2624	1049	0	0	0	0	0	0	0	1000000	0	1000000	1000000	0.0	0.0	0.0	0.0	-296	472	0	0	0	0	-752	7240	0	0	0	0	-241	5544	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-0	OSM(1.0,0.0,null)	2	64	5000000	0	302978144	60	252	4978	995	0	0	521	528	2948	3064	0	0	0	0	5262	1052	0	0	0	0	0	0	0	1000000	0	1000000	1000000	0.0	0.0	0.0	0.0	-121	5400	0	0	0	0	-808	422	0	0	0	0	-894	9974	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-1	OSM(1.0,0.0,null)	2	64	5000000	0	302978152	60	190	4997	999	0	0	424	516	2969	3076	0	0	0	0	5293	1058	0	0	0	0	0	0	0	0	0	1000000	1000000	0.0	0.0	0.0	0.0	-121	5446	0	0	0	0	-808	424	0	0	0	0	-896	10042	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-2	OSM(1.0,0.0,null)	2	64	5000000	0	302978152	60	201	5001	1000	0	0	519	486	2963	3072	0	0	0	0	5268	1053	0	0	0	0	0	0	0	1000000	0	1000000	1000000	0.0	0.0	0.0	0.0	-127	5376	0	0	0	0	-808	424	0	0	0	0	-894	9966	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-0	OSM(1.0,0.0,null)	2	64	10000000	0	608777416	60	467	10249	1024	0	0	526	506	3127	3069	0	0	0	0	10135	1013	0	0	0	0	0	0	0	1000000	0	1000000	1000000	0.0	0.0	0.0	0.0	-438	10854	0	0	0	0	-891	190	0	0	0	0	-1746	820	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-1	OSM(1.0,0.0,null)	2	64	10000000	0	608777416	60	323	10458	1045	0	0	530	514	3136	3060	0	0	0	0	10185	1018	0	0	0	0	0	0	0	0	0	1000000	1000000	0.0	0.0	0.0	0.0	-433	11066	0	0	0	0	-891	190	0	0	0	0	-1745	812	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-2	OSM(1.0,0.0,null)	2	64	10000000	0	608778664	60	317	10226	1022	0	0	537	387	3081	3027	0	0	0	0	10133	1013	0	0	0	0	0	0	0	1000000	0	1000000	1000000	0.0	0.0	0.0	0.0	-433	10792	0	0	0	0	-891	190	0	0	0	0	-1745	824	Please provide configuration information for  every test candidate class in the toString() method.
