Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
CBF-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	500000	0	27198680	54	69	424	848	0	0	488	490	2629	2734	0	0	0	0	389	778	0	0	0	0	0	0	0	666666	666666	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1066	209	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	57082218	57	76	759	759	0	0	495	458	2966	3099	0	0	0	0	855	855	0	0	0	0	0	0	0	666666	333333	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1500	507	0	0	0	0	-59	1692	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	2500000	0	151116122	60	112	2207	882	0	0	525	519	3000	3354	0	0	0	0	2133	853	0	0	0	0	0	0	0	666666	333333	1000000	1000000	0.0	0.0	0.0	0.0	-293	470	0	0	0	0	-1303	5068	0	0	0	0	-262	96	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	5000000	0	302856637	60	221	4371	874	0	0	527	503	3106	3240	0	0	0	0	4295	859	0	0	0	0	0	0	0	666666	0	1000000	1000000	0.0	0.0	0.0	0.0	-257	3966	0	0	0	0	-813	403	0	0	0	0	-898	5657	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	10000000	0	611106120	61	378	8791	879	0	0	471	382	3229	3207	0	0	0	0	7995	799	0	0	0	0	0	0	0	666666	0	1000000	1000000	0.0	0.0	0.0	0.0	-145	12324	0	0	0	0	-895	174	0	0	0	0	-1774	706	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	18351888	0	1115803386	60	669	16490	898	0	0	534	516	3238	3295	0	0	0	0	14529	791	0	0	0	0	0	0	0	666666	333333	1000000	1000000	0.0	0.0	0.0	0.0	-814	18335	0	0	0	0	0	0	0	0	0	0	-2965	1149	Please provide configuration information for  every test candidate class in the toString() method.
% Measurements
% ============
CBF-P-0	TIGER(1.0,0.0,null)	2	64	500000	0	26721176	53	81	436	872	0	0	533	492	2623	2723	0	0	0	0	388	776	0	0	0	0	0	0	0	1000000	0	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1066	210	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-1	TIGER(1.0,0.0,null)	2	64	500000	0	28153680	56	58	428	856	0	0	509	461	2641	2766	0	0	0	0	389	778	0	0	0	0	0	0	0	1000000	1000000	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1066	210	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-2	TIGER(1.0,0.0,null)	2	64	500000	0	26721184	53	69	410	820	0	0	423	519	2625	2713	0	0	0	0	391	782	0	0	0	0	0	0	0	0	1000000	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1067	208	0	0	0	0	0	0	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	57082192	57	104	725	725	0	0	498	446	2955	3102	0	0	0	0	851	851	0	0	0	0	0	0	0	1000000	0	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1500	506	0	0	0	0	-44	1806	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-1	TIGER(1.0,0.0,null)	2	64	1000000	0	57082272	57	60	773	773	0	0	461	431	2984	3129	0	0	0	0	852	852	0	0	0	0	0	0	0	0	0	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1500	510	0	0	0	0	-66	1608	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-2	TIGER(1.0,0.0,null)	2	64	1000000	0	57082192	57	64	781	781	0	0	527	499	2960	3068	0	0	0	0	862	862	0	0	0	0	0	0	0	1000000	1000000	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1501	506	0	0	0	0	-66	1664	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-0	TIGER(1.0,0.0,null)	2	64	2500000	0	151117872	60	125	2235	894	0	0	578	598	3021	3361	0	0	0	0	2146	858	0	0	0	0	0	0	0	1000000	1000000	1000000	1000000	0.0	0.0	0.0	0.0	-293	468	0	0	0	0	-1168	4928	0	0	0	0	-262	98	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-1	TIGER(1.0,0.0,null)	2	64	2500000	0	151117864	60	97	2188	875	0	0	491	523	2989	3347	0	0	0	0	2132	852	0	0	0	0	0	0	0	0	0	1000000	1000000	0.0	0.0	0.0	0.0	-293	472	0	0	0	0	-1360	5264	0	0	0	0	-262	96	Please provide configuration information for  every test candidate class in the toString() method.
CBF-P-2	TIGER(1.0,0.0,null)	2	64	2500000	0	151112632	60	116	2199	879	0	0	507	438	2990	3354	0	0	0	0	2122	848	0	0	0	0	0	0	0	1000000	0	1000000	1000000	0.0	0.0	0.0	0.0	-293	470	0	0	0	0	-1382	5012	0	0	0	0	-262	96	Please provide configuration information for  every test candidate class in the toString() method.
