Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	500000	0	41400501	82	73	448	896	1426	699	1070	1060	2991	3196	0	0	0	0	516	1032	0	0	0	0	0	49991	50008	499943	499848	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	-234	48	-1353	1908	0	0	0	0	-248	84	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	1000000	0	85934144	85	112	952	952	1059	633	1133	1143	3311	3399	0	0	0	0	1062	1062	0	0	0	0	0	100017	100005	499718	499393	1000000	1000000	0.0	0.0	0.0	0.0	-150	208	0	0	-234	50	-1126	560	0	0	0	0	-399	1874	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	2500000	0	217063408	86	180	2303	921	755	581	1226	1243	3532	3978	0	0	0	0	2528	1011	0	0	0	0	0	249992	249971	499855	500089	1000000	1000000	0.0	0.0	0.0	0.0	-464	472	0	0	0	0	-496	13118	0	0	0	0	-299	178	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	5000000	0	435507258	87	319	4645	929	645	563	1268	1301	3764	3859	0	0	0	0	4858	971	0	0	0	0	0	499901	499930	499327	500029	1000000	1000000	0.0	0.0	0.0	0.0	-500	4439	0	0	-651	36	-1127	600	0	0	0	0	-604	4525	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	10000000	0	871473826	87	597	9347	934	572	542	1337	1343	3803	4179	0	0	0	0	9875	987	0	0	0	0	0	1000157	1000106	499972	499673	1000000	1000000	0.0	0.0	0.0	0.0	-870	10748	0	0	0	0	-1799	620	0	0	0	0	-1713	1024	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	25000000	0	2171134008	86	1500	23446	937	546	533	1432	1446	4084	4489	0	0	0	0	25282	1011	0	0	0	0	0	2499784	2499991	500626	499974	1000000	1000000	0.0	0.0	0.0	0.0	-2511	23927	0	0	0	0	-1852	587	0	0	0	0	-4137	2719	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
CBZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	50000000	0	4335769008	86	2938	47725	954	534	524	1543	1516	4455	4271	0	0	0	0	51980	1039	0	0	0	0	0	5000202	4999954	500405	499906	1000000	1000000	0.0	0.0	0.0	0.0	-6132	38658	0	0	0	0	-996	460	0	0	0	0	-8231	5542	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
% Measurements
% ============
CBZ-P-0	CLUSTER(3.4,0.0,null)	3	64	500000	0	41410104	82	77	447	894	1540	819	1063	1053	3069	3247	0	0	0	0	521	1042	0	0	0	0	0	49972	50027	499956	500003	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	-234	48	-1357	1912	0	0	0	0	-248	84	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000
