Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	0	42456730	84	79	748	1496	1196	1175	1311	1358	2637	2792	0	0	0	0	774	1548	0	0	0	0	0	1001364	1001953	562612	499848	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1079	1612	0	0	0	0	-271	53	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	89887885	89	107	1567	1567	1183	1109	1327	1350	2654	2814	0	0	0	0	1589	1589	0	0	0	0	0	1000546	1001094	583057	541071	1000000	1000000	0.0	0.0	0.0	0.0	-151	151	0	0	0	0	-934	4359	0	0	0	0	-252	88	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	2500000	0	230597413	92	194	3991	1596	1188	1197	1566	1574	2878	3017	0	0	0	0	4336	1734	0	0	0	0	0	1000813	1000693	583416	583312	1000000	1000000	0.0	0.0	0.0	0.0	-272	1725	0	0	-140	1716	-842	4581	0	0	0	0	-360	2172	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	0	466013626	93	321	8726	1745	1247	1215	1650	1685	3059	3116	0	0	0	0	9635	1927	0	0	0	0	0	1000860	1001138	582688	583343	1000000	1000000	0.0	0.0	0.0	0.0	-195	10300	0	0	-612	85	-1246	500	0	0	0	0	-388	12450	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	0	935483261	93	643	18572	1857	1336	1283	1810	1808	3177	3309	0	0	0	0	19913	1991	0	0	0	0	0	1001457	1001451	583372	583022	1000000	1000000	0.0	0.0	0.0	0.0	-422	19440	0	0	0	0	-1819	533	0	0	0	0	-1677	1038	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	0	2337833768	93	1540	51290	2051	1414	1369	1987	2000	3353	3535	0	0	0	0	53835	2153	0	0	0	0	0	1001148	1001941	583711	583339	1000000	1000000	0.0	0.0	0.0	0.0	-1073	58034	0	0	0	0	-1781	687	0	0	0	0	-3953	3420	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	50000000	0	4678160490	93	2929	107249	2144	1453	1428	2132	2133	3649	3909	0	0	0	0	120965	2419	0	0	0	0	0	1001080	1001876	583677	583218	1000000	1000000	0.0	0.0	0.0	0.0	-5049	80732	0	0	0	0	-1767	818	0	0	0	0	-7811	8877	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
% Measurements
% ============
CBZ-P-0	CUBE(1.0,0.0,null)	3	64	500000	0	43249768	86	86	728	1456	1215	1195	1320	1358	2558	2704	0	0	0	0	743	1486	0	0	0	0	0	999808	999599	562705	500003	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1074	1612	0	0	0	0	-271	54	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-1	CUBE(1.0,0.0,null)	3	64	500000	0	41330896	82	86	736	1472	1190	1146	1320	1389	2724	2915	0	0	0	0	796	1592	0	0	0	0	0	1001392	1002990	561908	499112	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1085	1630	0	0	0	0	-271	54	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-2	CUBE(1.0,0.0,null)	3	64	500000	0	42789528	85	67	780	1560	1183	1185	1293	1329	2629	2759	0	0	0	0	783	1566	0	0	0	0	0	1002892	1003271	563225	500431	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1077	1594	0	0	0	0	-271	52	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	89729984	89	108	1543	1543	1121	1113	1296	1351	2619	2758	0	0	0	0	1543	1543	0	0	0	0	0	999455	999477	583280	540103	1000000	1000000	0.0	0.0	0.0	0.0	-151	152	0	0	0	0	-969	1714	0	0	0	0	-252	90	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	89717928	89	98	1530	1530	1130	1085	1315	1335	2722	2909	0	0	0	0	1675	1675	0	0	0	0	0	1001150	1002958	582935	541949	1000000	1000000	0.0	0.0	0.0	0.0	-151	150	0	0	0	0	-911	5698	0	0	0	0	-252	86	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-2	CUBE(1.0,0.0,null)	3	64	1000000	0	90215744	90	115	1630	1630	1299	1131	1371	1364	2623	2777	0	0	0	0	1549	1549	0	0	0	0	0	1001034	1000848	582958	541161	1000000	1000000	0.0	0.0	0.0	0.0	-151	152	0	0	0	0	-922	5666	0	0	0	0	-252	88	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-0	CUBE(1.0,0.0,null)	3	64	2500000	0	230441424	92	185	3988	1595	1167	1208	1541	1587	3010	3153	0	0	0	0	4564	1825	0	0	0	0	0	1000546	999755	583290	583455	1000000	1000000	0.0	0.0	0.0	0.0	-270	1728	0	0	87	4938	-774	7972	0	0	0	0	-324	186	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-1	CUBE(1.0,0.0,null)	3	64	2500000	0	230411424	92	216	4014	1605	1189	1159	1547	1562	2781	2949	0	0	0	0	4270	1708	0	0	0	0	0	1000394	1001718	583303	582835	1000000	1000000	0.0	0.0	0.0	0.0	-270	1750	0	0	-253	104	-884	458	0	0	0	0	-432	6144	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-2	CUBE(1.0,0.0,null)	3	64	2500000	0	230939392	92	183	3973	1589	1208	1225	1610	1575	2843	2949	0	0	0	0	4175	1670	0	0	0	0	0	1001499	1000607	583655	583647	1000000	1000000	0.0	0.0	0.0	0.0	-275	1698	0	0	-253	106	-869	5314	0	0	0	0	-324	188	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-0	CUBE(1.0,0.0,null)	3	64	5000000	0	466031432	93	313	8841	1768	1241	1218	1707	1690	3014	3054	0	0	0	0	9217	1843	0	0	0	0	0	1001517	1001484	582510	583060	1000000	1000000	0.0	0.0	0.0	0.0	-182	10546	0	0	-612	86	-1245	500	0	0	0	0	-377	12270	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-1	CUBE(1.0,0.0,null)	3	64	5000000	0	466011248	93	338	8593	1718	1273	1211	1619	1653	3092	3160	0	0	0	0	9950	1990	0	0	0	0	0	1000134	1001791	582769	583368	1000000	1000000	0.0	0.0	0.0	0.0	-194	10144	0	0	-612	84	-1246	498	0	0	0	0	-408	12494	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-2	CUBE(1.0,0.0,null)	3	64	5000000	0	465998200	93	313	8744	1748	1229	1218	1626	1714	3072	3135	0	0	0	0	9740	1948	0	0	0	0	0	1000930	1000140	582786	583603	1000000	1000000	0.0	0.0	0.0	0.0	-210	10212	0	0	-612	86	-1246	502	0	0	0	0	-378	12586	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-0	CUBE(1.0,0.0,null)	3	64	10000000	0	935492080	93	640	18390	1839	1298	1261	1775	1774	3154	3259	0	0	0	0	19495	1949	0	0	0	0	0	1000498	1001604	583751	583465	1000000	1000000	0.0	0.0	0.0	0.0	-397	19490	0	0	0	0	-1819	530	0	0	0	0	-1677	1044	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-1	CUBE(1.0,0.0,null)	3	64	10000000	0	935481536	93	644	19031	1903	1319	1282	1872	1850	3107	3207	0	0	0	0	19454	1945	0	0	0	0	0	1001840	1001787	583078	583076	1000000	1000000	0.0	0.0	0.0	0.0	-434	19854	0	0	0	0	-1819	534	0	0	0	0	-1677	1032	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-2	CUBE(1.0,0.0,null)	3	64	10000000	0	935476168	93	646	18295	1829	1393	1307	1784	1801	3272	3463	0	0	0	0	20791	2079	0	0	0	0	0	1002033	1000964	583289	582526	1000000	1000000	0.0	0.0	0.0	0.0	-435	18978	0	0	0	0	-1819	536	0	0	0	0	-1677	1038	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-0	CUBE(1.0,0.0,null)	3	64	25000000	0	2337789144	93	1554	50958	2038	1389	1357	1987	1967	3351	3528	0	0	0	0	53639	2145	0	0	0	0	0	1001334	1001250	584211	583419	1000000	1000000	0.0	0.0	0.0	0.0	-1002	58488	0	0	0	0	-1781	690	0	0	0	0	-3953	3410	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-1	CUBE(1.0,0.0,null)	3	64	25000000	0	2337789464	93	1476	51769	2070	1436	1389	1969	1980	3336	3536	0	0	0	0	54108	2164	0	0	0	0	0	1001643	1002307	582864	583525	1000000	1000000	0.0	0.0	0.0	0.0	-1100	58502	0	0	0	0	-1781	686	0	0	0	0	-3954	3418	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-2	CUBE(1.0,0.0,null)	3	64	25000000	0	2337922696	93	1591	51143	2045	1417	1363	2005	2054	3374	3541	0	0	0	0	53758	2150	0	0	0	0	0	1000468	1002266	584060	583074	1000000	1000000	0.0	0.0	0.0	0.0	-1117	57112	0	0	0	0	-1781	686	0	0	0	0	-3954	3432	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
