Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
CBZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	500000	0	41803224	83	75	363	726	483	455	948	947	2414	2461	0	0	0	0	427	854	0	0	0	0	0	1195116	1147612	499954	500247	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1354	1698	0	0	0	0	0	0	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=0.0011653404300000002
CBZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	90510725	90	84	795	795	522	468	1058	1103	2380	2546	0	0	0	0	912	912	0	0	0	0	0	988559	923582	499099	499645	1000000	1000000	0.0	0.0	0.0	0.0	-136	181	0	0	-174	94	-1003	3194	0	0	0	0	-240	116	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=0.0011750952100000004
CBZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	2500000	0	220446848	88	125	2006	802	525	479	1208	1173	2540	2858	0	0	0	0	2408	963	0	0	0	0	0	836571	828213	499786	499868	1000000	1000000	0.0	0.0	0.0	0.0	-416	472	0	0	193	1274	-1170	3681	0	0	0	0	-522	422	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=0.0012007696900000002
CBZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	5000000	0	444258957	88	212	4081	816	543	493	1249	1266	2639	2794	0	0	0	0	4814	962	0	0	0	0	0	862462	842383	499369	500142	1000000	1000000	0.0	0.0	0.0	0.0	-157	5180	0	0	0	0	-990	216	0	0	0	0	-1083	3711	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=0.0012007696900000002
CBZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	10000000	0	886216882	88	368	8376	837	574	502	1371	1400	2954	2832	0	0	0	0	9286	928	0	0	0	0	0	750038	754902	499973	499819	1000000	1000000	0.0	0.0	0.0	0.0	-125	11508	0	0	0	0	-932	238	0	0	0	0	-1609	1163	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=0.0012229014500000001
CBZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	25000000	0	2213567160	88	910	20724	828	499	465	1301	1317	3276	3138	0	0	0	0	23362	934	0	0	0	0	0	1183946	1196070	500531	500459	1000000	1000000	0.0	0.0	0.0	0.0	-591	27250	0	0	0	0	-943	290	0	0	0	0	-3885	3536	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=0.0013813960800000001
CBZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	50000000	0	4411122301	87	1742	43017	860	496	469	1382	1390	3481	3365	0	0	0	0	47577	951	0	0	0	0	0	1254951	1195152	500023	500131	1000000	1000000	0.0	0.0	0.0	0.0	-4539	37918	0	0	0	0	-634	216	0	0	0	0	-6941	7014	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=0.00148533806
% Measurements
% ============
CBZ-P-0	OSM(1.0,0.0,null)	2	64	500000	0	41803224	83	77	368	736	483	459	957	954	2415	2383	0	0	0	0	423	846	0	0	0	0	0	1199429	1062805	499853	500362	1000000	1000000	0.0	0.0	0.0	0.0	0	0	0	0	0	0	-1343	1752	0	0	0	0	0	0	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=0.0011653404300000002
