Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_LEVY-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	500000	0	45167728	90	121	230	460	150	138	1004	968	2374	3010	132433	132666	150200	147800	433	866	0	0	0	0	0	983569	991857	499943	499848	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	0	0	0	0	0	0	-375	1945	-3150	18	-3437	20	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	93804546	93	214	638	638	163	132	1406	1389	2893	3450	192233	188933	209466	208633	929	929	0	0	0	0	0	1007584	1003849	499718	499393	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-72	418	0	0	0	0	-245	4982	-4583	22	-4870	24	-176	161	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	2500000	0	237134949	94	454	1551	620	158	150	1852	1872	3446	3988	348700	344100	372233	375100	2122	848	0	0	0	0	0	1034244	967904	499855	500089	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-161	627	0	0	0	0	-213	4093	-7649	20	-8454	20	-112	1582	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	5000000	0	477146442	95	833	3390	678	135	136	2305	2321	3978	4151	444900	443100	479233	480666	4229	845	0	0	0	0	0	955881	1001915	499327	500029	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	222	5402	0	0	0	0	-422	136	-10434	28	-12039	42	-156	186	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
KD_LEVY-P-0	CLUSTER(5.0,0.0,null)	3	64	500000	0	45167552	90	115	232	464	161	165	1000	953	2340	2998	133500	132000	150700	146000	451	902	0	0	0	0	0	960942	960785	499956	500003	1000000	1000000	0.9594420283963786	0.9618523004373939	0.9589529167144114	0.9613549683784062	0	0	0	0	0	0	-208	2660	-3150	18	-3437	20	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-1	CLUSTER(5.0,0.0,null)	3	64	500000	0	45167656	90	121	204	408	146	123	978	941	2314	2883	124200	126700	142700	143200	405	810	0	0	0	0	0	967358	1002113	499399	499112	1000000	1000000	0.9586385218525606	0.9587112702166832	0.9636140490316356	0.9545889786001084	0	0	0	0	0	0	-520	388	-2864	14	-3150	12	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-2	CLUSTER(5.0,0.0,null)	3	64	500000	0	45167976	90	128	255	510	143	126	1035	1011	2469	3150	139600	139300	157200	154200	443	886	0	0	0	0	0	1022407	1012673	500475	500431	1000000	1000000	0.9579468114049455	0.960032135815059	0.9619720830787134	0.9660617651502925	0	0	0	0	0	0	-398	2788	-3150	16	-3437	18	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	93167864	93	210	624	624	165	132	1366	1390	2812	3346	200500	200600	220400	222900	932	932	0	0	0	0	0	1030695	1009386	499939	498463	1000000	1000000	0.9594420283963786	0.9618523004373939	0.9589529167144114	0.9613549683784062	-72	418	0	0	0	0	-8	4928	-4583	22	-4870	24	-174	160	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
