Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	0	45239669	90	69	432	864	298	267	999	992	1790	2336	12200	12100	36200	36200	943	1886	0	0	0	0	0	1001364	1001953	562612	499848	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	0	0	0	0	0	0	-283	1544	-302	2	-572	2	-55	52	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	93239618	93	100	1178	1178	196	168	1280	1266	1992	2484	10733	10700	28666	28600	1892	1892	0	0	0	0	0	1000546	1001094	583057	541071	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-72	360	0	0	0	0	-126	3848	-307	2	-573	4	86	2060	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	2500000	0	237201464	94	174	3201	1280	278	241	1706	1743	2440	2722	13400	16266	37200	37133	5097	2038	0	0	0	0	0	1000813	1000693	583416	583312	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-161	588	0	0	0	0	-494	358	-614	4978	-403	2	282	9576	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	0	477146704	95	302	7830	1566	328	294	1997	2038	2677	2866	18566	16066	44233	44766	10858	2171	0	0	0	0	0	1000860	1001138	582688	583343	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	241	10162	0	0	0	0	-174	87	-766	2	-809	2	106	4023	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	0	956817064	95	586	18258	1825	405	378	2379	2443	3153	3390	21600	21833	54433	54233	24327	2432	0	0	0	0	0	1001457	1001451	583372	583022	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	328	19758	0	0	0	0	-791	348	0	0	-1146	2	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	0	2392033277	95	1448	52821	2112	482	452	2849	2870	3702	3758	21800	23300	60666	60766	72322	2892	0	0	0	0	0	1001148	1001941	583711	583339	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-228	46434	0	0	0	0	0	0	-1029	10	-1179	8	-1712	530	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	50000000	0	4783940096	95	2841	123529	2470	624	598	3391	3423	4364	4456	24633	26000	70966	71733	171134	3422	0	0	0	0	0	1001080	1001876	583677	583218	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-364	91912	0	0	0	0	-289	143	-1012	18	-1195	16	-3506	806	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
% Measurements
% ============
KD_LEVY-P-0	CUBE(1.0,0.0,null)	3	64	500000	0	45240520	90	65	428	856	297	265	985	969	1699	2252	11700	11300	33400	34100	991	1982	0	0	0	0	0	999808	999599	562705	500003	1000000	1000000	0.9594420283963786	0.9618523004373939	0.9589529167144114	0.9613549683784062	0	0	0	0	0	0	-164	1952	-302	2	-572	2	-167	158	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-1	CUBE(1.0,0.0,null)	3	64	500000	0	45239000	90	80	430	860	307	276	1004	1017	1837	2392	13400	13500	40700	39700	919	1838	0	0	0	0	0	1001392	1002990	561908	499112	1000000	1000000	0.9586385218525606	0.9587112702166832	0.9636140490316356	0.9545889786001084	0	0	0	0	0	0	-301	366	-302	2	-859	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-2	CUBE(1.0,0.0,null)	3	64	500000	0	45239488	90	63	440	880	291	261	1008	990	1835	2366	11500	11500	34500	34800	919	1838	0	0	0	0	0	1002892	1003271	563225	500431	1000000	1000000	0.9579468114049455	0.960032135815059	0.9619720830787134	0.9660617651502925	0	0	0	0	0	0	-383	2316	-302	2	-573	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	93239584	93	105	1173	1173	198	160	1289	1274	1989	2520	10500	10600	28000	28000	1906	1906	0	0	0	0	0	999455	999477	583280	540103	1000000	1000000	0.9594420283963786	0.9618523004373939	0.9589529167144114	0.9613549683784062	-72	358	0	0	0	0	-198	4120	-307	2	-573	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	93239688	93	99	1181	1181	199	186	1287	1273	1945	2426	10900	10700	29100	29100	1842	1842	0	0	0	0	0	1001150	1002958	582935	541949	1000000	1000000	0.9586385218525606	0.9587112702166832	0.9636140490316356	0.9545889786001084	-72	362	0	0	0	0	30	5484	-307	2	-859	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
