Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_LEVY-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	500000	0	41186690	82	42	1196	2392	126	100	2650	2596	6073	6510	96433	96533	107433	108566	1290	2580	0	0	0	0	0	1026006	1020494	499954	500247	1000000	1000000	92.60274564104594	92.60992967729696	92.62225431019631	92.61093085882813	0	0	0	0	0	0	-230	5143	-3437	20	-3724	18	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	85186781	85	70	2735	2735	216	194	3570	3606	7789	8200	4625066	4589833	4609533	4780733	3000	3000	0	0	0	0	0	1772065	1831843	499099	499645	1000000	1000000	105.40458373369728	105.40870579254727	105.51250683522797	105.41123149788586	0	0	-275	2	-225	52	-229	12480	-156441	698	-153862	714	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	2500000	0	217202880	86	118	11785	4714	403	418	13698	13665	22018	22896	6796066	6738300	6703966	6650500	21930	8772	0	0	0	0	0	1714411	1645885	499786	499868	1000000	1000000	110.82365041932371	110.83347388533895	110.97061398170077	110.83770078798766	-146	560	0	0	76	21380	-257	11301	-175199	714	-174499	754	-38	7440	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	5000000	0	437201880	87	196	24561	4912	377	404	16664	16633	24290	24536	4044333	3950633	4034466	4002033	43148	8629	0	0	0	0	0	1038534	1019272	499369	500142	1000000	1000000	105.12102404216273	105.1496867122496	105.33200348350245	105.15886191337671	-146	15941	0	0	0	0	0	0	-107222	310	-107222	316	-277	8068	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	10000000	0	877168213	87	355	52313	5231	615	562	18841	18120	26787	27190	4740500	4558666	4696300	4586600	98400	9840	0	0	0	0	0	667813	706088	499973	499819	1000000	1000000	102.94986793450387	102.97916713882553	103.17761852895656	102.9892719589093	336	54781	0	0	0	0	0	0	-123971	390	-120620	368	-786	633	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	18351888	0	1608751376	87	624	118169	6439	0	0	24209	24143	33974	34296	3790533	3696033	3939300	3840566	223266	12165	0	0	0	0	0	0	0	499646	499959	1000000	1000000	103.12251724022087	103.15167195311938	103.35141713066287	103.16179841197588	158	94568	0	0	0	0	-247	233	-93816	468	-94932	528	-1178	661	Please provide configuration information for  every test candidate class in the toString() method. KNN_REPEAT=10000
% Measurements
% ============
KD_LEVY-P-0	TIGER(1.0,0.0,null)	2	64	500000	0	41186864	82	42	1159	2318	130	101	2632	2587	6075	6590	100200	94000	110200	113700	1307	2614	0	0	0	0	0	1012978	1008603	499853	500362	1000000	1000000	92.59049456293937	92.61632244429308	92.62502874872888	92.61409815436487	0	0	0	0	0	0	-316	5260	-3437	20	-3724	18	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-1	TIGER(1.0,0.0,null)	2	64	500000	0	41186624	82	36	1239	2478	97	103	2596	2588	6085	6348	95000	97400	107900	106800	1299	2598	0	0	0	0	0	1023828	1016708	500084	499932	1000000	1000000	92.60565820083931	92.62323131083114	92.6249811284137	92.6123559134065	0	0	0	0	0	0	-326	4836	-3724	22	-3723	20	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-2	TIGER(1.0,0.0,null)	2	64	500000	0	41186584	82	48	1190	2380	152	97	2722	2615	6061	6593	94100	98200	104200	105200	1266	2532	0	0	0	0	0	1041212	1036171	499926	500447	1000000	1000000	92.61208415935913	92.59023527676662	92.61675305344639	92.60633850871302	0	0	0	0	0	0	-48	5334	-3724	16	-4010	20	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	85187032	85	82	2729	2729	207	196	3658	3674	7559	8070	4663600	4630500	4542200	4596600	2967	2967	0	0	0	0	0	1783776	1729891	498602	499311	1000000	1000000	105.29585015179869	105.46405815168661	105.5084931335272	105.42273104400616	0	0	-274	2	-226	54	-255	12892	-156441	698	-153862	714	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-1	TIGER(1.0,0.0,null)	2	64	1000000	0	85186672	85	86	2820	2820	220	185	3513	3616	7468	7967	4702000	4632200	4757900	4573100	2949	2949	0	0	0	0	0	1742336	1854965	499115	499909	1000000	1000000	105.43877709361061	105.47572527863059	105.55078025990181	105.42691621031865	0	0	-272	4	-228	52	-265	12676	-154148	720	-152143	690	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-2	TIGER(1.0,0.0,null)	2	64	1000000	0	85186640	85	44	2658	2658	223	202	3539	3529	8342	8563	4509600	4506800	4528500	5172500	3085	3085	0	0	0	0	0	1790084	1910675	499581	499717	1000000	1000000	105.47912395568255	105.28633394732461	105.47824711225488	105.38404723933282	0	0	-279	0	-221	52	-168	11874	-153289	704	-154148	708	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-0	TIGER(1.0,0.0,null)	2	64	2500000	0	217202488	86	120	11818	4727	386	463	14242	14318	24511	25019	6781200	6861200	6772900	6723800	22652	9060	0	0	0	0	0	1856263	1540646	499203	500502	1000000	1000000	110.68046433388504	110.90607569378302	110.96810565033347	110.85388606010102	-146	550	0	0	48	21340	-205	10976	-175199	714	-174499	754	70	10958	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-1	TIGER(1.0,0.0,null)	2	64	2500000	0	217202512	86	108	11875	4750	395	406	14621	14576	21231	22306	7268800	6928200	6855600	6724100	21285	8514	0	0	0	0	0	1703381	1704955	500587	499364	1000000	1000000	110.86793467252062	110.92491458896902	111.01906460449297	110.85857252841576	-146	570	0	0	48	21596	-298	11370	-171002	688	-173100	698	-262	176	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-2	TIGER(1.0,0.0,null)	2	64	2500000	0	217203640	86	126	11662	4664	429	387	12232	12102	20313	21363	6338200	6425500	6483400	6503600	21853	8741	0	0	0	0	0	1583591	1692056	499570	499739	1000000	1000000	110.92255225156552	110.66943137326479	110.92467169027586	110.80064377544618	-146	560	0	0	133	21204	-269	11558	-173800	712	-174499	646	77	11188	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-0	TIGER(1.0,0.0,null)	2	64	5000000	0	437201488	87	220	24053	4810	403	389	15219	14995	22928	23276	3917900	3805200	3849800	3826000	43174	8634	0	0	0	0	0	1014424	1003288	499161	500102	1000000	1000000	104.93286568687877	105.24424431250836	105.33853957486153	105.18353023876435	-86	12858	0	0	0	0	0	0	-107222	310	-107222	316	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-1	TIGER(1.0,0.0,null)	2	64	5000000	0	437202536	87	181	24942	4988	345	444	17576	17588	26801	26765	4144300	4029400	4096700	4064900	43382	8676	0	0	0	0	0	1129005	889001	499237	500643	1000000	1000000	105.17693193994805	105.28061758269992	105.38814304225222	105.18730865212152	-128	21450	0	0	0	0	0	0	-105830	336	-106526	340	-453	12116	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-2	TIGER(1.0,0.0,null)	2	64	5000000	0	437201616	87	187	24690	4938	383	380	17197	17317	23141	23568	4070800	4017300	4156900	4115200	42888	8577	0	0	0	0	0	972173	1165527	499709	499681	1000000	1000000	105.25327449966139	104.92419824154051	105.26932783339362	105.10574684924427	-225	13516	0	0	0	0	0	0	-106526	328	-105829	360	-379	12088	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-0	TIGER(1.0,0.0,null)	2	64	10000000	0	877167832	87	346	52670	5267	654	554	17701	17529	26018	26434	4687800	4557100	4607000	4455700	97845	9784	0	0	0	0	0	591568	686518	500037	500066	1000000	1000000	102.74451915353633	103.08149667882697	103.18466686714666	103.01568743768999	349	55280	0	0	0	0	0	0	-123971	390	-120620	368	-810	600	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-1	TIGER(1.0,0.0,null)	2	64	10000000	0	877168808	87	336	50976	5097	558	565	19841	18037	26157	26751	4819900	4603500	4737400	4714900	97382	9738	0	0	0	0	0	780855	665056	499753	499235	1000000	1000000	103.01067626717985	103.12009784637247	103.23863304454774	103.02069497794407	344	53876	0	0	0	0	0	0	-121737	396	-123971	414	-745	644	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-2	TIGER(1.0,0.0,null)	2	64	10000000	0	877168000	87	383	53295	5329	635	568	18981	18795	28187	28385	4713800	4515400	4744500	4589200	99973	9997	0	0	0	0	0	631017	766692	500129	500157	1000000	1000000	103.09440838279548	102.73590689127718	103.10955567517524	102.93143346109382	315	55188	0	0	0	0	0	0	-120620	376	-121737	398	-804	656	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-0	TIGER(1.0,0.0,null)	2	64	18351888	0	1607551680	87	623	119626	6518	0	0	23966	23940	34056	34270	3549300	3550200	3723300	3622700	227632	12403	0	0	0	0	0	0	0	499784	499904	1000000	1000000	102.9157810045833	103.25467247350102	103.35835050029189	103.18830880313885	665	110102	0	0	0	0	0	0	-93816	468	-94932	528	-740	734	Please provide configuration information for  every test candidate class in the toString() method. KNN_REPEAT=10000
KD_LEVY-P-1	TIGER(1.0,0.0,null)	2	64	18351888	0	1609344440	87	612	118788	6472	0	0	25429	25356	34528	35053	3908300	3686300	3953100	4047100	217637	11859	0	0	0	0	0	0	0	499295	500023	1000000	1000000	103.18377245246154	103.29328256908272	103.41294275878053	103.19343777478272	-111	87062	0	0	0	0	-742	700	-90465	476	-98283	534	-1001	276	Please provide configuration information for  every test candidate class in the toString() method. KNN_REPEAT=10000
KD_LEVY-P-2	TIGER(1.0,0.0,null)	2	64	18351888	0	1609358008	87	637	116094	6325	0	0	23233	23134	33340	33567	3914000	3851600	4141500	3851900	224530	12234	0	0	0	0	0	0	0	499859	499952	1000000	1000000	103.26799826361776	102.9070608167744	103.28295813291618	103.10364865800605	-77	86542	0	0	0	0	0	0	-92699	508	-92699	498	-1792	974	Please provide configuration information for  every test candidate class in the toString() method. KNN_REPEAT=10000
