Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_SAVA-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	500000	0	49137013	98	68	550	1100	987769	1012169	583	604	3067	3286	46583333	45533333	44116666	45783333	1479	2958	0	0	0	0	0	49991	50009	499943	499848	1000000	1000000	0.40318196458872474	0.3637086820807771	0.4010899502020047	0.3758161562851881	0	0	-52338	225	0	0	-638	5091	0	0	0	0	-1982	148	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	0	101135514	101	107	1395	1395	1013180	1042211	757	742	3613	4091	97066666	95000000	92216666	94933333	3577	3577	0	0	0	0	0	100017	100005	499718	499393	1000000	1000000	0.40318189769530804	0.3637086066959983	0.40108976344013253	0.375815974287314	0	0	-104771	462	75	760	-921	3592	0	0	0	0	-3502	1546	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	2500000	0	257136608	102	171	3727	1490	663029	682967	657	678	3660	4731	172000000	172883333	163583333	169900000	10677	4270	0	0	0	0	0	249992	249971	499855	500089	1000000	1000000	0.4031817845823736	0.363708486900002	0.4010895886671591	0.37581573243970295	206	2433	-261928	903	0	0	-906	4818	16	10888	0	10980	-7105	4868	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	5000000	0	517158450	103	309	8299	1659	481113	490902	736	735	3783	4260	246200000	244983333	234283333	241616666	20813	4162	0	0	0	0	0	499901	499930	499327	500029	1000000	1000000	0.40318174703761067	0.36370843007514947	0.40108948062972266	0.3758156395555167	420	5959	-523890	1321	0	0	-733	310	0	0	0	0	-10968	2332	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	10000000	0	1036740573	103	599	17731	1773	681898	703623	893	859	4139	4571	648483333	639950000	616033333	633800000	45939	4593	0	0	0	0	0	1000157	1000106	499972	499673	1000000	1000000	0.4031817012840195	0.3637083859834489	0.40108940073921784	0.3758155552474541	1043	17179	-1047618	3422	0	0	-1309	407	0	0	0	0	-21096	2591	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	25000000	0	2591975480	103	1491	54455	2178	0	0	1042	1047	4813	4675	1718566666	1684950000	1614883333	1658050000	135505	5420	0	0	0	0	0	0	0	500626	499974	1000000	1000000	0.40318165576986437	0.3637083633661839	0.40108932294076527	0.37581547615789357	3216	65018	0	0	0	0	-923	464	0	0	0	0	-47031	9593	Please provide configuration information for  every test candidate class in the toString() method. KNN_REPEAT=20
KD_SAVA-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	50000000	0	5188832754	103	2926	121569	2431	0	0	1204	1203	5142	5230	3706050000	3634000000	3520300000	3616933333	316610	6332	0	0	0	0	0	0	0	500405	499906	1000000	1000000	0.4031816275294746	0.3637083399551308	0.4010892812943176	0.37581543345010754	4499	96154	0	0	0	0	0	0	0	0	0	0	-90565	26146	Please provide configuration information for  every test candidate class in the toString() method. KNN_REPEAT=20
% Measurements
% ============
KD_SAVA-P-0	CLUSTER(3.5,0.0,null)	3	64	500000	0	49135776	98	83	562	1124	999419	1013632	603	661	3377	3319	48850000	45150000	43700000	47300000	1418	2836	0	0	0	0	0	49972	50027	499956	500003	1000000	1000000	0.4014098020128894	0.31828851446292605	0.40220665243461673	0.3433273492128951	0	0	-51860	230	0	0	-511	11592	0	0	0	0	-1704	122	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=20
