Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	500000	0	49226928	98	94	118	236	182	182	693	689	2274	2633	94566	95100	107500	107566	272	544	0	0	0	0	0	983569	991857	499943	499848	1000000	1000000	0.05417179717419887	0.05425848106020026	0.05471452071664521	0.05465423875219355	0	0	-590	2	0	0	-822	1224	0	0	0	0	-176	396	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	101244533	101	211	253	253	226	194	813	828	2606	2925	170833	169200	193233	191466	637	637	0	0	0	0	0	1007584	1003849	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	0	0	-595	2	0	0	-448	2523	0	0	-300	2	-557	1442	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	2500000	0	259145261	103	455	882	352	249	229	1046	1013	2830	3544	384900	385766	428733	432533	1568	627	0	0	0	0	0	1034244	967904	499855	500089	1000000	1000000	0.0537657656686727	0.053856974203533275	0.054215366806264265	0.05450645766791116	63	365	-453	0	0	0	-646	1275	0	0	0	0	-935	5380	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	5000000	0	517173840	103	854	2175	435	261	242	1229	1231	3042	3614	580233	579700	643133	640033	3170	634	0	0	0	0	0	955881	1001915	499327	500029	1000000	1000000	0.053328582300064674	0.05338125532212215	0.054210837790068654	0.05409739947700574	626	3096	-823	2	0	0	-630	271	0	0	0	0	-2161	472	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
KD_SAVA-P-0	CLUSTER(5.0,0.0,null)	3	64	500000	0	49229848	98	83	100	200	186	187	719	702	2290	2606	94300	93400	109000	108900	289	578	0	0	0	0	0	960942	960785	499956	500003	1000000	1000000	0.05454905964315359	0.054216212303112556	0.05495843621572009	0.0549626440606036	0	0	-595	4	0	0	-53	1290	0	0	0	0	-229	102	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-1	CLUSTER(5.0,0.0,null)	3	64	500000	0	49225816	98	81	95	190	182	179	682	685	2302	2685	92600	93900	105500	109300	220	440	0	0	0	0	0	967358	1002113	499399	499112	1000000	1000000	0.05407352388817042	0.054217612623280266	0.05450820994939418	0.054618658186483114	0	0	-597	2	0	0	-1252	1960	0	0	-301	2	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-2	CLUSTER(5.0,0.0,null)	3	64	500000	0	49225120	98	120	159	318	180	182	680	682	2231	2610	96800	98000	108000	104500	308	616	0	0	0	0	0	1022407	1012673	500475	500431	1000000	1000000	0.05389280799127261	0.05434161825420795	0.05467691598482137	0.05438141400949392	0	0	-579	2	0	0	-1162	424	0	0	-301	2	-300	1086	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	101243760	101	211	263	263	226	194	821	830	2662	2946	175600	175800	204700	199200	594	594	0	0	0	0	0	1030695	1009386	499939	498463	1000000	1000000	0.05466107196741907	0.05458481027037169	0.05512982026722505	0.05508914148757553	0	0	-596	4	0	0	-839	1824	0	0	-300	2	-516	168	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	101244952	101	209	254	254	224	193	812	842	2628	3073	168200	167000	189500	189400	670	670	0	0	0	0	0	1006439	981767	499851	500135	1000000	1000000	0.054026462819069455	0.05406714187510115	0.05460974098412291	0.05475177087984605	0	0	-594	2	0	0	-308	4266	0	0	-304	0	-639	3986	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	101244888	101	215	242	242	228	196	807	813	2528	2758	168700	164800	185500	185800	649	649	0	0	0	0	0	985620	1020395	499364	499583	1000000	1000000	0.05390760507311137	0.05430784499666055	0.05460281573237733	0.05516648950394006	0	0	-596	2	0	0	-196	1480	0	0	0	0	-516	174	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
