Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_SAVA-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	500000	0	45172778	90	43	546	1092	187	145	1715	1732	7459	10635	47133	29133	40866	40700	2004	4008	0	0	0	0	0	1026006	1020494	499954	500247	1000000	1000000	0.08983950276274101	0.08979934200501456	0.08882436697082831	0.0909666289741865	0	0	-576	3	0	0	-633	3422	-286	2	-286	0	-1046	1040	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	93073173	92	60	1207	1207	276	258	2349	2368	8285	13374	1582400	1551966	1561533	1548233	6519	6519	0	0	0	0	0	1772065	1831843	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	-1528	7	0	0	-793	4679	-573	2	-286	2	-1506	174	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	2500000	0	237132186	94	117	5753	2301	475	476	5111	5129	12922	18334	2459466	2386166	2451300	2413533	24509	9803	0	0	0	0	0	1714411	1645885	499786	499868	1000000	1000000	2.4519207765538193	2.4496873377125237	2.455334244355147	2.4479866332147298	216	6438	-2258	7	-61	48	-772	10678	-1129	6	-1129	6	-3708	5267	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	5000000	0	477186322	95	197	12949	2589	511	497	6774	6789	14696	18795	2029533	1981166	2042833	2009500	42992	8598	0	0	0	0	0	1038534	1019272	499369	500142	1000000	1000000	2.984907420253883	2.9709051836372553	2.9779157285504634	2.970660170208155	454	10291	-1528	4	0	0	-1225	394	-2249	6	-2999	8	-7663	518	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	10000000	0	957370085	95	368	27327	2732	943	799	8047	8046	15248	18495	2510200	2455100	2525533	2496166	106597	10659	0	0	0	0	0	667813	706088	499973	499819	1000000	1000000	2.0975156206567247	2.090068777366556	2.097079970185653	2.0933305409285246	996	25614	-1142	3	0	0	-617	172	-1123	4	-1117	4	-16569	842	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	18351888	0	1756144277	95	613	62219	3390	0	0	10593	10535	18325	20564	2488533	2426066	2560000	2511633	234888	12799	0	0	0	0	0	0	0	499646	499959	1000000	1000000	1.3244650058711593	1.3238174222530419	1.3333395530767636	1.3415006446703384	2101	69758	0	0	0	0	-612	243	-1046	4	-1173	6	-29954	1386	Please provide configuration information for  every test candidate class in the toString() method. KNN_REPEAT=10000
% Measurements
% ============
KD_SAVA-P-0	TIGER(1.0,0.0,null)	2	64	500000	0	45166640	90	67	497	994	245	150	1660	1667	7392	10415	85200	28900	43500	41500	1853	3706	0	0	0	0	0	1012978	1008603	499853	500362	1000000	1000000	0.09236635877525252	0.08750381446969889	0.08759927997279185	0.09114171918261572	0	0	-579	2	0	0	-457	202	-286	2	-286	0	-921	2798	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_SAVA-P-1	TIGER(1.0,0.0,null)	2	64	500000	0	45175760	90	35	520	1040	158	146	1761	1756	7488	10817	28000	28600	39400	39700	2064	4128	0	0	0	0	0	1023828	1016708	500084	499932	1000000	1000000	0.0886196352416692	0.08820879740446443	0.08952403672452477	0.09010776617746004	0	0	-574	4	0	0	-845	5118	0	0	-289	2	-1110	162	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
