Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	500000	40	38303154	75	72	330	660	299	239	473	471	2031	1986	7166666	6083333	8283333	7200000	233	466	355073	35	37402	0	0	49991	50009	499943	499848	1000000	1000000	0.40318196458872474	0.3637086820807771	0.4010899502020047	0.3758161562851881	-208	106	0	0	0	0	-1477	133	0	0	-302	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	73	73413328	73	102	579	579	219	179	538	538	2263	2348	12016666	10266666	15200000	12766666	459	459	629029	35	96843	0	0	100017	100005	499718	499393	1000000	1000000	0.40318189769530804	0.3637086066959983	0.40108976344013253	0.375815974287314	-428	168	0	0	0	0	-1647	518	0	0	0	0	4	1056	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	2500000	170	174759400	69	182	1419	567	142	131	620	655	2569	2675	21533333	19700000	30516666	26400000	1096	438	1409817	34	275552	0	0	249992	249971	499855	500089	1000000	1000000	0.4031817845823736	0.363708486900002	0.4010895886671591	0.37581573243970295	-994	949	0	0	0	0	-1469	268	-82	2434	-344	2	-115	16	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	5000000	328	340871309	68	292	2758	551	121	121	680	688	2850	2938	34750000	27850000	51166666	44633333	2208	441	2679181	34	581126	0	0	499901	499930	499327	500029	1000000	1000000	0.40318174703761067	0.36370843007514947	0.40108948062972266	0.3758156395555167	-1871	2774	0	0	0	0	-1803	249	0	0	-644	2	-423	66	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	10000000	638	666280042	66	612	5611	561	103	101	755	763	3023	3221	50433333	41000000	75866666	67716666	4247	424	5139209	34	1232309	0	0	1000157	1000106	499972	499673	1000000	1000000	0.4031817012840195	0.3637083859834489	0.40108940073921784	0.3758155552474541	-4155	4469	0	0	0	0	-1047	160	-1101	2	-1124	4	-361	60	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	25000000	1538	1604708250	64	1524	14302	572	93	93	894	879	3498	3780	81566666	65883333	126400000	115150000	10827	433	12231431	33	3250178	0	0	2499784	2499991	500626	499974	1000000	1000000	0.40318165576986437	0.3637083633661839	0.40108932294076527	0.37581547615789357	-10338	10058	0	0	0	0	-2116	412	0	0	-1129	6	-1068	302	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	50000000	2993	3126726114	62	2938	28518	570	90	88	989	994	3880	4132	115233333	94233333	179366666	164850000	21389	427	23911966	33	6447485	0	0	5000202	4999954	500405	499906	1000000	1000000	0.4031816275294746	0.3637083399551308	0.4010892812943176	0.37581543345010754	-21808	16272	0	0	0	0	-1399	421	-1134	12	-1122	12	-1448	510	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
PHC-P-0	CLUSTER(3.5,0.0,null)	3	64	500000	40	37973576	75	82	335	670	340	239	479	473	2035	1977	6600000	5050000	6400000	7950000	234	468	355223	35	37327	0	0	49972	50027	499956	500003	1000000	1000000	0.4014098020128894	0.31828851446292605	0.40220665243461673	0.3433273492128951	-208	106	0	0	0	0	-1404	118	0	0	-302	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
