Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	32	30467824	60	48	300	600	187	186	371	373	568	561	10400	10166	35200	37800	231	462	224623	47	63481	0	0	1001364	1001953	562612	499848	1000000	1000000	0.007024885358808984	0.006987770728182328	0.013000662308944538	0.013004250876331044	0	0	0	0	0	0	-855	40	0	0	-304	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	65	64841365	64	98	606	606	203	202	454	446	640	638	11066	11033	43833	42900	521	521	449897	47	126552	0	0	1000546	1001094	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	0	0	0	0	-1132	55	0	0	0	0	-99	4	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	2500000	163	168390818	67	181	1811	724	188	192	528	564	735	736	11433	11733	37033	36866	1540	616	1122344	47	319700	0	0	1000813	1000693	583416	583312	1000000	1000000	0.004081945930760205	0.004094766719653058	0.007585988483320264	0.007584277020465722	-275	386	0	0	0	0	-1311	71	0	0	-95	2470	-336	28	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	326	338810312	67	307	4142	828	207	206	626	614	821	826	13033	13833	41366	41600	3438	687	2250353	46	631097	0	0	1000860	1001138	582688	583343	1000000	1000000	0.0032414602082722773	0.0032408907661406745	0.0060152401419052495	0.00601327276953596	-68	4440	0	0	0	0	0	0	0	0	-600	2	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	652	680850058	68	591	9323	932	235	238	720	723	1011	992	14066	14366	51200	48966	7812	781	4498068	46	1271417	0	0	1001457	1001451	583372	583022	1000000	1000000	0.0025675833364300392	0.0025670076451426794	0.004773516329049533	0.004772869291378442	-342	10354	0	0	0	0	-2198	92	0	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	1624	1698949530	67	1462	26445	1057	266	263	890	887	1152	1186	16066	16100	44700	44500	23334	933	11228630	46	3185364	0	0	1001148	1001941	583711	583339	1000000	1000000	0.0018952143756358654	0.0018892834743862868	0.0035133384381170495	0.003517452924045769	-344	32603	0	0	0	0	-1182	98	0	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	50000000	3240	3386750240	67	2827	58595	1171	305	302	994	1009	1354	1379	18166	18100	57066	56866	52410	1048	22504730	45	6309486	0	0	1001080	1001876	583677	583218	1000000	1000000	0.0015012118629315011	0.0014980095364495686	0.0027874002993392654	0.0027856284917406444	-3193	46276	0	0	0	0	-2190	198	0	0	0	0	-1128	398	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
PHC-P-0	CUBE(1.0,0.0,null)	3	64	500000	32	30302640	60	48	303	606	184	185	371	367	575	561	10300	10200	34600	34900	233	466	224784	47	63395	0	0	999808	999599	562705	500003	1000000	1000000	0.007016042940261126	0.006977453167898288	0.013002771666482981	0.013023669182450811	0	0	0	0	0	0	-856	40	0	0	-304	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
