Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	500000	29	27650893	55	71	269	538	233	199	353	349	1440	1390	20116666	17733333	29583333	29816666	213	426	305182	18	49415	0	0	49991	50009	499943	499848	1000000	1000000	0.4031819645895729	0.36370868207939827	0.4010899502018829	0.37581615628557685	-223	79	0	0	0	0	-1381	126	-308	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	58	57297080	57	99	535	535	136	126	434	439	1673	1689	30850000	26650000	47900000	48683333	424	424	590335	18	105133	0	0	100017	100005	499718	499393	1000000	1000000	0.40318189769471263	0.363708606694283	0.40108976343973396	0.3758159742876579	-447	146	0	0	0	0	-1466	180	-293	2	-287	2	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	2500000	136	139187362	55	178	1282	512	107	105	516	531	1962	1995	50016666	42250000	81150000	85616666	1080	432	1323840	17	343208	0	0	249992	249971	499855	500089	1000000	1000000	0.4031817845825428	0.36370848689825347	0.40108958866682115	0.37581573244014876	-1144	332	0	0	0	0	-1280	255	-404	2824	-871	4	-286	48	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	5000000	254	263085605	52	311	2761	552	93	91	572	588	2136	2215	66166666	56100000	110033333	118133333	2130	426	2460656	17	683749	0	0	499901	499930	499327	500029	1000000	1000000	0.4031817470374223	0.36370843007403125	0.40108948062932265	0.3758156395559456	-2029	2634	0	0	0	0	-1855	298	-1082	4	-1071	2	-723	110	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	10000000	492	512896738	51	609	5209	520	84	82	645	637	2345	2400	95133333	78033333	159433333	169900000	4225	422	4865828	16	1178872	0	0	1000157	1000106	499972	499673	1000000	1000000	0.40318170128383235	0.3637083859817009	0.4010894007387666	0.37581555524791255	-3813	3998	0	0	0	0	-1314	140	-1037	4	-2058	6	-1337	217	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	25000000	1200	1250204208	50	1510	13438	537	80	80	782	773	2641	2846	137033333	115516666	254600000	269783333	10512	420	11674076	16	3418522	0	0	2499785	2499991	500626	499974	1000000	1000000	0.4031816557704717	0.36370836336528845	0.40108932294064514	0.37581547615826727	-10544	9246	0	0	0	0	-703	182	-1170	4	-3351	18	-3330	650	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	50000000	2367	2471420802	49	2961	27746	554	76	75	881	882	3133	3118	175300000	147050000	340500000	367800000	21836	436	23531805	16	6009535	0	0	5000203	4999954	500405	499906	1000000	1000000	0.40318162752984904	0.36370833995393115	0.401089281294041	0.3758154334505445	-20920	16351	0	0	0	0	-706	220	-2280	20	-4467	40	-6670	1549	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
PHC_IPP-P-0	CLUSTER(3.5,0.0,null)	3	64	500000	29	27666096	55	65	262	524	240	219	361	352	1413	1378	18000000	17550000	25900000	30650000	216	432	305437	18	49290	0	0	49972	50027	499956	500003	1000000	1000000	0.4014098020118064	0.31828851446275624	0.40220665243433373	0.34332734921416447	-223	78	0	0	0	0	-1679	150	-308	0	0	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-1	CLUSTER(3.5,0.0,null)	3	64	500000	29	27646040	55	69	268	536	280	200	347	349	1450	1395	20600000	20750000	27350000	28450000	212	424	305077	18	49511	0	0	49969	49989	499399	499112	1000000	1000000	0.4176589072628064	0.3837604293893867	0.40636047457582636	0.419178211251764	-223	80	0	0	0	0	-1072	110	-311	2	-290	2	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-2	CLUSTER(3.5,0.0,null)	3	64	500000	29	27640544	55	80	279	558	179	179	351	348	1458	1399	21750000	14900000	35500000	30350000	211	422	305034	18	49444	0	0	50032	50011	500475	500431	1000000	1000000	0.39047718449410584	0.38907710238605203	0.3947027235954887	0.3649429083908019	-223	80	0	0	0	0	-1392	120	-311	2	-288	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-0	CLUSTER(3.5,0.0,null)	3	64	1000000	58	57307392	57	98	508	508	139	120	426	423	1674	1662	26650000	25900000	41550000	49900000	418	418	590522	18	104959	0	0	100048	99986	499939	498463	1000000	1000000	0.4014097366541211	0.318288392598263	0.40220644780986897	0.343327151226924	-448	146	0	0	0	0	-1380	150	-293	2	-287	2	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-1	CLUSTER(3.5,0.0,null)	3	64	1000000	58	57298392	57	101	576	576	140	130	442	457	1665	1701	31700000	31450000	44600000	44500000	424	424	590340	18	105166	0	0	99994	99972	499851	500135	1000000	1000000	0.4176588200839461	0.3837603513622012	0.4063603056247972	0.4191780537548685	-446	146	0	0	0	0	-1634	212	-290	0	-574	4	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-2	CLUSTER(3.5,0.0,null)	3	64	1000000	58	57285456	57	100	521	521	129	129	436	437	1682	1706	34200000	22600000	57550000	51650000	431	431	590144	18	105274	0	0	100010	100059	499364	499583	1000000	1000000	0.39047713634607073	0.38907707612238485	0.3947025368845358	0.3649427178811814	-448	146	0	0	0	0	-1383	180	-290	0	-574	0	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-0	CLUSTER(3.5,0.0,null)	3	64	2500000	136	139149240	55	182	1244	497	103	104	511	529	1945	1991	41700000	42650000	72700000	87600000	1084	433	1323303	17	343382	0	0	250026	249947	499863	500365	1000000	1000000	0.40140965626907343	0.31828830824849874	0.4022063317705532	0.34332690144219125	-1145	328	0	0	0	0	-1375	266	-404	2824	-871	4	-287	48	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-P-1	CLUSTER(3.5,0.0,null)	3	64	2500000	136	139173944	55	176	1226	490	112	103	520	533	1959	1992	52200000	48100000	75000000	74600000	1079	431	1323847	17	342904	0	0	249999	250102	499762	499561	1000000	1000000	0.41765868887218616	0.3837602262568004	0.40636009138176954	0.4191778161209199	-1145	338	0	0	0	0	-1343	276	-585	4	-581	4	-286	52	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
