Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC_IPP-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	500000	36	36285920	72	28	211	422	93	94	483	462	1177	1227	63400	62433	96400	97666	204	408	419789	25	72522	0	0	1026006	1020494	499954	500247	1000000	1000000	0.08983950276262485	0.08979934200489204	0.08882436697068063	0.09096662897404555	0	0	0	0	0	0	-1304	102	-300	0	-286	2	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	74	76060445	75	38	463	463	89	92	460	462	1466	1590	191666	191666	313000	313100	410	410	845654	25	139433	0	0	1772065	1831843	499099	499645	1000000	1000000	2.134597205644052	2.130072151366788	2.119147648255874	2.1021535905361004	-190	107	0	0	0	0	-1290	1528	-1146	6	-1432	10	-4	705	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	2500000	185	191639277	76	97	1316	526	92	93	513	512	1608	1654	415233	412933	663100	657466	1001	400	2120544	25	342308	0	0	1714411	1645885	499786	499868	1000000	1000000	2.451920776553958	2.4496873377126525	2.4553342443554125	2.4479866332149895	-749	445	0	0	0	0	-1371	301	-2328	12	-3325	18	-214	40	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	5000000	370	386017058	77	194	2558	511	95	94	566	565	1723	1824	779133	790933	1247333	1262700	2003	400	4239474	25	682652	0	0	1038534	1019272	499369	500142	1000000	1000000	2.9849074202537893	2.9709051836372002	2.977915728550519	2.9706601702082143	-995	2391	0	0	0	0	-1226	232	-4516	14	-5160	18	-629	135	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	10000000	745	779083368	77	344	4989	498	96	96	709	704	1883	2035	199233	187400	316033	313133	4026	402	8541677	25	1305167	0	0	667813	706088	499973	499819	1000000	1000000	2.097515620656629	2.0900687773664886	2.0970799701854457	2.093330540928307	-1457	5816	0	0	0	0	-1745	361	-1143	2	-1118	4	-1060	260	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	18351888	1364	1421481133	77	600	9379	511	101	101	839	843	2011	2050	120466	122500	240133	240933	7143	389	15613210	25	2452245	0	0	566026	604229	499646	499959	1000000	1000000	1.324465005870923	1.3238174222528105	1.3333395530765306	1.3415006446700917	-2530	10252	0	0	0	0	-1051	304	-1021	6	-1134	6	-1768	553	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
% Measurements
% ============
PHC_IPP-P-0	TIGER(1.0,0.0,null)	2	64	500000	36	36334048	72	38	220	440	92	94	480	470	1158	1222	65500	59500	97500	98500	203	406	419789	25	72522	0	0	1012978	1008603	499853	500362	1000000	1000000	0.09236635877513068	0.08750381446958326	0.0875992799726263	0.09114171918247588	0	0	0	0	0	0	-1116	84	-300	0	-286	2	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-P-1	TIGER(1.0,0.0,null)	2	64	500000	36	36367728	72	24	206	412	92	94	468	462	1205	1228	61900	61100	97800	98000	205	410	419789	25	72522	0	0	1023828	1016708	500084	499932	1000000	1000000	0.08861963524157107	0.08820879740435804	0.08952403672438106	0.09010776617731919	0	0	0	0	0	0	-1121	92	-299	2	-573	4	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
