Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	500000	0	61484952	122	59	184	368	713	179	518	510	1982	1960	23100000	20233333	26583333	24000000	149	298	252983	20	0	0	0	49991	50009	499943	499848	998865	996461	0.4212682716680623	0.3567623763020377	0.41077979885546956	0.400713560528992	0	0	0	0	0	0	-642	228	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000003262679943, 0.4000000000157521, 0.4000000000219295]/0.9999084829183004 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	1000000	0	129962898	129	104	532	532	339	139	644	644	2324	2457	53633333	46966666	64400000	58783333	439	439	549712	20	0	0	0	100017	100005	499718	499393	999440	998142	0.4212681740523802	0.3567623045105249	0.41077959715601803	0.40071339207976714	-91	425	0	0	0	0	-279	4272	0	0	0	0	-144	114	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000003637270491, 0.4000000000157521, 0.4000000000219295]/0.9999085578364101 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	2500000	0	309627549	123	174	1172	468	167	99	764	771	2673	2873	89550000	76500000	117533333	104316666	939	375	1222715	21	0	0	0	249992	249971	499855	500089	999765	999232	0.421268077162191	0.3567621591199066	0.410779396868596	0.4007131742480718	-226	908	0	0	0	0	-439	2966	0	0	-463	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000002553229143, 0.4000000000043729, 0.4000000000043624]/0.9999092961924484 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	5000000	0	545162800	109	321	2060	412	98	71	841	848	2828	2831	136166666	116900000	176400000	160816666	2034	406	1787885	21	0	0	0	499901	499930	499327	500029	999893	999634	0.4212680399245528	0.356762123324434	0.41077928915954215	0.40071306988115346	-67	2270	0	0	0	0	-556	44	0	0	0	0	-612	406	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000001857728927, 0.4000000000024424, 0.4000000000043624]/0.9999094710166923 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	10000000	0	1017498509	101	603	3815	381	71	56	927	933	3099	3140	235583333	205350000	301533333	272950000	3748	374	2917538	21	0	0	0	1000157	1000106	499972	499673	999944	999820	0.42126799479653537	0.35676207254437386	0.41077920123024286	0.40071299196211996	554	6258	0	0	0	0	-684	75	0	0	0	0	-242	185	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999993524542674, 0.3999999999969547, 0.40000000000161146]/0.9999098528144927 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	25000000	0	2921181578	116	1480	10748	429	64	58	1125	1128	3556	3866	689416666	601266666	908166666	829366666	9670	386	10636476	22	0	0	0	2499784	2499991	500626	499974	999979	999925	0.4212679462024151	0.3567620453484877	0.41077912244840237	0.40071291547264654	1371	15521	0	0	0	0	-541	460	0	0	-1029	10	-236	297	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000000024347375, 0.3999999999988507, 0.4000000000014328]/0.9999099871931142 WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	50000000	0	5272394682	105	2948	20268	405	50	46	1177	1184	3826	3852	1150316666	1004750000	1518300000	1376616666	20177	403	16294189	22	0	0	0	5000202	4999954	500405	499906	999987	999962	0.4212679264233592	0.35676202464981177	0.4107790750566355	0.40071287287075985	4331	35749	0	0	0	0	-337	134	0	0	0	0	-682	1115	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000000025722862, 0.40000000000036995, 0.4000000000002151]/0.9999099874682115 WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
QKDZ-P-0	CLUSTER(3.4,0.0,null)	3	64	500000	0	61445104	122	72	178	356	460	159	518	513	2064	1910	21950000	19100000	26150000	22450000	142	284	252739	20	0	0	0	49972	50027	499956	500003	998828	996356	0.3876973674536579	0.3360198273488738	0.4110255901149135	0.38133988744893144	0	0	0	0	0	0	-950	362	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000001661009528, 0.40000000001335395, 0.39999999996723823]/0.9999089022356079 WINDOW_RESULTS=1000 KNN_REPEAT=20
