Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	0	59367474	118	60	240	480	229	213	464	460	684	711	5400	5366	15300	15033	315	630	241819	7	0	0	0	1001364	1001953	562612	499848	1000000	1000000	0.007024885358808984	0.006987770728182328	0.013000662308944538	0.013004250876331044	0	0	0	0	0	0	-500	133	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	99801578	99	106	435	435	222	203	549	542	755	728	5500	5566	15266	15300	690	690	297105	8	0	0	0	1000546	1001094	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	0	0	0	0	-222	116	0	0	-285	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	2500000	0	276481040	110	179	1814	725	193	178	766	827	990	1076	6500	6566	16333	16266	2325	930	911907	8	0	0	0	1000813	1000693	583416	583312	1000000	1000000	0.004081945930760205	0.004094766719653058	0.007585988483320264	0.007584277020465722	-60	872	0	0	0	0	-339	3387	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000013746168449, 0.5000004372892315, 0.5000004362416173]/0.9999990504073036 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	0	587806301	117	304	4641	928	238	220	890	888	1115	1141	7533	7633	18933	18733	5395	1079	2177658	9	0	0	0	1000860	1001138	582688	583343	1000000	1000000	0.0032414602082722773	0.0032408907661406745	0.0060152401419052495	0.00601327276953596	499	5505	0	0	0	0	0	0	0	0	0	0	-809	204	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000006886014348, 0.500000244234762, 0.5000004362416173]/0.9999990504073036 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	0	967825797	96	585	10119	1011	249	228	1042	1044	1280	1288	7966	8200	20300	20166	12150	1215	2510132	9	0	0	0	1001457	1001451	583372	583022	1000000	1000000	0.0025675833364300392	0.0025670076451426794	0.004773516329049533	0.004772869291378442	1263	16382	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999996324700774, 0.4999996954659857, 0.500000161143376]/0.9999999065813062 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	0	3009887464	120	1467	32216	1288	327	311	1297	1291	1568	1560	10100	10300	25366	25100	35506	1420	11428071	10	0	0	0	1001148	1001941	583711	583339	1000000	1000000	0.0018952143756358654	0.0018892834743862868	0.0035133384381170495	0.003517452924045769	4326	58068	0	0	0	0	0	0	0	0	0	0	-899	596	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999996324700774, 0.49999988506860704, 0.5000001432809674]/0.9999999065813062 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	50000000	0	5494810525	109	2906	70644	1412	373	357	1538	1536	1838	1840	11466	11500	27933	27766	85124	1702	18336228	10	0	0	0	1001080	1001876	583677	583218	1000000	1000000	0.0015012118629315011	0.0014980095364495686	0.0027874002993392654	0.0027856284917406444	6072	104316	0	0	0	0	0	0	0	0	0	0	-896	934	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999995952917076, 0.5000000369927924, 0.5000000215013763]/0.9999999140169802 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
QKDZ-P-0	CUBE(1.0,0.0,null)	3	64	500000	0	59339632	118	41	247	494	228	213	461	459	696	717	5400	5400	15300	15200	320	640	241619	8	0	0	0	999808	999599	562705	500003	1000000	1000000	0.007016042940261126	0.006977453167898288	0.013002771666482981	0.013023669182450811	0	0	0	0	0	0	-500	136	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000008839398181, 0.5000013353908426, 0.49999672382592597]/0.9999972296904882 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-1	CUBE(1.0,0.0,null)	3	64	500000	0	59417400	118	73	233	466	229	214	463	468	678	711	5600	5300	15200	15000	312	624	242178	8	0	0	0	1001392	1002990	561908	499112	1000000	1000000	0.007031593701494971	0.006969439131584165	0.012995757638485015	0.013011840459509264	0	0	0	0	0	0	-500	134	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000037604614878, 0.5000013275339956, 0.5000027761761714]/0.9999971968065832 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-2	CUBE(1.0,0.0,null)	3	64	500000	0	59345392	118	68	240	480	230	213	470	455	680	705	5200	5400	15400	14900	314	628	241662	7	0	0	0	1002892	1003271	563225	500431	1000000	1000000	0.007027019434670855	0.007016419885064532	0.013003457621865621	0.012977242987033058	0	0	0	0	0	0	-500	130	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	99798480	99	107	429	429	225	205	554	547	755	725	5500	5500	15100	15100	689	689	297072	8	0	0	0	999455	999477	583280	540103	1000000	1000000	0.005540494385698991	0.005522094710687428	0.01032014395051017	0.010320052554053182	0	0	0	0	0	0	-222	116	0	0	-285	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000008839398181, 0.5000013353908426, 0.49999469952707937]/0.9999972296904882 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	99799856	99	107	439	439	221	201	546	542	758	730	5400	5600	15200	15600	693	693	297088	8	0	0	0	1001150	1002958	582935	541949	1000000	1000000	0.005551490700883239	0.00554313718533145	0.010302345415432715	0.010323751122532447	0	0	0	0	0	0	-222	118	0	0	-285	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000018887162908, 0.5000013275339956, 0.49999892722617734]/0.9999977003770615 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-2	CUBE(1.0,0.0,null)	3	64	1000000	0	99806400	99	106	437	437	220	205	549	538	753	730	5600	5600	15500	15200	689	689	297156	8	0	0	0	1001034	1000848	582958	541161	1000000	1000000	0.005556666226728621	0.005566927827688519	0.01031092461678528	0.010281202685194179	0	0	0	0	0	0	-222	114	0	0	-285	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-0	CUBE(1.0,0.0,null)	3	64	2500000	0	276425000	110	181	1851	740	188	177	778	825	973	1078	6400	6600	16300	16300	2289	915	911501	8	0	0	0	1000546	999755	583290	583455	1000000	1000000	0.004095533242834785	0.004086301576321065	0.0075849585842005015	0.007588987460490593	-60	870	0	0	0	0	-373	156	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000008839398181, 0.5000013353908426, 0.4999995388417537]/0.9999972296904882 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-1	CUBE(1.0,0.0,null)	3	64	2500000	0	276609864	110	184	1800	720	197	181	774	837	986	1090	6500	6500	16500	16400	2463	985	912987	8	0	0	0	1000394	1001718	583303	582835	1000000	1000000	0.004083626501316063	0.004070030049647961	0.007576892996760937	0.007608854324940339	-59	872	0	0	0	0	-324	5054	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999998295469112, 0.5000003683693319, 0.49999892722617734]/0.9999992117481126 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-2	CUBE(1.0,0.0,null)	3	64	2500000	0	276408256	110	174	1791	716	195	176	747	819	1012	1060	6600	6600	16200	16100	2225	890	911234	8	0	0	0	1001499	1000607	583655	583647	1000000	1000000	0.0040666780481297665	0.0041279685329901495	0.007596113868999353	0.007554989275966236	-59	874	0	0	0	0	-319	4952	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000013746168449, 0.5000004372892315, 0.5000004362416173]/0.9999990504073036 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-0	CUBE(1.0,0.0,null)	3	64	5000000	0	587762928	117	296	4673	934	236	217	894	895	1125	1149	7400	7900	19200	18600	5444	1088	2177298	9	0	0	0	1001517	1001484	582510	583060	1000000	1000000	0.003255680224891875	0.003238501075838227	0.006015551043940965	0.006016817955981357	505	5574	0	0	0	0	0	0	0	0	0	0	-809	202	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999999217765917, 0.4999996398363955, 0.49999951340801607]/0.9999994599580075 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
