Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	500000	0	43987128	87	79	143	286	56	42	390	386	957	1034	4333	4266	10866	10666	147	294	155237	18	0	0	0	1195116	1147612	499954	500247	1000000	1000000	0.07409435628060494	0.07393194997464281	0.09399959791981387	0.09579071090729803	0	0	0	0	0	0	-508	138	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.054350450000001, 46.9621859]/11.652624900000001 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011653404300000002
QKDZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	89710365	89	93	245	245	65	48	475	472	1085	1136	4433	4533	9766	9933	285	285	308907	18	0	0	0	988559	923582	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	0	0	0	0	-470	224	0	0	-276	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
QKDZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	2500000	0	227529792	91	135	968	387	75	65	616	611	1294	1229	5366	5433	13066	15800	822	328	767775	19	0	0	0	836571	828213	499786	499868	1000000	1000000	0.04360251261577716	0.04452601652819437	0.05115367088332743	0.05166934613688697	-140	754	0	0	0	0	-20	683	0	0	0	0	-295	165	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.055075550000002, 46.9730795]/11.8462703 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0012007696900000002
QKDZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	5000000	0	456447776	91	225	1877	375	84	68	757	761	1580	1417	6600	7033	15033	15233	1572	314	1530789	20	0	0	0	862462	842383	499369	500142	1000000	1000000	0.03742384500106238	0.03844840737634643	0.04294672875425449	0.043594590554328606	130	2951	0	0	0	0	-167	5950	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.055075550000002, 46.96339855]/11.8462703 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0012007696900000002
QKDZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	10000000	0	913396069	91	367	3920	392	95	78	849	855	1605	1635	8633	8666	21033	20700	3150	315	3032429	21	0	0	0	750038	754902	499973	499819	1000000	1000000	0.04082070229767918	0.04178709636412776	0.046181471939853225	0.04637192562067677	293	5803	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.165734350000001, 47.006074999999996]/12.0675879 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0012229014500000001
QKDZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	25000000	0	2288047698	91	925	9603	384	75	65	803	800	1922	2035	27500	26000	87500	87700	7945	317	7613730	25	0	0	0	1183946	1196070	500531	500459	1000000	1000000	1.5943740666388646	1.564842744523667	1.5949844479344362	1.587052399983904	1045	15176	0	0	0	0	-325	167	0	0	-1006	8	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.903138799999999, 43.357228899999996]/13.7621456 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0013813960800000001
QKDZ-P-AVG-1/3	OSM(1.0,0.0,null)	2	64	50000000	0	4583160592	91	2095	20633	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	2488	35950	0	0	0	0	0	0	0	0	0	0	0	0		null
% Measurements
% ============
QKDZ-P-0	OSM(1.0,0.0,null)	2	64	500000	0	43987128	87	94	147	294	55	43	392	379	963	1035	4300	4200	10700	10600	146	292	155237	18	0	0	0	1199429	1062805	499853	500362	1000000	1000000	0.0747955295432028	0.07326229471741853	0.09323570289722698	0.09653574297335235	0	0	0	0	0	0	-507	138	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.054350450000001, 46.9621859]/11.652624900000001 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011653404300000002
QKDZ-P-1	OSM(1.0,0.0,null)	2	64	500000	0	43987128	87	73	144	288	55	43	387	383	953	1035	4500	4300	11100	10800	150	300	155237	18	0	0	0	1286286	1201353	500084	499932	1000000	1000000	0.07472852274027915	0.0738026494857969	0.0940611742326778	0.09504690683883377	0	0	0	0	0	0	-509	136	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.054350450000001, 46.9621859]/11.652624900000001 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011653404300000002
QKDZ-P-2	OSM(1.0,0.0,null)	2	64	500000	0	43987128	87	71	139	278	58	41	392	396	957	1034	4200	4300	10800	10600	147	294	155237	18	0	0	0	1099634	1178679	499926	500447	1000000	1000000	0.07275901655833288	0.074730905720713	0.09470191662953681	0.095789482909708	0	0	0	0	0	0	-508	140	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.054350450000001, 46.9621859]/11.652624900000001 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011653404300000002
QKDZ-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	89710424	89	95	250	250	69	49	470	467	1091	1135	4500	4600	9700	10000	281	281	308907	18	0	0	0	958941	849990	498602	499311	1000000	1000000	0.04916029490071369	0.04936437541332183	0.059596650872003845	0.061404670622767374	0	0	0	0	0	0	-469	226	0	0	-276	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
QKDZ-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	89710336	89	95	239	239	57	47	482	472	1090	1147	4400	4600	9900	9900	291	291	308907	18	0	0	0	1077620	996316	499115	499909	1000000	1000000	0.04864321189335936	0.04903721717711428	0.059308655119097296	0.06079901559492146	0	0	0	0	0	0	-471	220	0	0	-276	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
