Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	500000	0	42411138	84	69	136	272	67	40	364	360	864	936	7066	7233	12000	11933	103	206	154607	18	0	0	0	1026006	1020494	499954	500247	1000000	1000000	0.08983950276274101	0.08979934200501456	0.08882436697082831	0.0909666289741865	0	0	0	0	0	0	-85	10	-285	2	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-86.67633699999999, 32.5762345]/4.8635870000000025 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=4.863603000000005E-4
QKDZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	88285157	88	88	232	232	42	36	383	385	1221	1314	52000	53033	106833	106066	267	267	307770	22	0	0	0	1772065	1831843	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	0	0	0	0	-297	183	-573	4	-1146	8	-161	75	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-99.8524185, 33.574213]/29.928345000000007 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.002992834500000001
QKDZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	2500000	0	226189405	90	122	863	345	45	38	466	461	1341	1543	166400	156200	279500	281366	638	255	766778	23	0	0	0	1714411	1645885	499786	499868	1000000	1000000	2.4519207765538193	2.4496873377125237	2.455334244355147	2.4479866332147298	-177	672	0	0	0	0	-270	147	-1812	6	-2174	10	-93	63	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-104.6644765, 36.0769765]/39.55246100000001 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.003955246100000001
QKDZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	5000000	0	455913504	91	223	1564	312	60	43	546	538	1581	1560	131866	126866	216800	218033	1191	238	1530574	24	0	0	0	1038534	1019272	499369	500142	1000000	1000000	2.984907420253883	2.9709051836372553	2.9779157285504634	2.970660170208155	121	2483	0	0	0	0	-568	222	-1476	4	-1443	4	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-98.134303, 36.698727]/52.694128000000006 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0052694764000000005
QKDZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	10000000	0	914173784	91	362	3159	315	63	46	654	660	1598	1751	82600	80766	143500	146533	2082	208	3057425	24	0	0	0	667813	706088	499973	499819	1000000	1000000	2.0975156206567247	2.090068777366556	2.097079970185653	2.0933305409285246	-118	4242	0	0	0	0	-257	168	-1081	4	-1123	4	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-95.6834055, 36.890333]/57.595923 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0057596559000000006
QKDZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	18351888	0	1677026480	91	651	5843	318	83	59	792	793	1722	1858	30766	30333	71033	70400	3901	212	5619871	24	0	0	0	566026	604229	499646	499959	1000000	1000000	1.3244650058711593	1.3238174222530419	1.3333395530767636	1.3415006446703384	225	9208	0	0	0	0	-304	176	0	0	-1047	6	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-95.8669905, 36.890333]/57.963092999999986 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.005796353
QKDZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	18351888	0	1676400997	91	654	5719	311	85	56	784	785	1723	1857	31566	31166	72000	72666	3957	215	5619871	24	0	0	0	566026	604229	499646	499959	1000000	1000000	1.3244650058711593	1.3238174222530419	1.3333395530767636	1.3415006446703384	336	9148	0	0	0	0	-308	176	0	0	-1023	6	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-95.8669905, 36.890333]/57.963092999999986 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.005796353
% Measurements
% ============
QKDZ-P-0	TIGER(1.0,0.0,null)	2	64	500000	0	42411112	84	66	129	258	85	42	369	358	873	933	7100	7200	12100	11900	104	208	154607	18	0	0	0	1012978	1008603	499853	500362	1000000	1000000	0.09236635877525252	0.08750381446969889	0.08759927997279185	0.09114171918261572	0	0	0	0	0	0	-255	30	-285	2	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-86.67633699999999, 32.5762345]/4.8635870000000025 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=4.863603000000005E-4
