Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QTZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	500000	0	54753584	109	124	126	252	76	55	357	348	917	1029	19033	18966	41966	42366	121	242	200599	13	0	0	0	983569	991857	499943	499848	1000000	1000000	0.05417179717419887	0.05425848106020026	0.05471452071664521	0.05465423875219355	0	0	0	0	0	0	-598	131	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999436526042038, 0.49928070240889394, 0.5010378471496837]/1.004995621565065;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107315600	107	211	215	215	67	51	390	392	1053	1109	25766	25666	61266	61066	258	258	360784	13	0	0	0	1007584	1003849	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	0	0	0	0	0	0	-480	182	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999305039645927, 0.5000812838111881, 0.49947350916289235]/1.004276997583565;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	2500000	0	274827506	109	441	891	356	80	67	507	504	1356	1367	30733	34266	80833	79900	772	308	926179	14	0	0	0	1034244	967904	499855	500089	1000000	1000000	0.0537657656686727	0.053856974203533275	0.054215366806264265	0.05450645766791116	-88	802	0	0	0	0	-191	4444	0	0	-418	2	-239	124	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4991539437958343, 0.5009136822010284, 0.49975845109901884]/1.0071850867572232;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	5000000	0	553517197	110	850	1691	338	72	60	572	557	1475	1448	36533	36900	96566	97000	1497	299	1870676	14	0	0	0	955881	1001915	499327	500029	1000000	1000000	0.053328582300064674	0.05338125532212215	0.054210837790068654	0.05409739947700574	132	2135	0	0	0	0	-531	96	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5009632580083446, 0.4999775843612058, 0.49952780407942615]/1.0064996907566066;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	10000000	0	1065596258	106	1675	3386	338	64	46	710	703	1867	1746	42400	42700	107200	109333	2971	297	3358909	14	0	0	0	1013938	917725	499972	499673	1000000	1000000	0.053147161365699636	0.053168696612108636	0.05374838236694668	0.05394667716540678	852	6198	0	0	0	0	-646	176	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999048841237992, 0.4992808239774484, 0.4996818815280071]/1.006289522226969;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	25000000	0	2770789293	110	4144	8986	359	61	50	799	791	2166	2073	53500	53333	136966	138266	8822	352	9331789	15	0	0	0	1045665	995626	500626	499974	1000000	1000000	0.05310170117747808	0.052756758738338815	0.0534074233205109	0.053510709281222125	2733	17812	0	0	0	0	-644	203	0	0	0	0	-825	824	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49898578456032733, 0.49964801793570063, 0.49947578777426976]/1.0061350110262937;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	50000000	0	5441031434	108	8262	19401	388	63	44	872	865	2290	2267	59233	59800	156233	155666	20692	413	17799356	15	0	0	0	1102581	1027309	500405	499906	1000000	1000000	0.052693222274511044	0.05259256980051676	0.05311989338854009	0.0530158550632421	5670	37706	0	0	0	0	-325	96	0	0	0	0	-801	1066	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4991229475692727, 0.49936292288986983, 0.4999171121212939]/1.006886878507068;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
QTZ-P-0	CLUSTER(5.0,0.0,null)	3	64	500000	0	54721888	109	123	138	276	80	55	348	343	886	985	19100	18900	42600	42500	127	254	200354	13	0	0	0	960942	960785	499956	500003	1000000	1000000	0.05454905964315359	0.054216212303112556	0.05495843621572009	0.0549626440606036	0	0	0	0	0	0	-255	64	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4996465213277796, 0.49974979449054774, 0.4989870289341097]/1.0047197450440506;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
