Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QTZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	500000	0	44002392	88	36	103	206	50	40	415	408	967	1039	4600	4566	11066	11133	146	292	155237	18	0	0	0	1195116	1147612	499954	500247	1000000	1000000	0.07409435628060494	0.07393194997464281	0.09399959791981387	0.09579071090729803	0	0	0	0	0	0	0	0	0	0	-285	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.054350450000001, 46.9621859]/11.652624900000001;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011653404300000002
QTZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	89725584	89	46	202	202	56	46	507	511	1126	1121	4733	4700	10433	10700	282	282	308907	18	0	0	0	988559	923582	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	0	0	0	0	-216	147	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
QTZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	2500000	0	227539544	91	119	954	381	71	59	595	590	1266	1282	5233	5166	12666	14333	826	330	767775	19	0	0	0	836571	828213	499786	499868	1000000	1000000	0.04360251261577716	0.04452601652819437	0.05115367088332743	0.05166934613688697	-140	752	0	0	0	0	-339	2408	0	0	0	0	-295	162	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.055075550000002, 46.9730795]/11.8462703;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0012007696900000002
QTZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	5000000	0	457449797	91	229	1849	369	84	69	715	714	1385	1353	6500	6566	14633	14800	1508	301	1530789	20	0	0	0	862462	842383	499369	500142	1000000	1000000	0.03742384500106238	0.03844840737634643	0.04294672875425449	0.043594590554328606	150	2797	0	0	0	0	266	3678	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.055075550000002, 46.96339855]/11.8462703;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0012007696900000002
QTZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	10000000	0	913407253	91	373	3794	379	87	75	806	801	1527	1575	8300	8866	20033	19766	3042	304	3032429	21	0	0	0	750038	754902	499973	499819	1000000	1000000	0.04082070229767918	0.04178709636412776	0.046181471939853225	0.04637192562067677	437	6246	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.165734350000001, 47.006074999999996]/12.0675879;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0012229014500000001
QTZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	25000000	0	2288065402	91	903	9676	387	71	64	795	787	1878	2100	26633	25200	84566	85100	7734	309	7613730	25	0	0	0	1183946	1196070	500531	500459	1000000	1000000	1.5943740666388646	1.564842744523667	1.5949844479344362	1.587052399983904	974	14682	0	0	0	0	-635	359	0	0	-1020	8	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.903138799999999, 43.357228899999996]/13.7621456;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0013813960800000001
QTZ-P-AVG-1/3	OSM(1.0,0.0,null)	2	64	50000000	0	4583811272	91	1998	19438	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1825	28844	0	0	0	0	0	0	0	0	0	0	0	0		null
% Measurements
% ============
QTZ-P-0	OSM(1.0,0.0,null)	2	64	500000	0	44002392	88	46	101	202	50	39	414	408	977	1044	4700	4600	11100	11100	146	292	155237	18	0	0	0	1199429	1062805	499853	500362	1000000	1000000	0.0747955295432028	0.07326229471741853	0.09323570289722698	0.09653574297335235	0	0	0	0	0	0	0	0	0	0	-285	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.054350450000001, 46.9621859]/11.652624900000001;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011653404300000002
QTZ-P-1	OSM(1.0,0.0,null)	2	64	500000	0	44002392	88	34	107	214	51	42	421	414	957	1033	4500	4500	11100	11400	149	298	155237	18	0	0	0	1286286	1201353	500084	499932	1000000	1000000	0.07472852274027915	0.0738026494857969	0.0940611742326778	0.09504690683883377	0	0	0	0	0	0	0	0	0	0	-285	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.054350450000001, 46.9621859]/11.652624900000001;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011653404300000002
QTZ-P-2	OSM(1.0,0.0,null)	2	64	500000	0	44002392	88	30	103	206	49	40	410	402	968	1041	4600	4600	11000	10900	145	290	155237	18	0	0	0	1099634	1178679	499926	500447	1000000	1000000	0.07275901655833288	0.074730905720713	0.09470191662953681	0.095789482909708	0	0	0	0	0	0	0	0	0	0	-285	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.054350450000001, 46.9621859]/11.652624900000001;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011653404300000002
QTZ-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	89725552	89	58	209	209	57	48	510	545	1146	1128	5000	4900	10800	11700	279	279	308907	18	0	0	0	958941	849990	498602	499311	1000000	1000000	0.04916029490071369	0.04936437541332183	0.059596650872003845	0.061404670622767374	0	0	0	0	0	0	-216	146	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
