Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSS-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	500000	0	75415880	150	59	4107	8214	426	266	497	497	0	0	83333	100000	50000	50000	0	0	122586	0	0	0	0	49991	50009	499943	499848	0	0	0.4212682716680623	0.3567623763020377	0.41077979885546956	0.400713560528992	-4419	199	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=96172;dirNodes=26473 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	1000000	0	152363205	152	98	7881	7881	312	219	697	622	0	0	100000	66666	66666	50000	0	0	234180	0	0	0	0	100017	100005	499718	499393	0	0	0.4212681740523802	0.3567623045105249	0.41077959715601803	0.40071339207976714	-8848	398	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=185250;dirNodes=48878 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	2500000	0	381516669	152	173	19427	7770	171	101	869	929	0	0	133333	50000	66666	83333	0	0	557547	0	0	0	0	249992	249971	499855	500089	0	0	0.421268077162191	0.3567621591199066	0.410779396868596	0.4007131742480718	-21626	3271	0	0	-507	60	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=448589;dirNodes=109034 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	5000000	0	763363104	152	316	38919	7783	151	81	1103	1119	0	0	183333	50000	100000	66666	0	0	1094939	0	0	0	0	499901	499930	499327	500029	0	0	0.4212680399245528	0.356762123324434	0.41077928915954215	0.40071306988115346	-42870	6907	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=886321;dirNodes=208981 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	10000000	0	1526148501	152	584	79889	7988	84	71	1416	1418	0	0	200000	50000	100000	100000	0	0	2166769	0	0	0	0	1000157	1000106	499972	499673	0	0	0.42126799479653537	0.35676207254437386	0.41077920123024286	0.40071299196211996	-87375	10772	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=1759334;dirNodes=407586 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	25000000	0	3805817365	152	1494	203329	8133	78	64	1860	1819	0	0	200000	50000	133333	83333	0	0	5353996	0	0	0	0	2499784	2499991	500626	499974	0	0	0.4212679462024151	0.3567620453484877	0.41077912244840237	0.40071291547264654	-222968	25472	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=4364600;dirNodes=989573 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	50000000	0	7610759445	152	2925	421142	8422	67	63	2194	2208	0	0	216666	50000	116666	83333	0	0	10670305	0	0	0	0	5000202	4999954	500405	499906	0	0	0.4212679264233592	0.35676202464981177	0.4107790750566355	0.40071287287075985	-454206	50242	-1050	28	-1078	55	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=8712875;dirNodes=1958673 WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
RSS-P-0	CLUSTER(3.4,0.0,null)	3	64	500000	0	75426784	150	30	4101	8202	420	219	490	483	0	0	50000	150000	50000	50000	0	0	122512	0	0	0	0	49972	50027	499956	500003	0	0	0.3876973674536579	0.3360198273488738	0.4110255901149135	0.38133988744893144	-4419	202	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=96062;dirNodes=26450 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-1	CLUSTER(3.4,0.0,null)	3	64	500000	0	75407720	150	66	4096	8192	440	240	503	504	0	0	100000	100000	50000	50000	0	0	122601	0	0	0	0	49969	49989	499399	499112	0	0	0.450132569237587	0.38673673785240775	0.418541594077592	0.41505783467300167	-4419	200	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=96148;dirNodes=26453 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-2	CLUSTER(3.4,0.0,null)	3	64	500000	0	75413136	150	81	4125	8250	419	339	500	504	0	0	100000	50000	50000	50000	0	0	122645	0	0	0	0	50032	50011	500475	500431	0	0	0.425974878312942	0.3475305637048316	0.40277221237390304	0.40574295946504285	-4419	196	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=96172;dirNodes=26473 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-0	CLUSTER(3.4,0.0,null)	3	64	1000000	0	152373696	152	120	7887	7887	299	180	691	624	0	0	100000	50000	100000	50000	0	0	234251	0	0	0	0	100048	99986	499939	498463	0	0	0.38769724751597345	0.3360197046032855	0.41102540979241287	0.3813397132342674	-8848	398	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=185302;dirNodes=48949 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-1	CLUSTER(3.4,0.0,null)	3	64	1000000	0	152360920	152	74	7879	7879	340	320	694	610	0	0	100000	50000	50000	50000	0	0	234161	0	0	0	0	99994	99972	499851	500135	0	0	0.45013249734086347	0.38673667824275465	0.418541395060092	0.4150577014004805	-8848	398	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=185302;dirNodes=48859 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-2	CLUSTER(3.4,0.0,null)	3	64	1000000	0	152355000	152	100	7879	7879	299	159	707	634	0	0	100000	100000	50000	50000	0	0	234128	0	0	0	0	100010	100059	499364	499583	0	0	0.4259747773003036	0.34753053068553463	0.40277198661554936	0.4057427616045535	-8847	398	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=185250;dirNodes=48878 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-0	CLUSTER(3.4,0.0,null)	3	64	2500000	0	381539088	152	167	19398	7759	131	92	865	920	0	0	100000	50000	100000	50000	0	0	557692	0	0	0	0	250026	249947	499863	500365	0	0	0.3876971862007002	0.3360195472550649	0.4110252486078618	0.38133949440921755	-21710	3270	0	0	-507	60	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=448628;dirNodes=109064 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-1	CLUSTER(3.4,0.0,null)	3	64	2500000	0	381483456	152	176	19441	7776	188	95	890	951	0	0	150000	50000	50000	100000	0	0	557326	0	0	0	0	249999	250102	499762	499561	0	0	0.45013239514100906	0.38673657215292	0.4185411920945071	0.4150574642865254	-21725	3280	0	0	-507	60	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=448341;dirNodes=108985 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-2	CLUSTER(3.4,0.0,null)	3	64	2500000	0	381527464	152	178	19443	7777	196	116	853	916	0	0	150000	50000	50000	100000	0	0	557623	0	0	0	0	249952	249866	499941	500342	0	0	0.4259746501448637	0.3475303579517349	0.402771749903419	0.40574256404847253	-21442	3264	0	0	-507	62	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=448589;dirNodes=109034 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-0	CLUSTER(3.4,0.0,null)	3	64	5000000	0	763337616	152	324	38793	7758	162	80	1104	1120	0	0	150000	50000	100000	100000	0	0	1094761	0	0	0	0	499731	499736	499257	499585	0	0	0.3876971044808378	0.3360195152054014	0.41102510607037984	0.3813393958735981	-42779	6888	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=885930;dirNodes=208831 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-1	CLUSTER(3.4,0.0,null)	3	64	5000000	0	763335088	152	307	39097	7819	157	83	1099	1115	0	0	200000	50000	100000	50000	0	0	1094756	0	0	0	0	500100	500162	499334	500108	0	0	0.4501323778180164	0.3867365195188953	0.4185410917507033	0.41505736063134646	-42777	6938	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=885846;dirNodes=208910 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSS-P-2	CLUSTER(3.4,0.0,null)	3	64	5000000	0	763416608	152	318	38869	7773	134	80	1107	1124	0	0	200000	50000	100000	50000	0	0	1095302	0	0	0	0	499872	499894	499391	500396	0	0	0.42597463747480446	0.34753033524900545	0.40277166965754335	0.4057424531385158	-43055	6896	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=886321;dirNodes=208981 WINDOW_RESULTS=1000 KNN_REPEAT=20
