Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	500000	0	65500112	130	66	2591	5182	99	68	870	878	0	0	9500	9633	8666	8633	0	0	117552	0	0	0	0	1026006	1020494	499954	500247	0	0	0.08989607076088772	0.08990350355431571	0.08882436697082831	0.0909666289741865	-3584	179	-268	2	0	0	0	0	-300	2	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=91276;dirNodes=26276 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	132074168	132	95	5270	5270	74	56	855	894	0	0	9666	9900	10833	10266	0	0	234540	0	0	0	0	1772065	1831843	499099	499645	0	0	2.130547272839674	2.124672688332635	2.1191476482560136	2.1021535905362527	-7743	405	-267	2	-249	45	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=182321;dirNodes=52219 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	2500000	0	336764448	134	111	12985	5194	78	67	1098	1089	0	0	12366	12233	11700	11533	0	0	585177	0	0	0	0	1714411	1645885	499786	499868	0	0	2.4118716317078435	2.412320490541122	2.455334244355147	2.4479866332147298	-19819	2669	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=455740;dirNodes=129437 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	5000000	0	675539333	135	223	26347	5269	92	62	1353	1371	0	0	15200	14966	14100	13200	0	0	1164417	0	0	0	0	1038534	1019272	499369	500142	0	0	2.9566596930949793	2.9417022028511064	2.9779157285504634	2.970660170208155	-41387	5122	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=909559;dirNodes=254858 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	10000000	0	1355178597	135	371	53464	5346	115	70	1896	1905	0	0	18633	18566	16666	16366	0	0	2338480	0	0	0	0	667813	706088	499973	499819	0	0	2.0901288757418066	2.083910384474683	2.097079970185653	2.0933305409285246	-85917	10874	0	0	0	0	0	0	0	0	-1092	4	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=1825378;dirNodes=513102 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	18351888	0	2486008013	135	657	99264	5408	128	75	2633	2646	0	0	21533	22066	19566	19633	0	0	4295956	0	0	0	0	566026	604229	499646	499959	0	0	1.3199070873374155	1.3195612897790387	1.3333395530767636	1.3415006446703384	-160729	18258	0	0	0	0	0	0	0	0	-1069	8	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=3350878;dirNodes=945078 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	18351888	0	2485392154	135	622	98717	5379	136	78	2605	2619	0	0	21533	21500	19333	19733	0	0	4295956	0	0	0	0	566026	604229	499646	499959	0	0	1.3199070873374155	1.3195612897790387	1.3333395530767636	1.3415006446703384	-160708	17324	0	0	0	0	0	0	0	0	-1054	8	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=3350878;dirNodes=945078 WINDOW_RESULTS=1000 KNN_REPEAT=10000
% Measurements
% ============
RSS-P-0	TIGER(1.0,0.0,null)	2	64	500000	0	65545856	131	45	2664	5328	97	68	860	890	0	0	9400	9600	8400	8500	0	0	117552	0	0	0	0	1012978	1008603	499853	500362	0	0	0.09247976490173117	0.08726758547831025	0.08759927997279185	0.09114171918261572	-3586	184	-269	2	0	0	0	0	-300	2	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=91276;dirNodes=26276 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-1	TIGER(1.0,0.0,null)	2	64	500000	0	65408328	130	77	2561	5122	107	71	882	873	0	0	9600	9800	8700	8700	0	0	117552	0	0	0	0	1023828	1016708	500084	499932	0	0	0.0887786390491871	0.08845106069807972	0.08952403672452477	0.09010776617746004	-3583	176	-267	2	0	0	0	0	-300	2	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=91276;dirNodes=26276 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-2	TIGER(1.0,0.0,null)	2	64	500000	0	65546152	131	78	2550	5100	94	65	869	873	0	0	9500	9500	8900	8700	0	0	117552	0	0	0	0	1041212	1036171	499926	500447	0	0	0.08842980833174491	0.0939918644865572	0.08934978421516832	0.09165040156248376	-3583	178	-267	2	0	0	0	0	-300	2	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=91276;dirNodes=26276 WINDOW_RESULTS=1000 KNN_REPEAT=10000
