Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	500000	0	44298096	88	77	2769	5538	746	266	490	522	7348	7094	1350000	2266666	33333	50000	552	1104	82021	7	0	0	0	49991	50009	499943	499848	1000000	1000000	0.4212682716680623	0.3567623763020377	0.41077979885546956	0.400713560528992	-754	92	0	0	-198	49	-1821	1575	0	0	0	0	-283	14	RTreeZ;RStarTreeLogic;size=500000;nNodes=82045;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	1000000	0	91413496	91	102	5471	5471	386	146	635	661	9171	9814	1333333	1816666	33333	50000	1252	1252	160684	8	0	0	0	100017	100005	499718	499393	1000000	1000000	0.4212681740523802	0.3567623045105249	0.41077959715601803	0.40071339207976714	-1259	170	0	0	-198	48	-2368	2547	0	0	0	0	-276	35	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160634;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	2500000	0	231546605	92	179	14042	5616	214	85	908	932	10846	11926	6083333	6050000	50000	33333	3344	1337	390656	8	0	0	0	249992	249971	499855	500089	1000000	1000000	0.421268077162191	0.3567621591199066	0.410779396868596	0.4007131742480718	-3322	2026	0	0	0	0	-2507	450	-380	2	0	0	-381	34	RTreeZ;RStarTreeLogic;size=2500000;nNodes=390440;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	5000000	0	465219264	93	304	28911	5782	147	56	1145	1149	12871	14576	50000	9200000	50000	66666	7410	1482	773104	9	0	0	0	499901	499930	499327	500029	1000000	1000000	0.4212680399245528	0.356762123324434	0.41077928915954215	0.40071306988115346	-6406	9696	0	0	0	0	-3093	434	0	0	0	0	-1262	122	RTreeZ;RStarTreeLogic;size=5000000;nNodes=773281;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	10000000	0	930688522	93	646	59576	5957	98	47	1480	1466	14182	15457	18150000	12366666	83333	83333	15333	1533	1530787	9	0	0	0	1000157	1000106	499972	499673	1000000	1000000	0.42126799479653537	0.35676207254437386	0.41077920123024286	0.40071299196211996	-13168	12655	0	0	0	0	-2375	310	0	0	0	0	-2188	203	RTreeZ;RStarTreeLogic;size=10000000;nNodes=1530988;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	25000000	0	2319795002	92	1482	153836	6153	61	40	2036	1999	17653	20577	14316666	14933333	100000	66666	48490	1939	3790884	9	0	0	0	2499784	2499991	500626	499974	1000000	1000000	0.4212679462024151	0.3567620453484877	0.41077912244840237	0.40071291547264654	-33266	28340	0	0	0	0	-2364	395	0	0	0	0	-5541	414	RTreeZ;RStarTreeLogic;size=25000000;nNodes=3789903;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-AVG-3/3	CLUSTER(3.4,0.0,null)	3	64	50000000	0	4637245154	92	2908	316010	6320	48	38	2545	2538	18345	20428	27250000	57283333	100000	66666	104295	2085	7543922	10	0	0	0	5000202	4999954	500405	499906	1000000	1000000	0.4212679264233592	0.35676202464981177	0.4107790750566355	0.40071287287075985	-68269	44411	0	0	0	0	-3401	683	0	0	0	0	-10017	658	RTreeZ;RStarTreeLogic;size=50000000;nNodes=7543975;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
RSZ-P-0	CLUSTER(3.4,0.0,null)	3	64	500000	0	44286984	88	70	2794	5588	700	359	481	515	7322	7080	950000	1850000	50000	50000	562	1124	81964	7	0	0	0	49972	50027	499956	500003	1000000	1000000	0.3876973674536579	0.3360198273488738	0.4110255901149135	0.38133988744893144	-754	92	0	0	-198	50	-1661	2200	0	0	0	0	-285	14	RTreeZ;RStarTreeLogic;size=500000;nNodes=81964;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-1	CLUSTER(3.4,0.0,null)	3	64	500000	0	44304608	88	82	2748	5496	860	140	495	526	7570	7226	900000	1350000	0	50000	554	1108	82055	7	0	0	0	49969	49989	499399	499112	1000000	1000000	0.450132569237587	0.38673673785240775	0.418541594077592	0.41505783467300167	-755	92	0	0	-198	50	-1881	288	0	0	0	0	-281	16	RTreeZ;RStarTreeLogic;size=500000;nNodes=82055;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-2	CLUSTER(3.4,0.0,null)	3	64	500000	0	44302696	88	80	2766	5532	679	299	494	525	7154	6976	2200000	3600000	50000	50000	542	1084	82045	7	0	0	0	50032	50011	500475	500431	1000000	1000000	0.425974878312942	0.3475305637048316	0.40277221237390304	0.40574295946504285	-754	94	0	0	-198	48	-1921	2238	0	0	0	0	-284	14	RTreeZ;RStarTreeLogic;size=500000;nNodes=82045;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-0	CLUSTER(3.4,0.0,null)	3	64	1000000	0	91410080	91	120	5481	5481	359	160	647	666	9448	10217	1850000	1800000	0	50000	1314	1314	160667	8	0	0	0	100048	99986	499939	498463	1000000	1000000	0.38769724751597345	0.3360197046032855	0.41102540979241287	0.3813397132342674	-1259	170	0	0	-198	48	-2554	2666	0	0	0	0	-273	44	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160667;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-1	CLUSTER(3.4,0.0,null)	3	64	1000000	0	91426664	91	87	5440	5440	410	150	630	663	9084	9698	50000	1900000	50000	50000	1220	1220	160752	8	0	0	0	99994	99972	499851	500135	1000000	1000000	0.45013249734086347	0.38673667824275465	0.418541395060092	0.4150577014004805	-1258	170	0	0	-198	46	-2279	2464	0	0	0	0	-278	30	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160752;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-2	CLUSTER(3.4,0.0,null)	3	64	1000000	0	91403744	91	101	5492	5492	389	129	630	656	8983	9527	2100000	1750000	50000	50000	1223	1223	160634	8	0	0	0	100010	100059	499364	499583	1000000	1000000	0.4259747773003036	0.34753053068553463	0.40277198661554936	0.4057427616045535	-1260	172	0	0	-198	50	-2270	2512	0	0	0	0	-278	32	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160634;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-P-0	CLUSTER(3.4,0.0,null)	3	64	2500000	0	231580816	92	178	13942	5576	195	80	914	907	10779	11586	50000	13750000	50000	50000	3293	1317	390833	8	0	0	0	250026	249947	499863	500365	1000000	1000000	0.3876971862007002	0.3360195472550649	0.4110252486078618	0.38133949440921755	-3355	1796	0	0	0	0	-2150	382	-380	2	0	0	-380	34	RTreeZ;RStarTreeLogic;size=2500000;nNodes=390833;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
