Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	0	42896744	85	82	3449	6898	219	175	4484	4678	10183	9092	18666	18033	41966	41166	1932	3864	74387	7	0	0	0	1001364	1001953	562612	499848	1000000	1000000	0.007024885358808984	0.006987770728182328	0.013000662308944538	0.013004250876331044	-497	67	0	0	-198	50	-2207	1220	0	0	-307	0	-215	832	RTreeZ;RStarTreeLogic;size=500000;nNodes=74217;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	88479266	88	106	7037	7037	279	230	7773	7984	14280	14371	27400	27800	59966	59766	6419	6419	148636	7	0	0	0	1000546	1001094	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	-1256	213	0	0	-198	48	-2173	5416	0	0	-308	2	-274	34	RTreeZ;RStarTreeLogic;size=1000000;nNodes=148675;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	2500000	0	226497176	90	179	20908	8363	370	333	14960	15135	20625	21960	46033	45433	95500	95466	27428	10971	370830	8	0	0	0	1000813	1000693	583416	583312	1000000	1000000	0.004081945930760205	0.004094766719653058	0.007585988483320264	0.007584277020465722	-3128	2552	0	0	0	0	-2583	481	0	0	0	0	-715	11370	RTreeZ;RStarTreeLogic;size=2500000;nNodes=371007;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	0	459108965	91	311	45549	9109	480	435	24086	24214	29728	29749	69200	68633	139633	140666	70294	14058	741043	8	0	0	0	1000860	1001138	582688	583343	1000000	1000000	0.0032414602082722773	0.0032408907661406745	0.0060152401419052495	0.00601327276953596	-6299	14910	0	0	0	0	-2353	349	0	0	0	0	-1017	94	RTreeZ;RStarTreeLogic;size=5000000;nNodes=741342;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	0	921217338	92	570	99784	9978	618	574	37901	36825	40638	41985	99066	99233	195300	189433	189993	18999	1481236	8	0	0	0	1001457	1001451	583372	583022	1000000	1000000	0.0025675833364300392	0.0025670076451426794	0.004773516329049533	0.004772869291378442	-13056	19871	0	0	0	0	-3069	450	0	0	-1079	4	-1423	146	RTreeZ;RStarTreeLogic;size=10000000;nNodes=1483062;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	0	2303024373	92	1479	296962	11878	848	832	66772	65157	64620	64947	155633	155366	294400	292266	770896	30835	3701615	9	0	0	0	1001148	1001941	583711	583339	1000000	1000000	0.0018952143756358654	0.0018892834743862868	0.0035133384381170495	0.003517452924045769	-33999	43554	0	0	0	0	-2707	519	0	0	-1039	8	-4853	498	RTreeZ;RStarTreeLogic;size=25000000;nNodes=3705888;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
RSZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	50000000	0	4614209093	92	2869	600727	12014	1070	1024	93973	93833	89535	90143	213733	213466	386666	385766	2129033	42580	7404050	9	0	0	0	1001080	1001876	583677	583218	1000000	1000000	0.0015012118629315011	0.0014980095364495686	0.0027874002993392654	0.0027856284917406444	-67633	68204	0	0	0	0	-2764	580	0	0	0	0	-9654	1382	RTreeZ;RStarTreeLogic;size=50000000;nNodes=7412100;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
RSZ-P-0	CUBE(1.0,0.0,null)	3	64	500000	0	42953512	85	79	3302	6604	196	154	2623	2775	7517	6674	11800	11700	27600	27200	1494	2988	74805	7	0	0	0	999808	999599	562705	500003	1000000	1000000	0.007016042940261126	0.006977453167898288	0.013002771666482981	0.013023669182450811	-496	66	0	0	-198	52	-1575	262	0	0	-307	0	-286	14	RTreeZ;RStarTreeLogic;size=500000;nNodes=74805;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
